HL7 v2,,,Condition (IF True),,,HL7 FHIR,,,,,Comments
Code,Text,Code System,Computable ANTLR,Computable FHIRPath,Narrative,Code,,Display,Code System,,
DA,Drug allergy,http://terminology.hl7.org/CodeSystem/v2-0127,,,,allergy,,Allergy,http://hl7.org/fhir/allergy-intolerance-type,,
FA,Food allergy,http://terminology.hl7.org/CodeSystem/v2-0127,,,,allergy,,Allergy,http://hl7.org/fhir/allergy-intolerance-type,,
MA,Miscellaneous allergy,http://terminology.hl7.org/CodeSystem/v2-0127,,,,allergy,,Allergy,http://hl7.org/fhir/allergy-intolerance-type,,
MC,Miscellaneous contraindication,http://terminology.hl7.org/CodeSystem/v2-0127,,,,,,,,,
EA,Environmental allergy,http://terminology.hl7.org/CodeSystem/v2-0127,,,,allergy,,Allergy,http://hl7.org/fhir/allergy-intolerance-type,,
AA,Animal allergy,http://terminology.hl7.org/CodeSystem/v2-0127,,,,allergy,,Allergy,http://hl7.org/fhir/allergy-intolerance-type,,
PA,Plant allergy,http://terminology.hl7.org/CodeSystem/v2-0127,,,,allergy,,Allergy,http://hl7.org/fhir/allergy-intolerance-type,,
LA,Pollen allergy,http://terminology.hl7.org/CodeSystem/v2-0127,,,,allergy,,Allergy,http://hl7.org/fhir/allergy-intolerance-type,,
