HL7 v2,,,Condition (IF True),,,HL7 FHIR,,,,,Comments
Code,Text,Code System,Computable ANTLR,Computable FHIRPath,Narrative,Code,,Display,Code System,,
S,Stat,HL70485,,,,stat,,STAT,http://hl7.org/fhir/request-priority,,
A,ASAP,HL70485,,,,asap,,ASAP,http://hl7.org/fhir/request-priority,,
R,Routine,HL70485,,,,routine,,Routine,http://hl7.org/fhir/request-priority,,
P,Preop,HL70485,,,,,,,,,
C,Callback,HL70485,,,,,,,,,
T,Timing critical,HL70485,,,,,,,,,
TS<integer>,Timing critical within <integer> seconds.,HL70485,,,,,,,,,
TM<integer>,Timing critical within <integer> minutes.,HL70485,,,,,,,,,
TH<integer>,Timing critical within <integer> hours.,HL70485,,,,,,,,,
TD<integer>,Timing critical within <integer> days.,HL70485,,,,,,,,,
TW<integer>,Timing critical within <integer> weeks.,HL70485,,,,,,,,,
TL<integer>,Timing critical within <integer> months.,HL70485,,,,,,,,,
PRN,As needed,HL70485,,,,,,,,,
