HL7 v2,,,Condition (IF True),,,HL7 FHIR,,,,,Comments
Code,Text,Code System,Computable ANTLR,Computable FHIRPath,Narrative,Code,,Display,Code System,,
,,,,,,1001,,Adventist,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1002,,African Religions,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1003,,Afro-Caribbean Religions,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1004,,Agnosticism,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1005,,Anglican,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1006,,Animism,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1007,,Atheism,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1008,,Babi & Baha'I faiths,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1009,,Baptist,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1010,,Bon,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1011,,Cao Dai,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1012,,Celticism,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1013,,"Christian (non-Catholic, non-specific)",http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1014,,Confucianism,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1015,,Cyberculture Religions,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1016,,Divination,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1017,,Fourth Way,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1018,,Free Daism,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1019,,Gnosis,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1020,,Hinduism,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1021,,Humanism,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1022,,Independent,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1023,,Islam,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1024,,Jainism,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1025,,Jehovah's Witnesses,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1026,,Judaism,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1027,,Latter Day Saints,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1028,,Lutheran,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1029,,Mahayana,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1030,,Meditation,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1031,,Messianic Judaism,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1032,,Mitraism,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1033,,New Age,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1034,,non-Roman Catholic,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1035,,Occult,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1036,,Orthodox,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1037,,Paganism,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1038,,Pentecostal,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1039,,"Process, The",http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1040,,Reformed/Presbyterian,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1041,,Roman Catholic Church,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1042,,Satanism,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1043,,Scientology,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1044,,Shamanism,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1045,,Shiite (Islam),http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1046,,Shinto,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1047,,Sikism,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1048,,Spiritualism,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1049,,Sunni (Islam),http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1050,,Taoism,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1051,,Theravada,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1052,,Unitarian-Universalism,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1053,,Universal Life Church,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1054,,Vajrayana (Tibetan),http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1055,,Veda,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1056,,Voodoo,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1057,,Wicca,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1058,,Yaohushua,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1059,,Zen Buddhism,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1060,,Zoroastrianism,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1061,,Assembly of God,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1062,,Brethren,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1063,,Christian Scientist,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1064,,Church of Christ,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1065,,Church of God,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1066,,Congregational,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1067,,Disciples of Christ,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1068,,Eastern Orthodox,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1069,,Episcopalian,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1070,,Evangelical Covenant,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1071,,Friends,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1072,,Full Gospel,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1073,,Methodist,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1074,,Native American,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1075,,Nazarene,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1076,,Presbyterian,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1077,,Protestant,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1078,,"Protestant, No Denomination",http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1079,,Reformed,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1080,,Salvation Army,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1081,,Unitarian Universalist,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1082,,United Church of Christ,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
