HL7 v2,,,Condition (IF True),,,HL7 FHIR,,,,,Comments
Code,Text,Code System,Computable ANTLR,Computable FHIRPath,Narrative,Code,,Display,Code System,,
AUI,Authorization information,HL70125,,,,,,,,,
CCD,Charge code and date,HL70125,,,,,,,,,
CCP,Channel calibration parameters,HL70125,,,,,,,,,
CD,Channel definition,HL70125,,,,,,,,,
CF,Coded element with formatted values,HL70125,,,,valueCodeableConcept,,,,,
CNE,Coded with no exceptions,HL70125,,,,valueCodeableConcept,,,,,
CNN,Composite ID number and name simplified,HL70125,,,,,,,,,
CP,Composite price,HL70125,,,,,,,,,
CSU,Channel sensitivity and units,HL70125,,,,,,,,,
CWE,Coded with exceptions,HL70125,,,,valueCodeableConcept,,,,,
CX,Extended composite ID with check digit,HL70125,,,,,,,,,
DDI,Daily deductible information,HL70125,,,,,,,,,
DIN,Date and institution name,HL70125,,,,,,,,,
DLD,Discharge to location and date,HL70125,,,,,,,,,
DLN,Driver’s license number,HL70125,,,,,,,,,
DLT,Delta,HL70125,,,,,,,,,
DR,Date/time range,HL70125,,,,valuePeriod,,,,,
DT,Date,HL70125,,,,valueDateTime,,,,,
DTM,Date/time,HL70125,,,,valueDateTime,,,,,
DTN,Day type and number,HL70125,,,,,,,,,
ED,Encapsulated data,HL70125,,,,,,,,,
EI,Entity identifier,HL70125,,,,,,,,,
EIP,Entity identifier pair,HL70125,,,,,,,,,
ERL,Error location,HL70125,,,,,,,,,
FC,Financial class,HL70125,,,,,,,,,
FT,Formatted text,HL70125,,,,valueString,,,,,
GTS,General timing specification,HL70125,,,,,,,,,
HD,Hierarchic designator,HL70125,,,,,,,,,
ICD,Insurance certification definition,HL70125,,,,,,,,,
IS,Coded value for user-defined tables,HL70125,,,,valueCodeableConcept,,,,,
JCC,Job code/class,HL70125,,,,,,,,,
LA1,Location with address variation 1,HL70125,,,,,,,,,
LA2,Location with address variation 2,HL70125,,,,,,,,,
MA,Multiplexed array,HL70125,,,,,,,,,
MO,Money,HL70125,,,,,,,,,
MOC,Money and charge code,HL70125,,,,,,,,,
MOP,Money or percentage,HL70125,,,,,,,,,
MSG,Message type,HL70125,,,,,,,,,
NA,Numeric array,HL70125,,,,,"#ext-valueNumericArray""",,,,
NDL,Name with date and location,HL70125,,,,,,,,,
NM,Numeric,HL70125,,,,valueInteger or valueQuantity,,,,,
NR,Numeric range,HL70125,,,,valueRange,,,,,
OCD,Occurrence code and date,HL70125,,,,,,,,,
OSP,Occurrence span code and date,HL70125,,,,,,,,,
PIP,Practitioner institutional privileges,HL70125,,,,,,,,,
PL,Person location,HL70125,,,,,,,,,
PLN,Practitioner license or other ID number,HL70125,,,,,,,,,
PPN,Performing person time stamp,HL70125,,,,,,,,,
PRL,Parent result link,HL70125,,,,,,,,,
PT,Processing type,HL70125,,,,,,,,,
PTA,Policy type and amount,HL70125,,,,,,,,,
QIP,Query input parameter list,HL70125,,,,,,,,,
QSC,Query selection criteria,HL70125,,,,,,,,,
RCD,Row column definition,HL70125,,,,,,,,,
RFR,Reference range,HL70125,,,,,,,,,
RI,Repeat interval,HL70125,,,,,,,,,
RMC,Room coverage,HL70125,,,,,,,,,
RP,Reference pointer,HL70125,,,,,,,,,
RPT,Repeat pattern,HL70125,,,,,,,,,
SCV,Scheduling class value pair,HL70125,,,,,,,,,
SN,Structured numeric,HL70125,,,,"valueInteger, valueRange or valueRatio",,,,,
SNM,String of telephone number digits,HL70125,,,,,,,,,
SPD,Specialty description,HL70125,,,,,,,,,
SRT,Sort order,HL70125,,,,,,,,,
ST,String data,HL70125,,,,valueString,,,,,
TM,Time,HL70125,,,,valueTime,,,,,
TX,Text data,HL70125,,,,valueString,,,,,
UVC,UB value code and amount,HL70125,,,,,,,,,
VH,Visiting hours,HL70125,,,,,,,,,
VID,Version identifier,HL70125,,,,,,,,,
VR,Value range,HL70125,,,,valueRange,,,,,
WVI,Channel Identifier,HL70125,,,,,,,,,
WVS,Waveform source,HL70125,,,,,,,,,
XAD,Extended address,HL70125,,,,,,,,,
XCN,Extended composite ID number and name for persons,HL70125,,,,,,,,,
XON,Extended composite name and ID number for organizations,HL70125,,,,,,,,,
XPN,Extended person name,HL70125,,,,,,,,,
XTN,Extended telecommunications number,HL70125,,,,,,,,,
