HL7 v2,,,,,,Condition (IF True),,,HL7 FHIR,,,,,,,,,Comments
Sort Order,Identifier,Name,Data Type,Cardinality - Min,Cardinality - Max,Computable ANTLR,Computable FHIRPath,Narrative,FHIR Attribute/ Data Type,,Data Type,Cardinality - Min,Cardinality - Max,Data Type Mapping,"Vocabulary Mapping
(IS, ID, CE, CNE, CWE)",Assignment,,
1,NDL.1,Name,CNN,0,1,,,,practitioner(Practitioner),Reference(Practitioner),0,1,,CNN[Practitioner],,,,
2,NDL.2,Start Date/time,DTM,0,1,,,,period.start,dateTime,0,1,,,,,,
3,NDL.3,End Date/time,DTM,0,1,,,,period.end,dateTime,0,1,,,,,,
4,NDL.4,Point of Care,IS,0,1,,,,,,,,,,,,,
5,NDL.5,Room,IS,0,1,,,,,,,,,,,,,
6,NDL.6,Bed,IS,0,1,,,,,,,,,,,,,
7,NDL.7,Facility,HD,0,1,,,,,,,,,,,,,
8,NDL.8,Location Status,IS,0,1,,,,,,,,,,,,,
9,NDL.9,Patient Location Type,IS,0,1,,,,,,,,,,,,,
10,NDL.10,Building,IS,0,1,,,,,,,,,,,,,
11,NDL.11,Floor,IS,0,1,,,,,,,,,,,,,
