HL7 v2,,,,,,Condition (IF True),,,HL7 FHIR,,,,Comments
Sort Order,Identifier,Syntax,Name,Cardinality - Min,Cardinality - Max,Computable ANTLR,Computable FHIRPath,Narrative,Primary Target,Segment Map,References,,
1,ORU_R01.MSH,MSH,Message Header,1,1,,,,Bundle,MSH[Bundle],,,
1,ORU_R01.MSH,MSH,Message Header,1,1,,,,MessageHeader[1],MSH[MessageHeader],,,Processing of the MSH segment results in the creation of a new MessageHeader resource
1,ORU_R01.MSH,MSH,Message Header,1,1,,,,Provenance[1],MSH[Provenance],Provenance.target=Bundle; Provenance.target=MessageHeader[MSH],,
2,ORU_R01.SFT,[{ SFT }],Software Segment,0,-1,,,,MessageHeader[1],SFT[MessageHeader],,,Incorporate SFT content for each of the SFT instances into the MessageHeader created from the MSH segment.
3,ORU_R01.UAC,[UAC],User Authentication Credential,0,1,,,,,,,,
4,ORU_R01.PATIENT_RESULT,{,--- PATIENT_RESULT begin,1,-1,,,,,,,,
4.1,ORU_R01.PATIENT_RESULT.PATIENT,[,--- PATIENT begin,0,1,,,,,,,,
4.1.1,ORU_R01.PATIENT_RESULT.PATIENT.PID,PID,Patient Identification,1,1,,,,Patient[1],PID[Patient],,,Processing of the PID segment results in the creation of a new Patient resource
4.1.2,ORU_R01.PATIENT_RESULT.PATIENT.PD1,[PD1],Additional Demographics,0,1,,,,Patient[1],PD1[Patient],,,Incorporate PD1 content into the Patient created from the PID segment.
4.1.3,ORU_R01.PATIENT_RESULT.PATIENT.PRT,[{PRT}],Participation (for Patient),0,-1,"IF PRT-4.1 EQUALS ""PP"" AND PRT-4.3 EQUALS ""HL70443""","(PRT.element(4.1)=""PP"")and(PRT.element(4.3)=""HL70443"")",,PractitionerRole[1],PRT[PractitionerRole],Patient[1].generalPractitioner.reference=PractitionerRole[1].id,,Incorporate PRT content into the Patient created from the PID segment when the PRT contains practitioner related data.
4.1.3,ORU_R01.PATIENT_RESULT.PATIENT.PRT,[{PRT}],Participation (for Patient),0,-1,"IF PRT-4.1 NOT EQUALS ""PP"" OR PRT-4.3 NOT EQUALS ""HL70443""","(PRT.element(4.1)!=""PP"")or(PRT.element(4.3)!=""HL70443"")",,RelatedPerson[1],PRT[RelatedPerson],RelatedPerson.patient.reference=Patient[1].id,,
4.1.4,ORU_R01.PATIENT_RESULT.PATIENT.NTE,[{NTE}],Notes and Comments,0,-1,,,,,,,,
4.1.5,ORU_R01.PATIENT_RESULT.PATIENT.NK1,[{NK1}],Next of Kin/Associated Parties,0,-1,,,The FHIR location will depend on the nature of the data being exchanged and how the systems use next of kin data,RelatedPerson[2],NK1[RelatedPerson],RelatedPerson.patient.reference=Patient[1].id,,"Typically, each NK1 will be translated to either a new RelatedPerson resource or added as a new occurrence of Patient.contact, but it's possible to insert the NK1 data into both structures."
4.1.5,ORU_R01.PATIENT_RESULT.PATIENT.NK1,[{NK1}],Next of Kin/Associated Parties,0,-1,,,The FHIR location will depend on the nature of the data being exchanged and how the systems use next of kin data,Patient[1],NK1[Patient],,,"Typically, each NK1 will be translated to either a new RelatedPerson resource or added as a new occurrence of Patient.contact, but it's possible to insert the NK1 data into both structures."
4.1.6,ORU_R01.PATIENT_RESULT.PATIENT.ARV,[{ARV}],Access Restrictions,0,-1,,,,,,,,
4.1.7,ORU_R01.PATIENT_RESULT.PATIENT.PATIENT_OBSERVATION,[{,--- PATIENT_OBSERVATION begin,0,-1,,,,,,,,
