HL7 v2,,,,,,Condition (IF True),,,HL7 FHIR,,,,,,,,,Comments
Sort Order,Identifier,Name,Data Type,Cardinality - Min,Cardinality - Max,Computable ANTLR,Computable FHIRPath,Narrative,FHIR Attribute,,Data Type,Cardinality - Min,Cardinality - Max,Data Type Mapping,"Vocabulary Mapping
(IS, ID, CE, CNE, CWE)",Assignment,,
0,MSH,,,,,,,,recorded,,,1,1,,,/timestamp of tranformation/,,
0,MSH,,,,,,,,policy,,,0,-1,,,/uri of the policy governing transformation of the v2 to FHIR/,,
0,MSH,,,,,,,,agent[1].type.coding.code,,,1,-1,,,"""assembler""",,
0,MSH,,,,,,,,agent[1].type.coding.system,,,1,-1,,,"""http://terminology.hl7.org/CodeSystem/provenance-participant-type""",,
0,MSH,,,,,,,,,agent[1].who=Reference(Organization|Device) where the Organization/Device resource points to the owner of the transformation process,,1,-1,,,,,
1,MSH-1,Field Separator,ST,1,1,,,,,,,,,,,,,
2,MSH-2,Encoding Characters,ST,1,1,,,,,,,,,,,,,
3,MSH-3,Sending Application,HD,0,1,IF MSH-3 AND MSH-24 VALUED,,,agent[2].who(Device),,Reference(Device),,,HD[Device],,,,
3,MSH-3,Sending Application,HD,0,1,IF MSH-3 AND MSH-24 VALUED,,,,"agent[2].type.coding.code=""sender-application""",CodeableConcept,,,,,,,
4,MSH-4,Sending Facility,HD,0,1,IF MSH-22 NOT VALUED,,,agent[3].who(Organization),,Reference(Organization),1,1,HD[Organization],,,,
4,MSH-4,Sending Facility,HD,0,1,IF MSH-22 NOT VALUED,,,agent[3].type.coding.code,,code,0,1,,,"""author""",,
4,MSH-4,Sending Facility,HD,0,1,IF MSH-22 NOT VALUED,,,agent[3].type.coding.system,,uri,0,1,,,"""http://terminology.hl7.org/CodeSystem/provenance-participant-type""",,
5,MSH-5,Receiving Application,HD,0,1,IF MSH-5 AND MSH-25 VALUED,,,,"agent[4].who(Device)=""receiver-application""",Reference(Device),,,HD[Device],,,,
5,MSH-5,Receiving Application,HD,0,1,IF MSH-5 AND MSH-25 VALUED,,,agent[4].type.coding.code,,CodeableConcept,,,,,MessageHeader.id,,
6,MSH-6,Receiving Facility,HD,0,1,,,,,,,,,,,,,
7,MSH-7,Date/Time of Message,DTM,1,1,,,,,,,,,,,,,
7,MSH-7,Date/Time of Message,DTM,1,1,,,,occuredDateTime,,dateTime,0,1,,,,,
8,MSH-8,Security,ST,0,1,,,,,,,,,,,,,
9,MSH-9,Message Type,MSG,1,1,,,,,,,,,,,,,
10,MSH-10,Message Control ID,ST,1,1,,,,,,,,,,,,,
11,MSH-11,Processing ID,PT,1,1,,,,,,,,,,,,,
12,MSH-12,Version ID,VID,1,1,,,,,,,,,,,,,
13,MSH-13,Sequence Number,NM,0,1,,,,,,,,,,,,,
14,MSH-14,Continuation Pointer,ST,0,1,,,,,,,,,,,,,
15,MSH-15,Accept Acknowledgment Type,ID,0,1,,,,,,,,,,,,,
16,MSH-16,Application Acknowledgment Type,ID,0,1,,,,,,,,,,,,,
17,MSH-17,Country Code,ID,0,1,,,,,,,,,,,,,
18,MSH-18,Character Set,ID,0,-1,,,,,,,,,,,,,
19,MSH-19,Principal Language Of Message,CWE,0,1,,,,,,,,,,,,,
20,MSH-20,Alternate Character Set Handling Scheme,ID,0,1,,,,,,,,,,,,,
21,MSH-21,Message Profile Identifier,EI,0,-1,,,,,,,,,,,,,"If MSH-21 can be translated into a uri, it can be used to populate Provenance.policy"
22,MSH-22,Sending Responsible Organization,XON,0,1,,,,agent[5].who(Organization),,Reference(Organization),1,1,XON[Organization],,,,
22,MSH-22,Sending Responsible Organization,XON,0,1,,,,agent[5].type.coding.code,,code,0,1,,,"""author""",,
22,MSH-22,Sending Responsible Organization,XON,0,1,,,,agent[5].type.coding.system,,uri,0,1,,,"""http://terminology.hl7.org/CodeSystem/provenance-participant-type""",,
23,MSH-23,Receiving Responsible Organization,XON,0,1,,,,,,,,,,,,,
24,MSH-24,Sending Network Address,HD,0,1,,,,,,,,,,,,,
25,MSH-25,Receiving Network Address,HD,0,1,,,,,,,,,,,,,
