HL7 v2,,,,,,Condition (IF True),,,HL7 FHIR,,,,,,,,,Comments
Sort Order,Identifier,Name,Data Type,Cardinality - Min,Cardinality - Max,Computable ANTLR,Computable FHIRPath,Narrative,FHIR Attribute,,Data Type,Cardinality - Min,Cardinality - Max,Data Type Mapping,"Vocabulary Mapping
(IS, ID, CE, CNE, CWE)",Assignment,,
1,PV1-1,Set ID - PV1,SI,0,1,,,,,,,,,,,,,
2,PV1-2,Patient Class,CWE,1,1,,,,,,,,,,,,,
3,PV1-3,Assigned Patient Location,PL,0,1,,,,,,,,,,,,,
4,PV1-4,Admission Type,CWE,0,1,,,,,,,,,,,,,
5,PV1-5,Preadmit Number,CX,0,1,,,,,,,,,,,,,
6,PV1-6,Prior Patient Location,PL,0,1,,,,,,,,,,,,,
7,PV1-7,Attending Doctor,XCN,0,-1,,,,,,,,,,,,,
8,PV1-8,Referring Doctor,XCN,0,-1,,,,,,,,,,,,,
9,PV1-9,Consulting Doctor,XCN,0,-1,,,,,,,,,,,,,
10,PV1-10,Hospital Service,CWE,0,1,,,,,,,,,,,,,
11,PV1-11,Temporary Location,PL,0,1,,,,,,,,,,,,,
12,PV1-12,Preadmit Test Indicator,CWE,0,1,,,,,,,,,,,,,
13,PV1-13,Re-admission Indicator,CWE,0,1,,,,,,,,,,,,,
14,PV1-14,Admit Source,CWE,0,1,,,,,,,,,,,,,
15,PV1-15,Ambulatory Status,CWE,0,-1,,,,,,,,,,,,,
16,PV1-16,VIP Indicator,CWE,0,1,,,,extension-patient-importance,,CodeableConcept,0,1,CWE[CodeableConcept],,,,"Depending on the vocabulary used in PV1-16, this may require additional mapping."
17,PV1-17,Admitting Doctor,XCN,0,-1,,,,,,,,,,,,,
18,PV1-18,Patient Type,CWE,0,1,,,,,,,,,,,,,
19,PV1-19,Visit Number,CX,0,1,,,,,,,,,,,,,
20,PV1-20,Financial Class,FC,0,-1,,,,,,,,,,,,,
21,PV1-21,Charge Price Indicator,CWE,0,1,,,,,,,,,,,,,
22,PV1-22,Courtesy Code,CWE,0,1,,,,,,,,,,,,,
23,PV1-23,Credit Rating,CWE,0,1,,,,,,,,,,,,,
24,PV1-24,Contract Code,CWE,0,-1,,,,,,,,,,,,,
25,PV1-25,Contract Effective Date,DT,0,-1,,,,,,,,,,,,,
26,PV1-26,Contract Amount,NM,0,-1,,,,,,,,,,,,,
27,PV1-27,Contract Period,NM,0,-1,,,,,,,,,,,,,
28,PV1-28,Interest Code,CWE,0,1,,,,,,,,,,,,,
29,PV1-29,Transfer to Bad Debt Code,CWE,0,1,,,,,,,,,,,,,
30,PV1-30,Transfer to Bad Debt Date,DT,0,1,,,,,,,,,,,,,
31,PV1-31,Bad Debt Agency Code,CWE,0,1,,,,,,,,,,,,,
32,PV1-32,Bad Debt Transfer Amount,NM,0,1,,,,,,,,,,,,,
33,PV1-33,Bad Debt Recovery Amount,NM,0,1,,,,,,,,,,,,,
34,PV1-34,Delete Account Indicator,CWE,0,1,,,,,,,,,,,,,
35,PV1-35,Delete Account Date,DT,0,1,,,,,,,,,,,,,
36,PV1-36,Discharge Disposition,CWE,0,1,,,,,,,,,,,,,
37,PV1-37,Discharged to Location,DLD,0,1,,,,,,,,,,,,,
38,PV1-38,Diet Type,CWE,0,1,,,,,,,,,,,,,
39,PV1-39,Servicing Facility,CWE,0,1,,,,,,,,,,,,,
40,PV1-40,Bed Status,IS,0,1,,,,,,,,,,,,,
41,PV1-41,Account Status,CWE,0,1,,,,,,,,,,,,,
42,PV1-42,Pending Location,PL,0,1,,,,,,,,,,,,,
42,PV1-42,Pending Location,PL,0,1,,,,,,,,,,,,,
42,PV1-42,Pending Location,PL,0,1,,,,,,,,,,,,,
43,PV1-43,Prior Temporary Location,PL,0,1,,,,,,,,,,,,,
43,PV1-43,Prior Temporary Location,PL,0,1,,,,,,,,,,,,,
43,PV1-43,Prior Temporary Location,PL,0,1,,,,,,,,,,,,,
44,PV1-44,Admit Date/Time,DTM,0,1,,,,,,,,,,,,,
45,PV1-45,Discharge Date/Time,DTM,0,1,,,,,,,,,,,,,
45,PV1-45,Discharge Date/Time,DTM,0,1,,,,,,,,,,,,,
46,PV1-46,Current Patient Balance,NM,0,1,,,,,,,,,,,,,
47,PV1-47,Total Charges,NM,0,1,,,,,,,,,,,,,
48,PV1-48,Total Adjustments,NM,0,1,,,,,,,,,,,,,
49,PV1-49,Total Payments,NM,0,1,,,,,,,,,,,,,
50,PV1-50,Alternate Visit ID,CX,0,-1,,,,,,,,,,,,,
51,PV1-51,Visit Indicator,CWE,0,1,,,,,,,,,,,,,
52,PV1-52,Other Healthcare Provider,XCN,0,-1,,,,,,,,,,,,,
53,PV1-53,Service Episode Description,ST,0,1,,,,,,,,,,,,,
54,PV1-54,Service Episode Identifier,CX,0,1,,,,,,,,,,,,,
