HL7 v2,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,Comments
Code,Text,Code System,Core Version,Incubator Version,Computable ANTLR,Computable FHIRPath,Narrative,Code,,Display,Code System,,
,,,"F-R4, F-R6",,,,,unrestricted,,U,http://terminology.hl7.org/CodeSystem/v3-Confidentiality,,
,,,"F-R4, F-R6",,,,,low,,L,http://terminology.hl7.org/CodeSystem/v3-Confidentiality,,
,,,"F-R4, F-R6",,,,,moderate,,M,http://terminology.hl7.org/CodeSystem/v3-Confidentiality,,
,,,"F-R4, F-R6",,,,,normal,,N,http://terminology.hl7.org/CodeSystem/v3-Confidentiality,,
,,,"F-R4, F-R6",,,,,restricted,,R,http://terminology.hl7.org/CodeSystem/v3-Confidentiality,,
,,,"F-R4, F-R6",,,,,very restricted,,V,http://terminology.hl7.org/CodeSystem/v3-Confidentiality,,
,,,"F-R4, F-R6",,,,,substance abuse information sensitivity,,ETH,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,genetic disease information sensitivity,,GDIS,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,HIV/AIDS information sensitivity,,HIV,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,military sexual trauma information sensitivity,,MST,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,sickle cell anemia information sensitivity,,SCA,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,"sexual assault, abuse, or domestic violence information sensitivity",,SDV,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,sexuality and reproductive health information sensitivity,,SEX,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,specially protected information sensitivity,,SPI,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,behavioral health information sensitivity,,BH,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,cognitive disability information sensitivity,,COGN,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,developmental disability information sensitivity,,DVD,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,emotional disturbance information sensitivity,,EMOTDIS,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,mental health information sensitivity,,MH,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,psychiatry disorder information sensitivity,,PSY,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,psychotherapy note information sensitivity,,PSYTHPN,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,substance use disorder information sensitivity,,SUD,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,alcohol use disorder information sensitivity,,ETHUD,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,opioid use disorder information sensitivity,,OPIOIDUD,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,sexually transmitted disease information sensitivity,,STD,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,taboo,,TBOO,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,violence information sensitivity,,VIO,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,sickle cell,,SICKLE,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,all demographic information sensitivity,,DEMO,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,date of birth information sensitivity,,DOB,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,gender and sexual orientation information sensitivity,,GENDER,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,living arrangement information sensitivity,,LIVARG,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,marital status information sensitivity,,MARST,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,race information sensitivity,,RACE,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,religion information sensitivity,,REL,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,business information sensitivity,,B,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,employer information sensitivity,,EMPL,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,location information sensitivity,,LOCIS,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,sensitive service provider information sensitivity,,SSP,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,adolescent information sensitivity,,ADOL,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,celebrity information sensitivity,,CEL,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,diagnosis information sensitivity,,DIA,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,drug information sensitivity,,DRGIS,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,employee information sensitivity,,EMP,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,patient default information sensitivity,,PDS,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,physician requested information sensitivity,,PHY,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,patient requested information sensitivity,,PRS,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,compartment,,COMPT,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,accountable care organization compartment,,ACOCOMPT,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,care team compartment,,CTCOMPT,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,financial management compartment,,FMCOMPT,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,human resource compartment,,HRCOMPT,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,legitimate relationship compartment,,LRCOMPT,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,patient administration compartment,,PACOMPT,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,research project compartment,,RESCOMPT,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,records management compartment,,RMGTCOMPT,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,abstracted,,ABSTRED,http://terminology.hl7.org/CodeSystem/v3-ObservationValue,,
,,,"F-R4, F-R6",,,,,aggregated,,AGGRED,http://terminology.hl7.org/CodeSystem/v3-ObservationValue,,
,,,"F-R4, F-R6",,,,,anonymized,,ANONYED,http://terminology.hl7.org/CodeSystem/v3-ObservationValue,,
,,,"F-R4, F-R6",,,,,mapped,,MAPPED,http://terminology.hl7.org/CodeSystem/v3-ObservationValue,,
,,,"F-R4, F-R6",,,,,masked,,MASKED,http://terminology.hl7.org/CodeSystem/v3-ObservationValue,,
,,,"F-R4, F-R6",,,,,pseudonymized,,PSEUDED,http://terminology.hl7.org/CodeSystem/v3-ObservationValue,,
,,,"F-R4, F-R6",,,,,redacted,,REDACTED,http://terminology.hl7.org/CodeSystem/v3-ObservationValue,,
,,,"F-R4, F-R6",,,,,subsetted,,SUBSETTED,http://terminology.hl7.org/CodeSystem/v3-ObservationValue,,
,,,"F-R4, F-R6",,,,,syntactic transform,,SYNTAC,http://terminology.hl7.org/CodeSystem/v3-ObservationValue,,
,,,"F-R4, F-R6",,,,,translated,,TRSLT,http://terminology.hl7.org/CodeSystem/v3-ObservationValue,,
,,,"F-R4, F-R6",,,,,versioned,,VERSIONED,http://terminology.hl7.org/CodeSystem/v3-ObservationValue,,
,,,"F-R4, F-R6",,,,,cryptographic hash function,,CRYTOHASH,http://terminology.hl7.org/CodeSystem/v3-ObservationValue,,
,,,"F-R4, F-R6",,,,,digital signature,,DIGSIG,http://terminology.hl7.org/CodeSystem/v3-ObservationValue,,
,,,"F-R4, F-R6",,,,,highly reliable,,HRELIABLE,http://terminology.hl7.org/CodeSystem/v3-ObservationValue,,
,,,"F-R4, F-R6",,,,,reliable,,RELIABLE,http://terminology.hl7.org/CodeSystem/v3-ObservationValue,,
,,,"F-R4, F-R6",,,,,uncertain reliability,,UNCERTREL,http://terminology.hl7.org/CodeSystem/v3-ObservationValue,,
,,,"F-R4, F-R6",,,,,unreliable,,UNRELIABLE,http://terminology.hl7.org/CodeSystem/v3-ObservationValue,,
,,,"F-R4, F-R6",,,,,clinician asserted,,CLINAST,http://terminology.hl7.org/CodeSystem/v3-ObservationValue,,
,,,"F-R4, F-R6",,,,,device asserted,,DEVAST,http://terminology.hl7.org/CodeSystem/v3-ObservationValue,,
,,,"F-R4, F-R6",,,,,healthcare professional asserted,,HCPAST,http://terminology.hl7.org/CodeSystem/v3-ObservationValue,,
,,,"F-R4, F-R6",,,,,patient acquaintance asserted,,PACQAST,http://terminology.hl7.org/CodeSystem/v3-ObservationValue,,
,,,"F-R4, F-R6",,,,,patient asserted,,PATAST,http://terminology.hl7.org/CodeSystem/v3-ObservationValue,,
,,,"F-R4, F-R6",,,,,payer asserted,,PAYAST,http://terminology.hl7.org/CodeSystem/v3-ObservationValue,,
