HL7 v2,,,Condition (IF True),,,HL7 FHIR,,,,,Comments
Code,Text,Code System,Computable ANTLR,Computable FHIRPath,Narrative,Code,,Display,Code System,,
CH,Chew,HL70165,,,,419747000,,Chew,http://snomed.info/sct,,
DI,Dissolve,HL70165,,,,421682005,,Dissolve,http://snomed.info/sct,,
DU,Dust,HL70165,,,,,,,,,
IF,Infiltrate,HL70165,,,,,,,,,
IS,Insert,HL70165,,,,421257003,,Insert,http://snomed.info/sct,,
IR,Irrigate,HL70165,,,,,,,,,
IVPB,IV Piggyback,HL70165,,,,,,,,,
IVP,IV Push,HL70165,,,,,,,,,
NB,Nebulized,HL70165,,,,,,,,,
PT,Paint,HL70165,,,,,,,,,
PF,Perfuse,HL70165,,,,,,,,,
SH,Shampoo,HL70165,,,,420606003,,Shampoo,http://snomed.info/sct,,
SO,Soak,HL70165,,,,,,,,,
WA,Wash,HL70165,,,,422152000,,Wash,http://snomed.info/sct,,
WI,Wipe,HL70165,,,,,,,,,
