HL7 v2,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,Comments
Code,Text,Code System,Core Version,Incubator Version,Computable ANTLR,Computable FHIRPath,Narrative,Code,,Display,Code System,,
F10,10% Formalin,HL70371,"F-R4, F-R6",,,,,F10,,10% Formalin,http://terminology.hl7.org/CodeSystem/v2-0371,,
C32,3.2%  Citrate,HL70371,"F-R4, F-R6",,,,,C32,,3.2%  Citrate,http://terminology.hl7.org/CodeSystem/v2-0371,,
C38,3.8% Citrate,HL70371,"F-R4, F-R6",,,,,C38,,3.8% Citrate,http://terminology.hl7.org/CodeSystem/v2-0371,,
HCL6,6N HCL,HL70371,"F-R4, F-R6",,,,,HCL6,,6N HCL,http://terminology.hl7.org/CodeSystem/v2-0371,,
ACDA,ACD Solution A,HL70371,"F-R4, F-R6",,,,,ACDA,,ACD Solution A,http://terminology.hl7.org/CodeSystem/v2-0371,,
ACDB,ACD Solution B,HL70371,"F-R4, F-R6",,,,,ACDB,,ACD Solution B,http://terminology.hl7.org/CodeSystem/v2-0371,,
ACET,Acetic Acid,HL70371,"F-R4, F-R6",,,,,ACET,,Acetic Acid,http://terminology.hl7.org/CodeSystem/v2-0371,,
AMIES,Amies transport medium,HL70371,"F-R4, F-R6",,,,,AMIES,,Amies transport medium,http://terminology.hl7.org/CodeSystem/v2-0371,,
HEPA,Ammonium heparin,HL70371,"F-R4, F-R6",,,,,HEPA,,Ammonium heparin,http://terminology.hl7.org/CodeSystem/v2-0371,,
BACTM,Bacterial Transport medium,HL70371,"F-R4, F-R6",,,,,BACTM,,Bacterial Transport medium,http://terminology.hl7.org/CodeSystem/v2-0371,,
BOR,Borate Boric Acid,HL70371,"F-R4, F-R6",,,,,BOR,,Borate Boric Acid,http://terminology.hl7.org/CodeSystem/v2-0371,,
BOUIN,Bouin's solution,HL70371,"F-R4, F-R6",,,,,BOUIN,,Bouin's solution,http://terminology.hl7.org/CodeSystem/v2-0371,,
BF10,Buffered 10% formalin,HL70371,"F-R4, F-R6",,,,,BF10,,Buffered 10% formalin,http://terminology.hl7.org/CodeSystem/v2-0371,,
WEST,Buffered Citrate (Westergren Sedimentation Rate),HL70371,"F-R4, F-R6",,,,,WEST,,Buffered Citrate (Westergren Sedimentation Rate),http://terminology.hl7.org/CodeSystem/v2-0371,,
BSKM,Buffered skim milk,HL70371,"F-R4, F-R6",,,,,BSKM,,Buffered skim milk,http://terminology.hl7.org/CodeSystem/v2-0371,,
CARS,Carson's Modified 10% formalin,HL70371,"F-R4, F-R6",,,,,CARS,,Carson's Modified 10% formalin,http://terminology.hl7.org/CodeSystem/v2-0371,,
CARY,Cary Blair Medium,HL70371,"F-R4, F-R6",,,,,CARY,,Cary Blair Medium,http://terminology.hl7.org/CodeSystem/v2-0371,,
