HL7 v2,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,Comments
Code,Text,Code System,Core Version,Incubator Version,Computable ANTLR,Computable FHIRPath,Narrative,Code,,Display,Code System,,
M,Mailing,HL70190,"F-R4, F-R6",,,,,postal,,Postal,http://hl7.org/fhir/address-type,,
SH,Shipping Address,HL70190,"F-R4, F-R6",,,,,postal,,Postal,http://hl7.org/fhir/address-type,,
BA,Bad address,HL70190,"F-R4, F-R6",,,,,,,,,,
BI,Billing Address,HL70190,"F-R4, F-R6",,,,,,,,,,
N,"Birth (nee)  (birth address, not otherwise specified)",HL70190,"F-R4, F-R6",,,,,,,,,,
BDL,Birth delivery location  (address where birth occurred),HL70190,"F-R4, F-R6",,,,,,,,,,
F,Country Of Origin,HL70190,"F-R4, F-R6",,,,,,,,,,
C,Current Or Temporary,HL70190,"F-R4, F-R6",,,,,,,,,,
B,Firm/Business,HL70190,"F-R4, F-R6",,,,,,,,,,
H,Home,HL70190,"F-R4, F-R6",,,,,,,,,,
L,Legal Address,HL70190,"F-R4, F-R6",,,,,,,,,,
O,Office/Business,HL70190,"F-R4, F-R6",,,,,,,,,,
P,Permanent,HL70190,"F-R4, F-R6",,,,,,,,,,
RH,"Registry home. Refers to the information system, typically managed by a public health agency, that stores patient information such as immunization histories or cancer data, regardless of where the patient obtains services.",HL70190,"F-R4, F-R6",,,,,,,,,,
BR,Residence at birth (home address at time of birth),HL70190,"F-R4, F-R6",,,,,,,,,,
S,Service Location,HL70190,"F-R4, F-R6",,,,,,,,,,
TM,Tube Address,HL70190,"F-R4, F-R6",,,,,,,,,,
V,Vacation,HL70190,"F-R4, F-R6",,,,,,,,,,
