HL7 v2,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,Comments
Code,Text,Code System,Core Version,Incubator Version,Computable ANTLR,Computable FHIRPath,Narrative,Code,,Display,Code System,,
CH,Chew,HL70165,"F-R4, F-R6",,,,,419747000,,Chew,http://snomed.info/sct,,
DI,Dissolve,HL70165,"F-R4, F-R6",,,,,421682005,,Dissolve,http://snomed.info/sct,,
DU,Dust,HL70165,"F-R4, F-R6",,,,,,,,,,
IF,Infiltrate,HL70165,"F-R4, F-R6",,,,,,,,,,
IS,Insert,HL70165,"F-R4, F-R6",,,,,421257003,,Insert,http://snomed.info/sct,,
IR,Irrigate,HL70165,"F-R4, F-R6",,,,,,,,,,
IVPB,IV Piggyback,HL70165,"F-R4, F-R6",,,,,,,,,,
IVP,IV Push,HL70165,"F-R4, F-R6",,,,,,,,,,
NB,Nebulized,HL70165,"F-R4, F-R6",,,,,,,,,,
PT,Paint,HL70165,"F-R4, F-R6",,,,,,,,,,
PF,Perfuse,HL70165,"F-R4, F-R6",,,,,,,,,,
SH,Shampoo,HL70165,"F-R4, F-R6",,,,,420606003,,Shampoo,http://snomed.info/sct,,
SO,Soak,HL70165,"F-R4, F-R6",,,,,,,,,,
WA,Wash,HL70165,"F-R4, F-R6",,,,,422152000,,Wash,http://snomed.info/sct,,
WI,Wipe,HL70165,"F-R4, F-R6",,,,,,,,,,
