HL7 v2,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,Comments
Code,Text,Code System,Core Version,Incubator Version,Computable ANTLR,Computable FHIRPath,Narrative,Code,,Display,Code System,,
A0,No functional limitations,HL70009,"F-R4, F-R6",,,,,,,,,,
A1,Ambulates with assistive device,HL70009,"F-R4, F-R6",,,,,,,,,,
A2,Wheelchair/stretcher bound,HL70009,"F-R4, F-R6",,,,,wheel,,Wheelchair,http://terminology.hl7.org/CodeSystem/encounter-special-arrangements,,
A3,Comatose; non-responsive,HL70009,"F-R4, F-R6",,,,,A3,,Comatose; non-responsive,http://terminology.hl7.org/CodeSystem/v2-0009,,
A4,Disoriented,HL70009,"F-R4, F-R6",,,,,A4,,Disoriented,http://terminology.hl7.org/CodeSystem/v2-0009,,
A5,Vision impaired,HL70009,"F-R4, F-R6",,,,,A5,,Vision impaired,http://terminology.hl7.org/CodeSystem/v2-0009,,
A6,Hearing impaired,HL70009,"F-R4, F-R6",,,,,A6,,Hearing impaired,http://terminology.hl7.org/CodeSystem/v2-0009,,
A7,Speech impaired,HL70009,"F-R4, F-R6",,,,,A7,,Speech impaired,http://terminology.hl7.org/CodeSystem/v2-0009,,
A8,Non-English speaking,HL70009,"F-R4, F-R6",,,,,A8,,Non-English speaking,http://terminology.hl7.org/CodeSystem/v2-0009,,
A9,Functional level unknown,HL70009,"F-R4, F-R6",,,,,A9,,Functional level unknown,http://terminology.hl7.org/CodeSystem/v2-0009,,
B1,Oxygen therapy,HL70009,"F-R4, F-R6",,,,,B1,,Oxygen therapy,http://terminology.hl7.org/CodeSystem/v2-0009,,
B2,"Special equipment (tubes, IVs, catheters)",HL70009,"F-R4, F-R6",,,,,B2,,"Special equipment (tubes, IVs, catheters)",http://terminology.hl7.org/CodeSystem/v2-0009,,
B3,Amputee,HL70009,"F-R4, F-R6",,,,,B3,,Amputee,http://terminology.hl7.org/CodeSystem/v2-0009,,
B4,Mastectomy,HL70009,"F-R4, F-R6",,,,,B4,,Mastectomy,http://terminology.hl7.org/CodeSystem/v2-0009,,
B5,Paraplegic,HL70009,"F-R4, F-R6",,,,,B5,,Paraplegic,http://terminology.hl7.org/CodeSystem/v2-0009,,
B6,Pregnant,HL70009,"F-R4, F-R6",,,,,B6,,Pregnant,http://terminology.hl7.org/CodeSystem/v2-0009,,
,,,"F-R4, F-R6",,,,,add-bed,,Additional bedding,http://terminology.hl7.org/CodeSystem/encounter-special-arrangements,,
,,,"F-R4, F-R6",,,,,int,,Interpreter,http://terminology.hl7.org/CodeSystem/encounter-special-arrangements,,
,,,"F-R4, F-R6",,,,,att,,Attendant,http://terminology.hl7.org/CodeSystem/encounter-special-arrangements,,
,,,"F-R4, F-R6",,,,,dog,,Guide dog,http://terminology.hl7.org/CodeSystem/encounter-special-arrangements,,
