HL7 v2,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,Comments
Code,Text,Code System,Core Version,Incubator Version,Computable ANTLR,Computable FHIRPath,Narrative,Code,,Display,Code System,,
JUGE,"Jugular, External",HL70550,"F-R4, F-R6",,,,,JUGE,,"Jugular, External",http://terminology.hl7.org/CodeSystem/v2-0550,,
ADB,Abdomen,HL70550,"F-R4, F-R6",,,,,ADB,,Abdomen,http://terminology.hl7.org/CodeSystem/v2-0550,,
ACET,Acetabulum,HL70550,"F-R4, F-R6",,,,,ACET,,Acetabulum,http://terminology.hl7.org/CodeSystem/v2-0550,,
ACHIL,Achilles,HL70550,"F-R4, F-R6",,,,,ACHIL,,Achilles,http://terminology.hl7.org/CodeSystem/v2-0550,,
ADE,Adenoids,HL70550,"F-R4, F-R6",,,,,ADE,,Adenoids,http://terminology.hl7.org/CodeSystem/v2-0550,,
ADR,Adrenal,HL70550,"F-R4, F-R6",,,,,ADR,,Adrenal,http://terminology.hl7.org/CodeSystem/v2-0550,,
AMN,Amniotic fluid,HL70550,"F-R4, F-R6",,,,,AMN,,Amniotic fluid,http://terminology.hl7.org/CodeSystem/v2-0550,,
AMS,Amniotic Sac,HL70550,"F-R4, F-R6",,,,,AMS,,Amniotic Sac,http://terminology.hl7.org/CodeSystem/v2-0550,,
ANAL,Anal,HL70550,"F-R4, F-R6",,,,,ANAL,,Anal,http://terminology.hl7.org/CodeSystem/v2-0550,,
ANKL,Ankle,HL70550,"F-R4, F-R6",,,,,ANKL,,Ankle,http://terminology.hl7.org/CodeSystem/v2-0550,,
ANTEC,Antecubital,HL70550,"F-R4, F-R6",,,,,ANTEC,,Antecubital,http://terminology.hl7.org/CodeSystem/v2-0550,,
ANTECF,Antecubital Fossa,HL70550,"F-R4, F-R6",,,,,ANTECF,,Antecubital Fossa,http://terminology.hl7.org/CodeSystem/v2-0550,,
ANTR,Antrum,HL70550,"F-R4, F-R6",,,,,ANTR,,Antrum,http://terminology.hl7.org/CodeSystem/v2-0550,,
ANUS,Anus,HL70550,"F-R4, F-R6",,,,,ANUS,,Anus,http://terminology.hl7.org/CodeSystem/v2-0550,,
AORTA,Aorta,HL70550,"F-R4, F-R6",,,,,AORTA,,Aorta,http://terminology.hl7.org/CodeSystem/v2-0550,,
AR,Aortic Rim,HL70550,"F-R4, F-R6",,,,,AR,,Aortic Rim,http://terminology.hl7.org/CodeSystem/v2-0550,,
AV,Aortic Valve,HL70550,"F-R4, F-R6",,,,,AV,,Aortic Valve,http://terminology.hl7.org/CodeSystem/v2-0550,,
APDX,Appendix,HL70550,"F-R4, F-R6",,,,,APDX,,Appendix,http://terminology.hl7.org/CodeSystem/v2-0550,,
AREO,Areola,HL70550,"F-R4, F-R6",,,,,AREO,,Areola,http://terminology.hl7.org/CodeSystem/v2-0550,,
ARM,Arm,HL70550,"F-R4, F-R6",,,,,ARM,,Arm,http://terminology.hl7.org/CodeSystem/v2-0550,,
ARTE,Artery,HL70550,"F-R4, F-R6",,,,,ARTE,,Artery,http://terminology.hl7.org/CodeSystem/v2-0550,,
ASCIT,Ascites,HL70550,"F-R4, F-R6",,,,,ASCIT,,Ascites,http://terminology.hl7.org/CodeSystem/v2-0550,,
ASCT,Ascitic Fluid,HL70550,"F-R4, F-R6",,,,,ASCT,,Ascitic Fluid,http://terminology.hl7.org/CodeSystem/v2-0550,,
ATR,Atrium,HL70550,"F-R4, F-R6",,,,,ATR,,Atrium,http://terminology.hl7.org/CodeSystem/v2-0550,,
AURI,Auricular,HL70550,"F-R4, F-R6",,,,,AURI,,Auricular,http://terminology.hl7.org/CodeSystem/v2-0550,,
AXI,Axilla,HL70550,"F-R4, F-R6",,,,,AXI,,Axilla,http://terminology.hl7.org/CodeSystem/v2-0550,,
BACK,Back,HL70550,"F-R4, F-R6",,,,,BACK,,Back,http://terminology.hl7.org/CodeSystem/v2-0550,,
BARTD,Bartholin Duct,HL70550,"F-R4, F-R6",,,,,BARTD,,Bartholin Duct,http://terminology.hl7.org/CodeSystem/v2-0550,,
BARTG,Bartholin Gland,HL70550,"F-R4, F-R6",,,,,BARTG,,Bartholin Gland,http://terminology.hl7.org/CodeSystem/v2-0550,,
BRTGF,Bartholin Gland Fluid,HL70550,"F-R4, F-R6",,,,,BRTGF,,Bartholin Gland Fluid,http://terminology.hl7.org/CodeSystem/v2-0550,,
BPH,Basophils,HL70550,"F-R4, F-R6",,,,,BPH,,Basophils,http://terminology.hl7.org/CodeSystem/v2-0550,,
BID,Bile Duct,HL70550,"F-R4, F-R6",,,,,BID,,Bile Duct,http://terminology.hl7.org/CodeSystem/v2-0550,,
BIFL,Bile fluid,HL70550,"F-R4, F-R6",,,,,BIFL,,Bile fluid,http://terminology.hl7.org/CodeSystem/v2-0550,,
BLAD,Bladder,HL70550,"F-R4, F-R6",,,,,BLAD,,Bladder,http://terminology.hl7.org/CodeSystem/v2-0550,,
BLOOD,Blood,HL70550,"F-R4, F-R6",,,,,BLOOD,,Blood,http://terminology.hl7.org/CodeSystem/v2-0550,,
BLDA,"Blood, Arterial",HL70550,"F-R4, F-R6",,,,,BLDA,,"Blood, Arterial",http://terminology.hl7.org/CodeSystem/v2-0550,,
BLDC,"Blood, Capillary",HL70550,"F-R4, F-R6",,,,,BLDC,,"Blood, Capillary",http://terminology.hl7.org/CodeSystem/v2-0550,,
BLDV,"Blood, Venous",HL70550,"F-R4, F-R6",,,,,BLDV,,"Blood, Venous",http://terminology.hl7.org/CodeSystem/v2-0550,,
CBLD,"Blood, Cord",HL70550,"F-R4, F-R6",,,,,CBLD,,"Blood, Cord",http://terminology.hl7.org/CodeSystem/v2-0550,,
BLD,"Blood, Whole",HL70550,"F-R4, F-R6",,,,,BLD,,"Blood, Whole",http://terminology.hl7.org/CodeSystem/v2-0550,,
BDY,"Body, Whole",HL70550,"F-R4, F-R6",,,,,BDY,,"Body, Whole",http://terminology.hl7.org/CodeSystem/v2-0550,,
BON,Bone,HL70550,"F-R4, F-R6",,,,,BON,,Bone,http://terminology.hl7.org/CodeSystem/v2-0550,,
BMAR,Bone marrow,HL70550,"F-R4, F-R6",,,,,BMAR,,Bone marrow,http://terminology.hl7.org/CodeSystem/v2-0550,,
BOWEL,Bowel,HL70550,"F-R4, F-R6",,,,,BOWEL,,Bowel,http://terminology.hl7.org/CodeSystem/v2-0550,,
BOWLA,"Bowel, Large",HL70550,"F-R4, F-R6",,,,,BOWLA,,"Bowel, Large",http://terminology.hl7.org/CodeSystem/v2-0550,,
BOWSM,"Bowel, Small",HL70550,"F-R4, F-R6",,,,,BOWSM,,"Bowel, Small",http://terminology.hl7.org/CodeSystem/v2-0550,,
BRA,Brachial,HL70550,"F-R4, F-R6",,,,,BRA,,Brachial,http://terminology.hl7.org/CodeSystem/v2-0550,,
BRAIN,Brain,HL70550,"F-R4, F-R6",,,,,BRAIN,,Brain,http://terminology.hl7.org/CodeSystem/v2-0550,,
BCYS,Brain Cyst Fluid,HL70550,"F-R4, F-R6",,,,,BCYS,,Brain Cyst Fluid,http://terminology.hl7.org/CodeSystem/v2-0550,,
BRST,Breast,HL70550,"F-R4, F-R6",,,,,BRST,,Breast,http://terminology.hl7.org/CodeSystem/v2-0550,,
BRSTFL,Breast fluid,HL70550,"F-R4, F-R6",,,,,BRSTFL,,Breast fluid,http://terminology.hl7.org/CodeSystem/v2-0550,,
BRO,Bronchial,HL70550,"F-R4, F-R6",,,,,BRO,,Bronchial,http://terminology.hl7.org/CodeSystem/v2-0550,,
BROCH,Bronchiole/Bronchiolar,HL70550,"F-R4, F-R6",,,,,BROCH,,Bronchiole/Bronchiolar,http://terminology.hl7.org/CodeSystem/v2-0550,,
BRONC,Bronchus/Bronchial,HL70550,"F-R4, F-R6",,,,,BRONC,,Bronchus/Bronchial,http://terminology.hl7.org/CodeSystem/v2-0550,,
BRV,Broviac,HL70550,"F-R4, F-R6",,,,,BRV,,Broviac,http://terminology.hl7.org/CodeSystem/v2-0550,,
BUCCA,Buccal,HL70550,"F-R4, F-R6",,,,,BUCCA,,Buccal,http://terminology.hl7.org/CodeSystem/v2-0550,,
BURSA,Bursa,HL70550,"F-R4, F-R6",,,,,BURSA,,Bursa,http://terminology.hl7.org/CodeSystem/v2-0550,,
BURSF,Bursa Fluid,HL70550,"F-R4, F-R6",,,,,BURSF,,Bursa Fluid,http://terminology.hl7.org/CodeSystem/v2-0550,,
BUTT,Buttocks,HL70550,"F-R4, F-R6",,,,,BUTT,,Buttocks,http://terminology.hl7.org/CodeSystem/v2-0550,,
CALF,Calf,HL70550,"F-R4, F-R6",,,,,CALF,,Calf,http://terminology.hl7.org/CodeSystem/v2-0550,,
