HL7 v2,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,Comments
Code,Text,Code System,Core Version,Incubator Version,Computable ANTLR,Computable FHIRPath,Narrative,Code,,Display,Code System,,
BE,Bilateral Ears,HL70163,"F-R4, F-R6",,,,,BE,,Bilateral Ears,http://terminology.hl7.org/CodeSystem/v2-0163,,
OU,Bilateral Eyes,HL70163,"F-R4, F-R6",,,,,OU,,Bilateral Eyes,http://terminology.hl7.org/CodeSystem/v2-0163,,
BN,Bilateral Nares,HL70163,"F-R4, F-R6",,,,,BN,,Bilateral Nares,http://terminology.hl7.org/CodeSystem/v2-0163,,
BU,Buttock,HL70163,"F-R4, F-R6",,,,,BU,,Buttock,http://terminology.hl7.org/CodeSystem/v2-0163,,
CT,Chest Tube,HL70163,"F-R4, F-R6",,,,,CT,,Chest Tube,http://terminology.hl7.org/CodeSystem/v2-0163,,
LA,Left Arm,HL70163,"F-R4, F-R6",,,,,LA,,Left Arm,http://terminology.hl7.org/CodeSystem/v2-0163,,
LAC,Left Anterior Chest,HL70163,"F-R4, F-R6",,,,,LAC,,Left Anterior Chest,http://terminology.hl7.org/CodeSystem/v2-0163,,
LACF,Left Antecubital Fossa,HL70163,"F-R4, F-R6",,,,,LACF,,Left Antecubital Fossa,http://terminology.hl7.org/CodeSystem/v2-0163,,
LD,Left Deltoid,HL70163,"F-R4, F-R6",,,,,LD,,Left Deltoid,http://terminology.hl7.org/CodeSystem/v2-0163,,
LE,Left Ear,HL70163,"F-R4, F-R6",,,,,LE,,Left Ear,http://terminology.hl7.org/CodeSystem/v2-0163,,
LEJ,Left External Jugular,HL70163,"F-R4, F-R6",,,,,LEJ,,Left External Jugular,http://terminology.hl7.org/CodeSystem/v2-0163,,
OS,Left Eye,HL70163,"F-R4, F-R6",,,,,OS,,Left Eye,http://terminology.hl7.org/CodeSystem/v2-0163,,
LF,Left Foot,HL70163,"F-R4, F-R6",,,,,LF,,Left Foot,http://terminology.hl7.org/CodeSystem/v2-0163,,
LG,Left Gluteus Medius,HL70163,"F-R4, F-R6",,,,,LG,,Left Gluteus Medius,http://terminology.hl7.org/CodeSystem/v2-0163,,
LH,Left Hand,HL70163,"F-R4, F-R6",,,,,LH,,Left Hand,http://terminology.hl7.org/CodeSystem/v2-0163,,
LIJ,Left Internal Jugular,HL70163,"F-R4, F-R6",,,,,LIJ,,Left Internal Jugular,http://terminology.hl7.org/CodeSystem/v2-0163,,
LLAQ,Left Lower Abd Quadrant,HL70163,"F-R4, F-R6",,,,,LLAQ,,Left Lower Abd Quadrant,http://terminology.hl7.org/CodeSystem/v2-0163,,
LLFA,Left Lower Forearm,HL70163,"F-R4, F-R6",,,,,LLFA,,Left Lower Forearm,http://terminology.hl7.org/CodeSystem/v2-0163,,
LMFA,Left Mid Forearm,HL70163,"F-R4, F-R6",,,,,LMFA,,Left Mid Forearm,http://terminology.hl7.org/CodeSystem/v2-0163,,
LN,Left Naris,HL70163,"F-R4, F-R6",,,,,LN,,Left Naris,http://terminology.hl7.org/CodeSystem/v2-0163,,
LPC,Left Posterior Chest,HL70163,"F-R4, F-R6",,,,,LPC,,Left Posterior Chest,http://terminology.hl7.org/CodeSystem/v2-0163,,
LSC,Left Subclavian,HL70163,"F-R4, F-R6",,,,,LSC,,Left Subclavian,http://terminology.hl7.org/CodeSystem/v2-0163,,
LT,Left Thigh,HL70163,"F-R4, F-R6",,,,,LT,,Left Thigh,http://terminology.hl7.org/CodeSystem/v2-0163,,
LUA,Left Upper Arm,HL70163,"F-R4, F-R6",,,,,LUA,,Left Upper Arm,http://terminology.hl7.org/CodeSystem/v2-0163,,
LUAQ,Left Upper Abd Quadrant,HL70163,"F-R4, F-R6",,,,,LUAQ,,Left Upper Abd Quadrant,http://terminology.hl7.org/CodeSystem/v2-0163,,
LUFA,Left Upper Forearm,HL70163,"F-R4, F-R6",,,,,LUFA,,Left Upper Forearm,http://terminology.hl7.org/CodeSystem/v2-0163,,
LVG,Left Ventragluteal,HL70163,"F-R4, F-R6",,,,,LVG,,Left Ventragluteal,http://terminology.hl7.org/CodeSystem/v2-0163,,
LVL,Left Vastus Lateralis,HL70163,"F-R4, F-R6",,,,,LVL,,Left Vastus Lateralis,http://terminology.hl7.org/CodeSystem/v2-0163,,
NB,Nebulized,HL70163,"F-R4, F-R6",,,,,NB,,Nebulized,http://terminology.hl7.org/CodeSystem/v2-0163,,
PA,Perianal,HL70163,"F-R4, F-R6",,,,,PA,,Perianal,http://terminology.hl7.org/CodeSystem/v2-0163,,
PERIN,Perineal,HL70163,"F-R4, F-R6",,,,,PERIN,,Perineal,http://terminology.hl7.org/CodeSystem/v2-0163,,
RA,Right Arm,HL70163,"F-R4, F-R6",,,,,RA,,Right Arm,http://terminology.hl7.org/CodeSystem/v2-0163,,
RAC,Right Anterior Chest,HL70163,"F-R4, F-R6",,,,,RAC,,Right Anterior Chest,http://terminology.hl7.org/CodeSystem/v2-0163,,
RACF,Right Antecubital Fossa,HL70163,"F-R4, F-R6",,,,,RACF,,Right Antecubital Fossa,http://terminology.hl7.org/CodeSystem/v2-0163,,
RD,Right Deltoid,HL70163,"F-R4, F-R6",,,,,RD,,Right Deltoid,http://terminology.hl7.org/CodeSystem/v2-0163,,
RE,Right Ear,HL70163,"F-R4, F-R6",,,,,RE,,Right Ear,http://terminology.hl7.org/CodeSystem/v2-0163,,
REJ,Right External Jugular,HL70163,"F-R4, F-R6",,,,,REJ,,Right External Jugular,http://terminology.hl7.org/CodeSystem/v2-0163,,
OD,Right Eye,HL70163,"F-R4, F-R6",,,,,OD,,Right Eye,http://terminology.hl7.org/CodeSystem/v2-0163,,
RF,Right Foot,HL70163,"F-R4, F-R6",,,,,RF,,Right Foot,http://terminology.hl7.org/CodeSystem/v2-0163,,
RG,Right Gluteus Medius,HL70163,"F-R4, F-R6",,,,,RG,,Right Gluteus Medius,http://terminology.hl7.org/CodeSystem/v2-0163,,
RH,Right Hand,HL70163,"F-R4, F-R6",,,,,RH,,Right Hand,http://terminology.hl7.org/CodeSystem/v2-0163,,
RIJ,Right Internal Jugular,HL70163,"F-R4, F-R6",,,,,RIJ,,Right Internal Jugular,http://terminology.hl7.org/CodeSystem/v2-0163,,
RLAQ,Rt Lower Abd Quadrant,HL70163,"F-R4, F-R6",,,,,RLAQ,,Rt Lower Abd Quadrant,http://terminology.hl7.org/CodeSystem/v2-0163,,
RLFA,Right Lower Forearm,HL70163,"F-R4, F-R6",,,,,RLFA,,Right Lower Forearm,http://terminology.hl7.org/CodeSystem/v2-0163,,
RMFA,Right Mid Forearm,HL70163,"F-R4, F-R6",,,,,RMFA,,Right Mid Forearm,http://terminology.hl7.org/CodeSystem/v2-0163,,
RN,Right Naris,HL70163,"F-R4, F-R6",,,,,RN,,Right Naris,http://terminology.hl7.org/CodeSystem/v2-0163,,
