HL7 v2,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,Comments
Code,Text,Code System,Core Version,Incubator Version,Computable ANTLR,Computable FHIRPath,Narrative,Code,,Display,Code System,,
AFG,Afghanistan,HL70399,"F-R4, F-R6",,,,,AFG,,Afghanistan,urn:iso:std:iso:3166,,
ALB,Albania,HL70399,"F-R4, F-R6",,,,,ALB,,Albania,urn:iso:std:iso:3166,,
DZA,Algeria,HL70399,"F-R4, F-R6",,,,,DZA,,Algeria,urn:iso:std:iso:3166,,
ASM,American Samoa,HL70399,"F-R4, F-R6",,,,,ASM,,American Samoa,urn:iso:std:iso:3166,,
AND,Andorra,HL70399,"F-R4, F-R6",,,,,AND,,Andorra,urn:iso:std:iso:3166,,
AGO,Angola,HL70399,"F-R4, F-R6",,,,,AGO,,Angola,urn:iso:std:iso:3166,,
AIA,Anguilla,HL70399,"F-R4, F-R6",,,,,AIA,,Anguilla,urn:iso:std:iso:3166,,
ATA,Antarctica,HL70399,"F-R4, F-R6",,,,,ATA,,Antarctica,urn:iso:std:iso:3166,,
ATG,Antigua and Barbuda,HL70399,"F-R4, F-R6",,,,,ATG,,Antigua and Barbuda,urn:iso:std:iso:3166,,
ARG,Argentina,HL70399,"F-R4, F-R6",,,,,ARG,,Argentina,urn:iso:std:iso:3166,,
ARM,Armenia,HL70399,"F-R4, F-R6",,,,,ARM,,Armenia,urn:iso:std:iso:3166,,
ABW,Aruba,HL70399,"F-R4, F-R6",,,,,ABW,,Aruba,urn:iso:std:iso:3166,,
AUS,Australia,HL70399,"F-R4, F-R6",,,,,AUS,,Australia,urn:iso:std:iso:3166,,
AUT,Austria,HL70399,"F-R4, F-R6",,,,,AUT,,Austria,urn:iso:std:iso:3166,,
AZE,Azerbaijan,HL70399,"F-R4, F-R6",,,,,AZE,,Azerbaijan,urn:iso:std:iso:3166,,
BHS,Bahamas (the),HL70399,"F-R4, F-R6",,,,,BHS,,Bahamas (the),urn:iso:std:iso:3166,,
BHR,Bahrain,HL70399,"F-R4, F-R6",,,,,BHR,,Bahrain,urn:iso:std:iso:3166,,
BGD,Bangladesh,HL70399,"F-R4, F-R6",,,,,BGD,,Bangladesh,urn:iso:std:iso:3166,,
BRB,Barbados,HL70399,"F-R4, F-R6",,,,,BRB,,Barbados,urn:iso:std:iso:3166,,
BLR,Belarus,HL70399,"F-R4, F-R6",,,,,BLR,,Belarus,urn:iso:std:iso:3166,,
BEL,Belgium,HL70399,"F-R4, F-R6",,,,,BEL,,Belgium,urn:iso:std:iso:3166,,
BLZ,Belize,HL70399,"F-R4, F-R6",,,,,BLZ,,Belize,urn:iso:std:iso:3166,,
BEN,Benin,HL70399,"F-R4, F-R6",,,,,BEN,,Benin,urn:iso:std:iso:3166,,
BMU,Bermuda,HL70399,"F-R4, F-R6",,,,,BMU,,Bermuda,urn:iso:std:iso:3166,,
BTN,Bhutan,HL70399,"F-R4, F-R6",,,,,BTN,,Bhutan,urn:iso:std:iso:3166,,
BOL,Bolivia (Plurinational State of),HL70399,"F-R4, F-R6",,,,,BOL,,Bolivia (Plurinational State of),urn:iso:std:iso:3166,,
BES,"Bonaire, Sint Eustatius and Saba",HL70399,"F-R4, F-R6",,,,,BES,,"Bonaire, Sint Eustatius and Saba",urn:iso:std:iso:3166,,
BIH,Bosnia and Herzegovina,HL70399,"F-R4, F-R6",,,,,BIH,,Bosnia and Herzegovina,urn:iso:std:iso:3166,,
BWA,Botswana,HL70399,"F-R4, F-R6",,,,,BWA,,Botswana,urn:iso:std:iso:3166,,
BVT,Bouvet Island,HL70399,"F-R4, F-R6",,,,,BVT,,Bouvet Island,urn:iso:std:iso:3166,,
BRA,Brazil,HL70399,"F-R4, F-R6",,,,,BRA,,Brazil,urn:iso:std:iso:3166,,
IOT,British Indian Ocean Territory (the),HL70399,"F-R4, F-R6",,,,,IOT,,British Indian Ocean Territory (the),urn:iso:std:iso:3166,,
BRN,Brunei Darussalam,HL70399,"F-R4, F-R6",,,,,BRN,,Brunei Darussalam,urn:iso:std:iso:3166,,
BGR,Bulgaria,HL70399,"F-R4, F-R6",,,,,BGR,,Bulgaria,urn:iso:std:iso:3166,,
BFA,Burkina Faso,HL70399,"F-R4, F-R6",,,,,BFA,,Burkina Faso,urn:iso:std:iso:3166,,
BDI,Burundi,HL70399,"F-R4, F-R6",,,,,BDI,,Burundi,urn:iso:std:iso:3166,,
CPV,Cabo Verde,HL70399,"F-R4, F-R6",,,,,CPV,,Cabo Verde,urn:iso:std:iso:3166,,
KHM,Cambodia,HL70399,"F-R4, F-R6",,,,,KHM,,Cambodia,urn:iso:std:iso:3166,,
CMR,Cameroon,HL70399,"F-R4, F-R6",,,,,CMR,,Cameroon,urn:iso:std:iso:3166,,
CAN,Canada,HL70399,"F-R4, F-R6",,,,,CAN,,Canada,urn:iso:std:iso:3166,,
CYM,Cayman Islands (the),HL70399,"F-R4, F-R6",,,,,CYM,,Cayman Islands (the),urn:iso:std:iso:3166,,
CAF,Central African Republic (the),HL70399,"F-R4, F-R6",,,,,CAF,,Central African Republic (the),urn:iso:std:iso:3166,,
TCD,Chad,HL70399,"F-R4, F-R6",,,,,TCD,,Chad,urn:iso:std:iso:3166,,
CHL,Chile,HL70399,"F-R4, F-R6",,,,,CHL,,Chile,urn:iso:std:iso:3166,,
CHN,China,HL70399,"F-R4, F-R6",,,,,CHN,,China,urn:iso:std:iso:3166,,
CXR,Christmas Island,HL70399,"F-R4, F-R6",,,,,CXR,,Christmas Island,urn:iso:std:iso:3166,,
CCK,Cocos (Keeling) Islands (the),HL70399,"F-R4, F-R6",,,,,CCK,,Cocos (Keeling) Islands (the),urn:iso:std:iso:3166,,
COL,Colombia,HL70399,"F-R4, F-R6",,,,,COL,,Colombia,urn:iso:std:iso:3166,,
COM,Comoros (the),HL70399,"F-R4, F-R6",,,,,COM,,Comoros (the),urn:iso:std:iso:3166,,
COD,Congo (the Democratic Republic of the),HL70399,"F-R4, F-R6",,,,,COD,,Congo (the Democratic Republic of the),urn:iso:std:iso:3166,,
COG,Congo (the),HL70399,"F-R4, F-R6",,,,,COG,,Congo (the),urn:iso:std:iso:3166,,
COK,Cook Islands (the),HL70399,"F-R4, F-R6",,,,,COK,,Cook Islands (the),urn:iso:std:iso:3166,,
CRI,Costa Rica,HL70399,"F-R4, F-R6",,,,,CRI,,Costa Rica,urn:iso:std:iso:3166,,
HRV,Croatia,HL70399,"F-R4, F-R6",,,,,HRV,,Croatia,urn:iso:std:iso:3166,,
CUB,Cuba,HL70399,"F-R4, F-R6",,,,,CUB,,Cuba,urn:iso:std:iso:3166,,
CUW,Curaçao,HL70399,"F-R4, F-R6",,,,,CUW,,Curaçao,urn:iso:std:iso:3166,,
CYP,Cyprus,HL70399,"F-R4, F-R6",,,,,CYP,,Cyprus,urn:iso:std:iso:3166,,
CZE,Czechia,HL70399,"F-R4, F-R6",,,,,CZE,,Czechia,urn:iso:std:iso:3166,,
