HL7 v2,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,Comments
Code,Text,Code System,Core Version,Incubator Version,Computable ANTLR,Computable FHIRPath,Narrative,Code,,Display,Code System,,
AU,Audiology,HL70074,"F-R4, F-R6",,,,,AU,,Audiology,http://terminology.hl7.org/CodeSystem/v2-0074,,
BG,Blood Gases,HL70074,"F-R4, F-R6",,,,,BG,,Blood Gases,http://terminology.hl7.org/CodeSystem/v2-0074,,
BLB,Blood Bank,HL70074,"F-R4, F-R6",,,,,BLB,,Blood Bank,http://terminology.hl7.org/CodeSystem/v2-0074,,
CG,Cytogenetics,HL70074,"F-R4, F-R6",,,,,CG,,Cytogenetics,http://terminology.hl7.org/CodeSystem/v2-0074,,
CUS,Cardiac Ultrasound,HL70074,"F-R4, F-R6",,,,,CUS,,Cardiac Ultrasound,http://terminology.hl7.org/CodeSystem/v2-0074,,
CTH,Cardiac Catheterization,HL70074,"F-R4, F-R6",,,,,CTH,,Cardiac Catheterization,http://terminology.hl7.org/CodeSystem/v2-0074,,
CT,CAT Scan,HL70074,"F-R4, F-R6",,,,,CT,,CAT Scan,http://terminology.hl7.org/CodeSystem/v2-0074,,
CH,Chemistry,HL70074,"F-R4, F-R6",,,,,CH,,Chemistry,http://terminology.hl7.org/CodeSystem/v2-0074,,
CP,Cytopathology,HL70074,"F-R4, F-R6",,,,,CP,,Cytopathology,http://terminology.hl7.org/CodeSystem/v2-0074,,
EC,"Electrocardiac (e.g., EKG,  EEC, Holter)",HL70074,"F-R4, F-R6",,,,,EC,,"Electrocardiac (e.g., EKG,  EEC, Holter)",http://terminology.hl7.org/CodeSystem/v2-0074,,
EN,"Electroneuro (EEG, EMG,EP,PSG)",HL70074,"F-R4, F-R6",,,,,EN,,"Electroneuro (EEG, EMG,EP,PSG)",http://terminology.hl7.org/CodeSystem/v2-0074,,
GE,Genetics,HL70074,"F-R4, F-R6",,,,,GE,,Genetics,http://terminology.hl7.org/CodeSystem/v2-0074,,
HM,Hematology,HL70074,"F-R4, F-R6",,,,,HM,,Hematology,http://terminology.hl7.org/CodeSystem/v2-0074,,
ICU,Bedside ICU Monitoring,HL70074,"F-R4, F-R6",,,,,ICU,,Bedside ICU Monitoring,http://terminology.hl7.org/CodeSystem/v2-0074,,
IMM,Immunology,HL70074,"F-R4, F-R6",,,,,IMM,,Immunology,http://terminology.hl7.org/CodeSystem/v2-0074,,
LAB,Laboratory,HL70074,"F-R4, F-R6",,,,,LAB,,Laboratory,http://terminology.hl7.org/CodeSystem/v2-0074,,
MB,Microbiology,HL70074,"F-R4, F-R6",,,,,MB,,Microbiology,http://terminology.hl7.org/CodeSystem/v2-0074,,
MCB,Mycobacteriology,HL70074,"F-R4, F-R6",,,,,MCB,,Mycobacteriology,http://terminology.hl7.org/CodeSystem/v2-0074,,
MYC,Mycology,HL70074,"F-R4, F-R6",,,,,MYC,,Mycology,http://terminology.hl7.org/CodeSystem/v2-0074,,
NMS,Nuclear Medicine Scan,HL70074,"F-R4, F-R6",,,,,NMS,,Nuclear Medicine Scan,http://terminology.hl7.org/CodeSystem/v2-0074,,
NMR,Nuclear Magnetic Resonance,HL70074,"F-R4, F-R6",,,,,NMR,,Nuclear Magnetic Resonance,http://terminology.hl7.org/CodeSystem/v2-0074,,
NRS,Nursing Service Measures,HL70074,"F-R4, F-R6",,,,,NRS,,Nursing Service Measures,http://terminology.hl7.org/CodeSystem/v2-0074,,
OUS,OB Ultrasound,HL70074,"F-R4, F-R6",,,,,OUS,,OB Ultrasound,http://terminology.hl7.org/CodeSystem/v2-0074,,
OT,Occupational Therapy,HL70074,"F-R4, F-R6",,,,,OT,,Occupational Therapy,http://terminology.hl7.org/CodeSystem/v2-0074,,
OTH,Other,HL70074,"F-R4, F-R6",,,,,OTH,,Other,http://terminology.hl7.org/CodeSystem/v2-0074,,
OSL,Outside Lab,HL70074,"F-R4, F-R6",,,,,OSL,,Outside Lab,http://terminology.hl7.org/CodeSystem/v2-0074,,
PHR,Pharmacy,HL70074,"F-R4, F-R6",,,,,PHR,,Pharmacy,http://terminology.hl7.org/CodeSystem/v2-0074,,
PT,Physical Therapy,HL70074,"F-R4, F-R6",,,,,PT,,Physical Therapy,http://terminology.hl7.org/CodeSystem/v2-0074,,
PHY,"Physician (Hx. Dx, admission note, etc.)",HL70074,"F-R4, F-R6",,,,,PHY,,"Physician (Hx. Dx, admission note, etc.)",http://terminology.hl7.org/CodeSystem/v2-0074,,
PF,Pulmonary Function,HL70074,"F-R4, F-R6",,,,,PF,,Pulmonary Function,http://terminology.hl7.org/CodeSystem/v2-0074,,
RAD,Radiology,HL70074,"F-R4, F-R6",,,,,RAD,,Radiology,http://terminology.hl7.org/CodeSystem/v2-0074,,
RX,Radiograph,HL70074,"F-R4, F-R6",,,,,RX,,Radiograph,http://terminology.hl7.org/CodeSystem/v2-0074,,
RUS,Radiology Ultrasound,HL70074,"F-R4, F-R6",,,,,RUS,,Radiology Ultrasound,http://terminology.hl7.org/CodeSystem/v2-0074,,
