HL7 v2,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,Comments
Code,Text,Code System,Core Version,Incubator Version,Computable ANTLR,Computable FHIRPath,Narrative,Code,,Display,Code System,,
,,,"F-R4, F-R6",,,,,pay,,Pay,http://terminology.hl7.org/CodeSystem/coverage-selfpay,,
,,,"F-R4, F-R6",,,,,EHCPOL,,extended healthcare,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,HSAPOL,,health spending account,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,AUTOPOL,,automobile,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,COL,,collision coverage policy,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,UNINSMOT,,uninsured motorist policy,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,PUBLICPOL,,public healthcare,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,DENTPRG,,dental program,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,DISEASEPRG,,public health program,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,CANPRG,,women's cancer detection program,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,ENDRENAL,,end renal program,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,HIVAIDS,,HIV-AIDS program,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,MANDPOL,,mandatory health program,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,MENTPRG,,mental health program,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,SAFNET,,safety net clinic program,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,SUBPRG,,substance use program,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
,,,"F-R4, F-R6",,,,,SUBSIDIZ,,subsidized health program,http://terminology.hl7.org/CodeSystem/v3-ActCode,,
