HL7 v2,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,Comments
Code,Text,Code System,Core Version,Incubator Version,Computable ANTLR,Computable FHIRPath,Narrative,Code,,Display,Code System,,
ACSN,Accession ID,HL70203,"F-R4, F-R6",,,,,ACSN,,Accession ID,http://terminology.hl7.org/CodeSystem/v2-0203,,
AM,American Express,HL70203,"F-R4, F-R6",,,,,AM,,American Express,http://terminology.hl7.org/CodeSystem/v2-0203,,
AMA,American Medical Association Number,HL70203,"F-R4, F-R6",,,,,AMA,,American Medical Association Number,http://terminology.hl7.org/CodeSystem/v2-0203,,
AN,Account number,HL70203,"F-R4, F-R6",,,,,AN,,Account number,http://terminology.hl7.org/CodeSystem/v2-0203,,
ANON,Anonymous identifier,HL70203,"F-R4, F-R6",,,,,ANON,,Anonymous identifier,http://terminology.hl7.org/CodeSystem/v2-0203,,
ANC,Account number Creditor,HL70203,"F-R4, F-R6",,,,,ANC,,Account number Creditor,http://terminology.hl7.org/CodeSystem/v2-0203,,
AND,Account number debitor,HL70203,"F-R4, F-R6",,,,,AND,,Account number debitor,http://terminology.hl7.org/CodeSystem/v2-0203,,
ANT,Temporary Account Number,HL70203,"F-R4, F-R6",,,,,ANT,,Temporary Account Number,http://terminology.hl7.org/CodeSystem/v2-0203,,
APRN,Advanced Practice Registered Nurse number,HL70203,"F-R4, F-R6",,,,,APRN,,Advanced Practice Registered Nurse number,http://terminology.hl7.org/CodeSystem/v2-0203,,
ASID,Ancestor Specimen ID,HL70203,"F-R4, F-R6",,,,,ASID,,Ancestor Specimen ID,http://terminology.hl7.org/CodeSystem/v2-0203,,
BA,Bank Account Number,HL70203,"F-R4, F-R6",,,,,BA,,Bank Account Number,http://terminology.hl7.org/CodeSystem/v2-0203,,
BC,Bank Card Number,HL70203,"F-R4, F-R6",,,,,BC,,Bank Card Number,http://terminology.hl7.org/CodeSystem/v2-0203,,
BCT,Birth Certificate,HL70203,"F-R4, F-R6",,,,,BCT,,Birth Certificate,http://terminology.hl7.org/CodeSystem/v2-0203,,
BR,Birth registry number,HL70203,"F-R4, F-R6",,,,,BR,,Birth registry number,http://terminology.hl7.org/CodeSystem/v2-0203,,
BRN,Breed Registry Number,HL70203,"F-R4, F-R6",,,,,BRN,,Breed Registry Number,http://terminology.hl7.org/CodeSystem/v2-0203,,
BSNR,Primary physician office number,HL70203,"F-R4, F-R6",,,,,BSNR,,Primary physician office number,http://terminology.hl7.org/CodeSystem/v2-0203,,
CC,Cost Center number,HL70203,"F-R4, F-R6",,,,,CC,,Cost Center number,http://terminology.hl7.org/CodeSystem/v2-0203,,
CONM,Change of Name Document,HL70203,"F-R4, F-R6",,,,,CONM,,Change of Name Document,http://terminology.hl7.org/CodeSystem/v2-0203,,
CZ,Citizenship Card,HL70203,"F-R4, F-R6",,,,,CZ,,Citizenship Card,http://terminology.hl7.org/CodeSystem/v2-0203,,
CY,County number,HL70203,"F-R4, F-R6",,,,,CY,,County number,http://terminology.hl7.org/CodeSystem/v2-0203,,
DDS,Dentist license number,HL70203,"F-R4, F-R6",,,,,DDS,,Dentist license number,http://terminology.hl7.org/CodeSystem/v2-0203,,
DEA,Drug Enforcement Administration registration number,HL70203,"F-R4, F-R6",,,,,DEA,,Drug Enforcement Administration registration number,http://terminology.hl7.org/CodeSystem/v2-0203,,
DI,Diner’s Club card,HL70203,"F-R4, F-R6",,,,,DI,,Diner’s Club card,http://terminology.hl7.org/CodeSystem/v2-0203,,
DFN,Drug Furnishing or prescriptive authority Number,HL70203,"F-R4, F-R6",,,,,DFN,,Drug Furnishing or prescriptive authority Number,http://terminology.hl7.org/CodeSystem/v2-0203,,
DL,Driver’s license number,HL70203,"F-R4, F-R6",,,,,DL,,Driver’s license number,http://terminology.hl7.org/CodeSystem/v2-0203,,
DN,Doctor number,HL70203,"F-R4, F-R6",,,,,DN,,Doctor number,http://terminology.hl7.org/CodeSystem/v2-0203,,
DO,Osteopathic License number,HL70203,"F-R4, F-R6",,,,,DO,,Osteopathic License number,http://terminology.hl7.org/CodeSystem/v2-0203,,
DP,Diplomatic Passport,HL70203,"F-R4, F-R6",,,,,DP,,Diplomatic Passport,http://terminology.hl7.org/CodeSystem/v2-0203,,
DPM,Podiatrist license number,HL70203,"F-R4, F-R6",,,,,DPM,,Podiatrist license number,http://terminology.hl7.org/CodeSystem/v2-0203,,
DR,Donor Registration Number,HL70203,"F-R4, F-R6",,,,,DR,,Donor Registration Number,http://terminology.hl7.org/CodeSystem/v2-0203,,
DS,Discover Card,HL70203,"F-R4, F-R6",,,,,DS,,Discover Card,http://terminology.hl7.org/CodeSystem/v2-0203,,
EI,Employee number,HL70203,"F-R4, F-R6",,,,,EI,,Employee number,http://terminology.hl7.org/CodeSystem/v2-0203,,
