HL7 v2,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,Comments
Code,Text,Code System,Core Version,Incubator Version,Computable ANTLR,Computable FHIRPath,Narrative,Code,,Display,Code System,,
A,Separated,HL70002,"F-R4, F-R6",,,,,L,,Legally Separated,http://terminology.hl7.org/CodeSystem/v3-MaritalStatus,,
D,Divorced,HL70002,"F-R4, F-R6",,,,,D,,Divorced,http://terminology.hl7.org/CodeSystem/v3-MaritalStatus,,
M,Married,HL70002,"F-R4, F-R6",,,,,M,,Married,http://terminology.hl7.org/CodeSystem/v3-MaritalStatus,,
S,Single,HL70002,"F-R4, F-R6",,,,,S,,Never Married,http://terminology.hl7.org/CodeSystem/v3-MaritalStatus,,
W,Widowed,HL70002,"F-R4, F-R6",,,,,W,,Widowed,http://terminology.hl7.org/CodeSystem/v3-MaritalStatus,,
C,Common law,HL70002,"F-R4, F-R6",,,,,C,,Common Law,http://terminology.hl7.org/CodeSystem/v3-MaritalStatus,,
G,Living together,HL70002,"F-R4, F-R6",,,,,T,,Domestic partner,http://terminology.hl7.org/CodeSystem/v3-MaritalStatus,,
P,Domestic partner,HL70002,"F-R4, F-R6",,,,,T,,Domestic partner,http://terminology.hl7.org/CodeSystem/v3-MaritalStatus,,
R,Registered domestic partner,HL70002,"F-R4, F-R6",,,,,T,,Domestic partner,http://terminology.hl7.org/CodeSystem/v3-MaritalStatus,,
E,Legally Separated,HL70002,"F-R4, F-R6",,,,,L,,Legally Separated,http://terminology.hl7.org/CodeSystem/v3-MaritalStatus,,
N,Annulled,HL70002,"F-R4, F-R6",,,,,A,,Annulled,http://terminology.hl7.org/CodeSystem/v3-MaritalStatus,,
I,Interlocutory,HL70002,"F-R4, F-R6",,,,,I,,Interlocutory,http://terminology.hl7.org/CodeSystem/v3-MaritalStatus,,
B,Unmarried,HL70002,"F-R4, F-R6",,,,,U,,unmarried,http://terminology.hl7.org/CodeSystem/v3-MaritalStatus,,
U,Unknown,HL70002,"F-R4, F-R6",,,,,UNK,,Unknown,http://terminology.hl7.org/CodeSystem/v3-NullFlavor,,
O,Other,HL70002,"F-R4, F-R6",,,,,OTH,,Other,http://terminology.hl7.org/CodeSystem/v3-NullFlavor,,
T,Unreported,HL70002,"F-R4, F-R6",,,,,NAVU,,Not available,http://terminology.hl7.org/CodeSystem/v3-NullFlavor,,
