HL7 v2,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,Comments
Code,Text,Code System,Core Version,Incubator Version,Computable ANTLR,Computable FHIRPath,Narrative,Code,,Display,Code System,,
ACK,Varies,HL7-0354,"F-R4, F-R6",,,,,,,,,,
ADR_A19,,HL7-0354,"F-R4, F-R6",,,,,,,,,,
ADT_A01,"A01, A04, A08, A13",HL7-0354,"F-R4, F-R6",,,,,,,,,,
ADT_A02,A02,HL7-0354,"F-R4, F-R6",,,,,,,,,,
ADT_A03,A03,HL7-0354,"F-R4, F-R6",,,,,,,,,,
ADT_A05,"A05, A14, A28, A31",HL7-0354,"F-R4, F-R6",,,,,,,,,,
ADT_A06,"A06, A07",HL7-0354,"F-R4, F-R6",,,,,,,,,,
ADT_A09,"A09, A10, A11",HL7-0354,"F-R4, F-R6",,,,,,,,,,
ADT_A12,A12,HL7-0354,"F-R4, F-R6",,,,,,,,,,
ADT_A15,A15,HL7-0354,"F-R4, F-R6",,,,,,,,,,
ADT_A16,A16,HL7-0354,"F-R4, F-R6",,,,,,,,,,
ADT_A17,A17,HL7-0354,"F-R4, F-R6",,,,,,,,,,
ADT_A18,,HL7-0354,"F-R4, F-R6",,,,,,,,,,
ADT_A20,A20,HL7-0354,"F-R4, F-R6",,,,,,,,,,
ADT_A21,"A21, A22, A23, A25, A26, A27, A29, A32, A33",HL7-0354,"F-R4, F-R6",,,,,,,,,,
ADT_A24,A24,HL7-0354,"F-R4, F-R6",,,,,,,,,,
ADT_A30,,HL7-0354,"F-R4, F-R6",,,,,,,,,,
ADT_A37,A37,HL7-0354,"F-R4, F-R6",,,,,,,,,,
ADT_A38,A38,HL7-0354,"F-R4, F-R6",,,,,,,,,,
ADT_A39,"A39, A40, A41, A42",HL7-0354,"F-R4, F-R6",,,,,,,,,,
ADT_A43,A43,HL7-0354,"F-R4, F-R6",,,,,,,,,,
ADT_A44,A44,HL7-0354,"F-R4, F-R6",,,,,,,,,,
ADT_A45,A45,HL7-0354,"F-R4, F-R6",,,,,,,,,,
ADT_A50,"A50, A51",HL7-0354,"F-R4, F-R6",,,,,,,,,,
ADT_A52,"A52, A53",HL7-0354,"F-R4, F-R6",,,,,,,,,,
ADT_A54,"A54, A55",HL7-0354,"F-R4, F-R6",,,,,,,,,,
ADT_A60,A60,HL7-0354,"F-R4, F-R6",,,,,,,,,,
ADT_A61,"A61, A62",HL7-0354,"F-R4, F-R6",,,,,,,,,,
BAR_P01,P01,HL7-0354,"F-R4, F-R6",,,,,,,,,,
BAR_P02,P02,HL7-0354,"F-R4, F-R6",,,,,,,,,,
BAR_P05,P05,HL7-0354,"F-R4, F-R6",,,,,,,,,,
BAR_P06,P06,HL7-0354,"F-R4, F-R6",,,,,,,,,,
BAR_P10,P10,HL7-0354,"F-R4, F-R6",,,,,,,,,,
BAR_P12,P12,HL7-0354,"F-R4, F-R6",,,,,,,,,,
BPS_O29,O29,HL7-0354,"F-R4, F-R6",,,,,,,,,,
BRP_O30,O30,HL7-0354,"F-R4, F-R6",,,,,,,,,,
BRT_O32,O32,HL7-0354,"F-R4, F-R6",,,,,,,,,,
BTS_O31,O31,HL7-0354,"F-R4, F-R6",,,,,,,,,,
CCF_I22,I22,HL7-0354,"F-R4, F-R6",,,,,,,,,,
CCI_I22,I22,HL7-0354,"F-R4, F-R6",,,,,,,,,,
CCM_I21,I21,HL7-0354,"F-R4, F-R6",,,,,,,,,,
CCQ_I19,I19,HL7-0354,"F-R4, F-R6",,,,,,,,,,
CCR_I16,"I16, |17, |18",HL7-0354,"F-R4, F-R6",,,,,,,,,,
CCU_I20,I20,HL7-0354,"F-R4, F-R6",,,,,,,,,,
CQU_I19,I19,HL7-0354,"F-R4, F-R6",,,,,,,,,,
CRM_C01,"C01, C02, C03, C04, C05, C06, C07, C08",HL7-0354,"F-R4, F-R6",,,,,,,,,,
CSU_C09,"C09, C10, C11, C12",HL7-0354,"F-R4, F-R6",,,,,,,,,,
DBC_O41,O41,HL7-0354,"F-R4, F-R6",,,,,,,,,,
DBC_O42,O42,HL7-0354,"F-R4, F-R6",,,,,,,,,,
DEL_O46,O46,HL7-0354,"F-R4, F-R6",,,,,,,,,,
DEO_O45,O45,HL7-0354,"F-R4, F-R6",,,,,,,,,,
DER_O44,O44,HL7-0354,"F-R4, F-R6",,,,,,,,,,
DFT_P03,P03,HL7-0354,"F-R4, F-R6",,,,,,,,,,
DFT_P11,P11,HL7-0354,"F-R4, F-R6",,,,,,,,,,
DOC_T12,,HL7-0354,"F-R4, F-R6",,,,,,,,,,
DPR_O48,O48,HL7-0354,"F-R4, F-R6",,,,,,,,,,
DRC_O47,O47,HL7-0354,"F-R4, F-R6",,,,,,,,,,
DRG_O43,O43,HL7-0354,"F-R4, F-R6",,,,,,,,,,
EAC_U07,U07,HL7-0354,"F-R4, F-R6",,,,,,,,,,
EAN_U09,U09,HL7-0354,"F-R4, F-R6",,,,,,,,,,
EAR_U08,U08,HL7-0354,"F-R4, F-R6",,,,,,,,,,
EHC_E01,E01,HL7-0354,"F-R4, F-R6",,,,,,,,,,
EHC_E02,E02,HL7-0354,"F-R4, F-R6",,,,,,,,,,
EHC_E04,E04,HL7-0354,"F-R4, F-R6",,,,,,,,,,
EHC_E10,E10,HL7-0354,"F-R4, F-R6",,,,,,,,,,
EHC_E12,E12,HL7-0354,"F-R4, F-R6",,,,,,,,,,
EHC_E13,E13,HL7-0354,"F-R4, F-R6",,,,,,,,,,
EHC_E15,E15,HL7-0354,"F-R4, F-R6",,,,,,,,,,
EHC_E20,E20,HL7-0354,"F-R4, F-R6",,,,,,,,,,
EHC_E21,E21,HL7-0354,"F-R4, F-R6",,,,,,,,,,
EHC_E24,E24,HL7-0354,"F-R4, F-R6",,,,,,,,,,
ESR_U02,U02,HL7-0354,"F-R4, F-R6",,,,,,,,,,
ESU_U01,U01,HL7-0354,"F-R4, F-R6",,,,,,,,,,
INR_U06,U06,HL7-0354,"F-R4, F-R6",,,,,,,,,,
INU_U05,U05,HL7-0354,"F-R4, F-R6",,,,,,,,,,
INV_U14,Events U14,HL7-0354,"F-R4, F-R6",,,,,,,,,,
LSU_U12,"U12, U13",HL7-0354,"F-R4, F-R6",,,,,,,,,,
MDM_T01,"T01, T03, T05, T07, T09, T11",HL7-0354,"F-R4, F-R6",,,,,,,,,,
MDM_T02,"T02, T04, T06, T08, T10",HL7-0354,"F-R4, F-R6",,,,,,,,,,
