HL7 v2,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,Comments
Code,Text,Code System,Core Version,Incubator Version,Computable ANTLR,Computable FHIRPath,Narrative,Code,,Display,Code System,,
A,Amended based on adjustments provided by the Placer (Physician) regarding patient demographics (such as age and/or gender or other patient specific information,HL70085,"F-R4, F-R6",,,,,amended,,Amended,http://hl7.org/fhir/observation-status,,
B,Appended Report - Final results reviewed and further information provided for clarity without change to the original result values.,HL70085,"F-R4, F-R6",,,,,,,,,,
C,Record coming over is a correction and thus replaces a final result,HL70085,"F-R4, F-R6",,,,,corrected,,Corrected,http://hl7.org/fhir/observation-status,,
D,Deletes the OBX record,HL70085,"F-R4, F-R6",,,,,entered-in-error,,Entered in Error,http://hl7.org/fhir/observation-status,,
F,Final results,HL70085,"F-R4, F-R6",,,,,final,,Final,http://hl7.org/fhir/observation-status,,
I,Specimen in Lab; results pending,HL70085,"F-R4, F-R6",,,,,,,,,,
N,Not asked; used to affirmatively document that the observation identified in the OBX was not sought when the universal service ID in OBR-4 implies that it would be sought.,HL70085,"F-R4, F-R6",,,,,,,,,,
O,Order detail description only (no result),HL70085,"F-R4, F-R6",,,,,,,,,,
P,Preliminary results,HL70085,"F-R4, F-R6",,,,,preliminary,,Preliminary,http://hl7.org/fhir/observation-status,,
R,Results entered -- not verified,HL70085,"F-R4, F-R6",,,,,,,,,,
S,Partial results.   Deprecated. Retained only for backward compatibility as of V2.6.,HL70085,"F-R4, F-R6",,,,,,,,,,
V,"Verified - Final results reviewed and confirmed to be correct, no change to result value, normal range or abnormal flag",HL70085,"F-R4, F-R6",,,,,,"Create JIRA: Final results reviewed and confirmed to be correct, no change to result value, normal range or abnormal flag",,,,"Depending on the interepretation and which verification step is being referenced (e.g., the one before finalizing, or after finalizing to validate/verify it is actually correct), this may need to become an originalCodeableConcept on Observation.status or an Observation.note."
X,Results cannot be obtained for this observation,HL70085,"F-R4, F-R6",,,,,cancelled,,,http://hl7.org/fhir/observation-status,,"And set data-absent-reason on Observation.value to ""cannot-be-obtained"""
U,"Results status change to final without retransmitting results already sent as 'preliminary.'  E.g., radiology changes status from preliminary to final",HL70085,"F-R4, F-R6",,,,,,,,,,
W,"Post original as wrong, e.g., transmitted for wrong patient",HL70085,"F-R4, F-R6",,,,,entered-in-error,,Entered in Error,http://hl7.org/fhir/observation-status,,
,,,"F-R4, F-R6",,,,,,now,,,,"Now: The existence of the observation is registered, but there is no result yet available."
,,,"F-R4, F-R6",,,,,,draft update,,,,"Draft Update: A placeholder Observation has been created in anticipation for documenting the actual result(s).  The creation may be at varying states of preparation or performance, e.g., for lab results the specimen is collected but not yet arrived in the lab or specimen in Lab but results pending."
