HL7 v2,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,Comments
Code,Text,Code System,Core Version,Incubator Version,Computable ANTLR,Computable FHIRPath,Narrative,Code,,Display,Code System,,
PH,Pharmacist,HL70912,"F-R4, F-R6",,,,,pharmacist,,Pharmacist,http://terminology.hl7.org/CodeSystem/practitioner-role,,
AAP,Alert Acknowledging Provider,HL70912,"F-R4, F-R6",,,,,,,,,,
AC,Administration Cosigner,HL70912,"F-R4, F-R6",,,,,,,,,,
AD,Admitting Provider,HL70912,"F-R4, F-R6",,,,,,,,,,
AI,Assistant/Alternate Interpreter,HL70912,"F-R4, F-R6",,,,,,,,,,
AP,Administering Provider,HL70912,"F-R4, F-R6",,,,,,,,,,
ARI,Assistant Result Interpreter,HL70912,"F-R4, F-R6",,,,,,,,,,
AT,Attending Provider,HL70912,"F-R4, F-R6",,,,,,,,,,
AUT,Author/Event Initiator,HL70912,"F-R4, F-R6",,,,,,,,,,
CP,Consulting Provider,HL70912,"F-R4, F-R6",,,,,,,,,,
DP,Dispensing Provider,HL70912,"F-R4, F-R6",,,,,,,,,,
EP,Entering Person,HL70912,"F-R4, F-R6",,,,,,,,,,
EQUIP,Equipment,HL70912,"F-R4, F-R6",,,,,,,,,,
FHCP,Family Health Care Professional,HL70912,"F-R4, F-R6",,,,,,,,,,
MDIR,Medical Director,HL70912,"F-R4, F-R6",,,,,,,,,,
OP,Ordering Provider,HL70912,"F-R4, F-R6",,,,,,,,,,
OS,Outside Site(s) Where Observation May Be Performed,HL70912,"F-R4, F-R6",,,,,,,,,,
PB,Packed by,HL70912,"F-R4, F-R6",,,,,,,,,,
PI,Primary Interpreter,HL70912,"F-R4, F-R6",,,,,,,,,,
PO,Performing Organization,HL70912,"F-R4, F-R6",,,,,,,,,,
POMD,Performing Organization Medical Director,HL70912,"F-R4, F-R6",,,,,,,,,,
PP,Primary Care Provider,HL70912,"F-R4, F-R6",,,,,,,,,,
PRI,Principal Result Interpreter,HL70912,"F-R4, F-R6",,,,,,,,,,
RCT,Results Copies To,HL70912,"F-R4, F-R6",,,,,,,,,,
RO,Responsible Observer,HL70912,"F-R4, F-R6",,,,,,,,,,
RP,Referring Provider,HL70912,"F-R4, F-R6",,,,,,,,,,
RT,Referred to Provider,HL70912,"F-R4, F-R6",,,,,,,,,,
SB,Send by,HL70912,"F-R4, F-R6",,,,,,,,,,
SC,Specimen Collector,HL70912,"F-R4, F-R6",,,,,,,,,,
TN,Technician,HL70912,"F-R4, F-R6",,,,,,,,,,
TR,Transcriptionist,HL70912,"F-R4, F-R6",,,,,,,,,,
VP,Verifier (Verifying Person),HL70912,"F-R4, F-R6",,,,,,,,,,
VPS,Verifying Pharmaceutical Supplier   (not sure how to dissect Pharmacist/Treatment Supplier's Verifier ID),HL70912,"F-R4, F-R6",,,,,,,,,,
VTS,Verifying Treatment Supplier   (not sure how to dissect Pharmacist/Treatment Supplier's Verifier ID),HL70912,"F-R4, F-R6",,,,,,,,,,
WAY,Waypoint,HL70912,"F-R4, F-R6",,,,,,,,,,
WAYR,Waypoint Recipient,HL70912,"F-R4, F-R6",,,,,,,,,,
,,,"F-R4, F-R6",,,,,doctor,,Doctor,http://terminology.hl7.org/CodeSystem/practitioner-role,,
,,,"F-R4, F-R6",,,,,nurse,,Nurse,http://terminology.hl7.org/CodeSystem/practitioner-role,,
,,,"F-R4, F-R6",,,,,researcher,,Researcher,http://terminology.hl7.org/CodeSystem/practitioner-role,,
,,,"F-R4, F-R6",,,,,teacher,,Teacher/educator,http://terminology.hl7.org/CodeSystem/practitioner-role,,
,,,"F-R4, F-R6",,,,,ict,,ICT professional,http://terminology.hl7.org/CodeSystem/practitioner-role,,
