HL7 v2,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,Comments
Code,Text,Code System,Core Version,Incubator Version,Computable ANTLR,Computable FHIRPath,Narrative,Code,,Display,Code System,,
,,,"F-R4, F-R6",,,,,ar,,Arabic,urn:ietf:bcp:47,,
,,,"F-R4, F-R6",,,,,bn,,Bengali,urn:ietf:bcp:47,,
,,,"F-R4, F-R6",,,,,cs,,Czech,urn:ietf:bcp:47,,
,,,"F-R4, F-R6",,,,,da,,Danish,urn:ietf:bcp:47,,
,,,"F-R4, F-R6",,,,,de,,German,urn:ietf:bcp:47,,
,,,"F-R4, F-R6",,,,,de-AT,,German (Austria),urn:ietf:bcp:47,,
,,,"F-R4, F-R6",,,,,de-CH,,German (Switzerland),urn:ietf:bcp:47,,
,,,"F-R4, F-R6",,,,,de-DE,,German (Germany),urn:ietf:bcp:47,,
,,,"F-R4, F-R6",,,,,el,,Greek,urn:ietf:bcp:47,,
,,,"F-R4, F-R6",,,,,en,,English,urn:ietf:bcp:47,,
,,,"F-R4, F-R6",,,,,en-AU,,English (Australia),urn:ietf:bcp:47,,
,,,"F-R4, F-R6",,,,,en-CA,,English (Canada),urn:ietf:bcp:47,,
,,,"F-R4, F-R6",,,,,en-GB,,English (Great Britain),urn:ietf:bcp:47,,
,,,"F-R4, F-R6",,,,,en-IN,,English (India),urn:ietf:bcp:47,,
,,,"F-R4, F-R6",,,,,en-NZ,,English (New Zeland),urn:ietf:bcp:47,,
,,,"F-R4, F-R6",,,,,en-SG,,English (Singapore),urn:ietf:bcp:47,,
,,,"F-R4, F-R6",,,,,en-US,,English (United States),urn:ietf:bcp:47,,
,,,"F-R4, F-R6",,,,,es,,Spanish,urn:ietf:bcp:47,,
,,,"F-R4, F-R6",,,,,es-AR,,Spanish (Argentina),urn:ietf:bcp:47,,
,,,"F-R4, F-R6",,,,,es-ES,,Spanish (Spain),urn:ietf:bcp:47,,
,,,"F-R4, F-R6",,,,,es-UY,,Spanish (Uruguay),urn:ietf:bcp:47,,
,,,"F-R4, F-R6",,,,,fi,,Finnish,urn:ietf:bcp:47,,
,,,"F-R4, F-R6",,,,,fr,,French,urn:ietf:bcp:47,,
,,,"F-R4, F-R6",,,,,fr-BE,,French (Belgium),urn:ietf:bcp:47,,
,,,"F-R4, F-R6",,,,,fr-CH,,French (Switzerland),urn:ietf:bcp:47,,
,,,"F-R4, F-R6",,,,,fr-FR,,French (France),urn:ietf:bcp:47,,
,,,"F-R4, F-R6",,,,,fy,,Frysian,urn:ietf:bcp:47,,
,,,"F-R4, F-R6",,,,,fy-NL,,Frysian (Netherlands),urn:ietf:bcp:47,,
,,,"F-R4, F-R6",,,,,hi,,Hindi,urn:ietf:bcp:47,,
,,,"F-R4, F-R6",,,,,hr,,Croatian,urn:ietf:bcp:47,,
,,,"F-R4, F-R6",,,,,it,,Italian,urn:ietf:bcp:47,,
,,,"F-R4, F-R6",,,,,it-CH,,Italian (Switzerland),urn:ietf:bcp:47,,
,,,"F-R4, F-R6",,,,,it-IT,,Italian (Italy),urn:ietf:bcp:47,,
,,,"F-R4, F-R6",,,,,ja,,Japanese,urn:ietf:bcp:47,,
,,,"F-R4, F-R6",,,,,ko,,Korean,urn:ietf:bcp:47,,
,,,"F-R4, F-R6",,,,,nl,,Dutch,urn:ietf:bcp:47,,
,,,"F-R4, F-R6",,,,,nl-BE,,Dutch (Belgium),urn:ietf:bcp:47,,
,,,"F-R4, F-R6",,,,,nl-NL,,Dutch (Netherlands),urn:ietf:bcp:47,,
,,,"F-R4, F-R6",,,,,no,,Norwegian,urn:ietf:bcp:47,,
,,,"F-R4, F-R6",,,,,no-NO,,Norwegian (Norway),urn:ietf:bcp:47,,
,,,"F-R4, F-R6",,,,,pa,,Punjabi,urn:ietf:bcp:47,,
,,,"F-R4, F-R6",,,,,pl,,Polish,urn:ietf:bcp:47,,
,,,"F-R4, F-R6",,,,,pt,,Portuguese,urn:ietf:bcp:47,,
,,,"F-R4, F-R6",,,,,pt-BR,,Portuguese (Brazil),urn:ietf:bcp:47,,
,,,"F-R4, F-R6",,,,,ru,,Russian,urn:ietf:bcp:47,,
,,,"F-R4, F-R6",,,,,ru-RU,,Russian (Russia),urn:ietf:bcp:47,,
,,,"F-R4, F-R6",,,,,sr,,Serbian,urn:ietf:bcp:47,,
,,,"F-R4, F-R6",,,,,sr-RS,,Serbian (Serbia),urn:ietf:bcp:47,,
,,,"F-R4, F-R6",,,,,sv,,Swedish,urn:ietf:bcp:47,,
,,,"F-R4, F-R6",,,,,sv-SE,,Swedish (Sweden),urn:ietf:bcp:47,,
,,,"F-R4, F-R6",,,,,te,,Telegu,urn:ietf:bcp:47,,
,,,"F-R4, F-R6",,,,,zh,,Chinese,urn:ietf:bcp:47,,
,,,"F-R4, F-R6",,,,,zh-CN,,Chinese (China),urn:ietf:bcp:47,,
,,,"F-R4, F-R6",,,,,zh-HK,,Chinese (Hong Kong),urn:ietf:bcp:47,,
,,,"F-R4, F-R6",,,,,zh-SG,,Chinese (Singapore),urn:ietf:bcp:47,,
,,,"F-R4, F-R6",,,,,zh-TW,,Chinese (Taiwan),urn:ietf:bcp:47,,
