HL7 v2,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,Comments
Code,Text,Code System,Core Version,Incubator Version,Computable ANTLR,Computable FHIRPath,Narrative,Code,,Display,Code System,,
,,,"F-R4, F-R6",,,,,ar,,Arabic,urn:ietf:bcp:47,,
,,,"F-R4, F-R6",,,,,bn,,Bengali,,,
,,,"F-R4, F-R6",,,,,cs,,Czech,,,
,,,"F-R4, F-R6",,,,,da,,Danish,,,
,,,"F-R4, F-R6",,,,,de,,German,,,
,,,"F-R4, F-R6",,,,,de-AT,,German (Austria),,,
,,,"F-R4, F-R6",,,,,de-CH,,German (Switzerland),,,
,,,"F-R4, F-R6",,,,,de-DE,,German (Germany),,,
,,,"F-R4, F-R6",,,,,el,,Greek,,,
,,,"F-R4, F-R6",,,,,en,,English,,,
,,,"F-R4, F-R6",,,,,en-AU,,English (Australia),,,
,,,"F-R4, F-R6",,,,,en-CA,,English (Canada),,,
,,,"F-R4, F-R6",,,,,en-GB,,English (Great Britain),,,
,,,"F-R4, F-R6",,,,,en-IN,,English (India),,,
,,,"F-R4, F-R6",,,,,en-NZ,,English (New Zeland),,,
,,,"F-R4, F-R6",,,,,en-SG,,English (Singapore),,,
,,,"F-R4, F-R6",,,,,en-US,,English (United States),,,
,,,"F-R4, F-R6",,,,,es,,Spanish,,,
,,,"F-R4, F-R6",,,,,es-AR,,Spanish (Argentina),,,
,,,"F-R4, F-R6",,,,,es-ES,,Spanish (Spain),,,
,,,"F-R4, F-R6",,,,,es-UY,,Spanish (Uruguay),,,
,,,"F-R4, F-R6",,,,,fi,,Finnish,,,
,,,"F-R4, F-R6",,,,,fr,,French,,,
,,,"F-R4, F-R6",,,,,fr-BE,,French (Belgium),,,
,,,"F-R4, F-R6",,,,,fr-CH,,French (Switzerland),,,
,,,"F-R4, F-R6",,,,,fr-FR,,French (France),,,
,,,"F-R4, F-R6",,,,,fy,,Frysian,,,
,,,"F-R4, F-R6",,,,,fy-NL,,Frysian (Netherlands),,,
,,,"F-R4, F-R6",,,,,hi,,Hindi,,,
,,,"F-R4, F-R6",,,,,hr,,Croatian,,,
,,,"F-R4, F-R6",,,,,it,,Italian,,,
,,,"F-R4, F-R6",,,,,it-CH,,Italian (Switzerland),,,
,,,"F-R4, F-R6",,,,,it-IT,,Italian (Italy),,,
,,,"F-R4, F-R6",,,,,ja,,Japanese,,,
,,,"F-R4, F-R6",,,,,ko,,Korean,,,
,,,"F-R4, F-R6",,,,,nl,,Dutch,,,
,,,"F-R4, F-R6",,,,,nl-BE,,Dutch (Belgium),,,
,,,"F-R4, F-R6",,,,,nl-NL,,Dutch (Netherlands),,,
,,,"F-R4, F-R6",,,,,no,,Norwegian,,,
,,,"F-R4, F-R6",,,,,no-NO,,Norwegian (Norway),,,
,,,"F-R4, F-R6",,,,,pa,,Punjabi,,,
,,,"F-R4, F-R6",,,,,pl,,Polish,,,
,,,"F-R4, F-R6",,,,,pt,,Portuguese,,,
,,,"F-R4, F-R6",,,,,pt-BR,,Portuguese (Brazil),,,
,,,"F-R4, F-R6",,,,,ru,,Russian,,,
,,,"F-R4, F-R6",,,,,ru-RU,,Russian (Russia),,,
,,,"F-R4, F-R6",,,,,sr,,Serbian,,,
,,,"F-R4, F-R6",,,,,sr-RS,,Serbian (Serbia),,,
,,,"F-R4, F-R6",,,,,sv,,Swedish,,,
,,,"F-R4, F-R6",,,,,sv-SE,,Swedish (Sweden),,,
,,,"F-R4, F-R6",,,,,te,,Telegu,,,
,,,"F-R4, F-R6",,,,,zh,,Chinese,,,
,,,"F-R4, F-R6",,,,,zh-CN,,Chinese (China),,,
,,,"F-R4, F-R6",,,,,zh-HK,,Chinese (Hong Kong),,,
,,,"F-R4, F-R6",,,,,zh-SG,,Chinese (Singapore),,,
,,,"F-R4, F-R6",,,,,zh-TW,,Chinese (Taiwan),,,
