HL7 v2,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,Comments
Code,Text,Code System,Core Version,Incubator Version,Computable ANTLR,Computable FHIRPath,Narrative,Code,,Display,Code System,,
AD,Admitting,HL70443,"F-R4, F-R6",,,,,ADM,,admitter,http://terminology.hl7.org/CodeSystem/v3-ParticipationType,,
AP,Administering Provider,HL70443,"F-R4, F-R6",,,,,,,,,,
AT,Attending,HL70443,"F-R4, F-R6",,,,,ATND,,attender,http://terminology.hl7.org/CodeSystem/v3-ParticipationType,,
CLP,Collecting Provider,HL70443,"F-R4, F-R6",,,,,,,,,,
CP,Consulting Provider,HL70443,"F-R4, F-R6",,,,,CON,,consultant,http://terminology.hl7.org/CodeSystem/v3-ParticipationType,,
DP,Dispensing Provider,HL70443,"F-R4, F-R6",,,,,,,,,,
EP,Entering Provider (probably not the same as transcriptionist?),HL70443,"F-R4, F-R6",,,,,,,,,,
FHCP,Family Health Care Professional,HL70443,"F-R4, F-R6",,,,,,,,,,
IP,Initiating Provider (as in action by),HL70443,"F-R4, F-R6",,,,,,,,,,
MDIR,Medical Director,HL70443,"F-R4, F-R6",,,,,,,,,,
OP,Ordering Provider,HL70443,"F-R4, F-R6",,,,,,,,,,
PH,Pharmacist   (not sure how to dissect Pharmacist/Treatment Supplier's Verifier ID),HL70443,"F-R4, F-R6",,,,,,,,,,
PP,Primary Care Provider,HL70443,"F-R4, F-R6",,,,,446050000,,	PCP - Primary care physician,http://snomed.info/sct,,
RO,Responsible Observer,HL70443,"F-R4, F-R6",,,,,,,,,,
RP,Referring Provider,HL70443,"F-R4, F-R6",,,,,REF,,referrer,http://terminology.hl7.org/CodeSystem/v3-ParticipationType,,
RT,Referred to Provider,HL70443,"F-R4, F-R6",,,,,,,,,,
TR,Transcriptionist,HL70443,"F-R4, F-R6",,,,,,,,,,
PI,Primary Interpreter,HL70443,"F-R4, F-R6",,,,,40570005,,Interpreter,http://snomed.info/sct,,No code for this in the v3-ParticipationType code system.  Previously suggested code was 'translator' - but SNOMED CT code for 'Interpreter' seems more appropriate.
AI,Assistant/Alternate Interpreter,HL70443,"F-R4, F-R6",,,,,,,,,,
TN,Technician,HL70443,"F-R4, F-R6",,,,,,,,,,
VP,Verifying Provider,HL70443,"F-R4, F-R6",,,,,,,,,,
VPS,Verifying Pharmaceutical Supplier   (not sure how to dissect Pharmacist/Treatment Supplier's Verifier ID),HL70443,"F-R4, F-R6",,,,,,,,,,
VTS,Verifying Treatment Supplier   (not sure how to dissect Pharmacist/Treatment Supplier's Verifier ID),HL70443,"F-R4, F-R6",,,,,,,,,,
