HL7 v2,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,Comments
Code,Text,Code System,Core Version,Incubator Version,Computable ANTLR,Computable FHIRPath,Narrative,Code,,Display,Code System,,
Q<integer>S,every <integer> seconds,HL70335,"F-R4, F-R6",,,,,Q<integer>S,,every <integer> seconds,http://terminology.hl7.org/CodeSystem/v2-0335,,
Q<integer>M,every <integer> minutes,HL70335,"F-R4, F-R6",,,,,Q<integer>M,,every <integer> minutes,http://terminology.hl7.org/CodeSystem/v2-0335,,
Q<integer>H,every <integer> hours,HL70335,"F-R4, F-R6",,,,,Q<integer>H,,every <integer> hours,http://terminology.hl7.org/CodeSystem/v2-0335,,
,every 1 hours,,"F-R4, F-R6",,,,,Q1H,,every hour,http://terminology.hl7.org/CodeSystem/v3-GTSAbbreviation,,
,every 2 hours,,"F-R4, F-R6",,,,,Q2H,,every 2 hours,http://terminology.hl7.org/CodeSystem/v3-GTSAbbreviation,,
,every 3 hours,,"F-R4, F-R6",,,,,Q3H,,every 3 hours,http://terminology.hl7.org/CodeSystem/v3-GTSAbbreviation,,
,every 4 hours,,"F-R4, F-R6",,,,,Q4H,,Q4H,http://terminology.hl7.org/CodeSystem/v3-GTSAbbreviation,,
,every 6 hours,,"F-R4, F-R6",,,,,Q6H,,Q6H,http://terminology.hl7.org/CodeSystem/v3-GTSAbbreviation,,
,every 8 hours,,"F-R4, F-R6",,,,,Q8H,,every 8 hours,http://terminology.hl7.org/CodeSystem/v3-GTSAbbreviation,,
Q<integer>D,every <integer> days,HL70335,"F-R4, F-R6",,,,,Q<integer>D,,every <integer> days,http://terminology.hl7.org/CodeSystem/v2-0335,,
,every 1 days,,"F-R4, F-R6",,,,,QD,,QD,http://terminology.hl7.org/CodeSystem/v3-GTSAbbreviation,,
Q<integer>W,every <integer> weeks,HL70335,"F-R4, F-R6",,,,,Q<integer>W,,every <integer> weeks,http://terminology.hl7.org/CodeSystem/v2-0335,,
,every 1 weeks,,"F-R4, F-R6",,,,,WK,,weekly,http://terminology.hl7.org/CodeSystem/v3-GTSAbbreviation,,
Q<integer>L,every <integer> months (Lunar cycle),HL70335,"F-R4, F-R6",,,,,Q<integer>L,,every <integer> months (Lunar cycle),http://terminology.hl7.org/CodeSystem/v2-0335,,
,every 1 months (Lunar),,"F-R4, F-R6",,,,,MO,,monthly,http://terminology.hl7.org/CodeSystem/v3-GTSAbbreviation,,
Q<integer>J<day#>,"repeats on a particular day of the week,",HL70335,"F-R4, F-R6",,,,,Q<integer>J<day#>,,"repeats on a particular day of the week,",http://terminology.hl7.org/CodeSystem/v2-0335,,
BID,twice a day at institution-specified times,HL70335,"F-R4, F-R6",,,,,BID,,BID,http://terminology.hl7.org/CodeSystem/v3-GTSAbbreviation,,
TID,three times a day at institution-specified times,HL70335,"F-R4, F-R6",,,,,TID,,TID,http://terminology.hl7.org/CodeSystem/v3-GTSAbbreviation,,
QID,four times a day at institution-specified times,HL70335,"F-R4, F-R6",,,,,QID,,QID,http://terminology.hl7.org/CodeSystem/v3-GTSAbbreviation,,
xID,"""X"" times per day at institution-specified times, where X is a numeral 5 or greater.",HL70335,"F-R4, F-R6",,,,,xID,,"""X"" times per day at institution-specified times, where X is a numeral 5 or greater.",http://terminology.hl7.org/CodeSystem/v2-0335,,
QAM,in the morning at institution-specified time,HL70335,"F-R4, F-R6",,,,,QAM,,in the morning at institution-specified time,http://terminology.hl7.org/CodeSystem/v2-0335,,
QSHIFT,during each of three eight-hour shifts at institution-specified times,HL70335,"F-R4, F-R6",,,,,QSHIFT,,during each of three eight-hour shifts at institution-specified times,http://terminology.hl7.org/CodeSystem/v2-0335,,
QOD,every other day,HL70335,"F-R4, F-R6",,,,,QOD,,QOD,http://terminology.hl7.org/CodeSystem/v3-GTSAbbreviation,,
