HL7 v2,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,Comments
Code,Text,Code System,Core Version,Incubator Version,Computable ANTLR,Computable FHIRPath,Narrative,Code,,Display,Code System,,
AP,Apply Externally,HL70162,"F-R4, F-R6",,,,,AP,,Apply Externally,http://terminology.hl7.org/CodeSystem/v2-0162,,
B,Buccal,HL70162,"F-R4, F-R6",,,,,B,,Buccal,http://terminology.hl7.org/CodeSystem/v2-0162,,
DT,Dental,HL70162,"F-R4, F-R6",,,,,DT,,Dental,http://terminology.hl7.org/CodeSystem/v2-0162,,
EP,Epidural,HL70162,"F-R4, F-R6",,,,,EP,,Epidural,http://terminology.hl7.org/CodeSystem/v2-0162,,
ET,Endotrachial Tube,HL70162,"F-R4, F-R6",,,,,ET,,Endotrachial Tube,http://terminology.hl7.org/CodeSystem/v2-0162,,
GTT,Gastrostomy Tube,HL70162,"F-R4, F-R6",,,,,GTT,,Gastrostomy Tube,http://terminology.hl7.org/CodeSystem/v2-0162,,
GU,GU Irrigant,HL70162,"F-R4, F-R6",,,,,GU,,GU Irrigant,http://terminology.hl7.org/CodeSystem/v2-0162,,
IMR,Immerse (Soak) Body Part,HL70162,"F-R4, F-R6",,,,,IMR,,Immerse (Soak) Body Part,http://terminology.hl7.org/CodeSystem/v2-0162,,
IA,Intra-arterial,HL70162,"F-R4, F-R6",,,,,IA,,Intra-arterial,http://terminology.hl7.org/CodeSystem/v2-0162,,
IB,Intrabursal,HL70162,"F-R4, F-R6",,,,,IB,,Intrabursal,http://terminology.hl7.org/CodeSystem/v2-0162,,
IC,Intracardiac,HL70162,"F-R4, F-R6",,,,,IC,,Intracardiac,http://terminology.hl7.org/CodeSystem/v2-0162,,
ICV,Intracervical (uterus),HL70162,"F-R4, F-R6",,,,,ICV,,Intracervical (uterus),http://terminology.hl7.org/CodeSystem/v2-0162,,
ID,Intradermal,HL70162,"F-R4, F-R6",,,,,IDINJ,,"Injection, intradermal",http://terminology.hl7.org/CodeSystem/v3-RouteOfAdministration,,
IH,Inhalation,HL70162,"F-R4, F-R6",,,,,IH,,Inhalation,http://terminology.hl7.org/CodeSystem/v2-0162,,
IHA,Intrahepatic Artery,HL70162,"F-R4, F-R6",,,,,IHA,,Intrahepatic Artery,http://terminology.hl7.org/CodeSystem/v2-0162,,
IM,Intramuscular,HL70162,"F-R4, F-R6",,,,,IM,,"Injection, intramuscular",http://terminology.hl7.org/CodeSystem/v3-RouteOfAdministration,,
IN,Intranasal,HL70162,"F-R4, F-R6",,,,,IN,,Intranasal,http://terminology.hl7.org/CodeSystem/v2-0162,,
IO,Intraocular,HL70162,"F-R4, F-R6",,,,,IO,,Intraocular,http://terminology.hl7.org/CodeSystem/v2-0162,,
IP,Intraperitoneal,HL70162,"F-R4, F-R6",,,,,IP,,Intraperitoneal,http://terminology.hl7.org/CodeSystem/v2-0162,,
IS,Intrasynovial,HL70162,"F-R4, F-R6",,,,,IS,,Intrasynovial,http://terminology.hl7.org/CodeSystem/v2-0162,,
IT,Intrathecal,HL70162,"F-R4, F-R6",,,,,IT,,Intrathecal,http://terminology.hl7.org/CodeSystem/v2-0162,,
IU,Intrauterine,HL70162,"F-R4, F-R6",,,,,IU,,Intrauterine,http://terminology.hl7.org/CodeSystem/v2-0162,,
IV,Intravenous,HL70162,"F-R4, F-R6",,,,,IVINJ,,"Injection, intravenous",http://terminology.hl7.org/CodeSystem/v3-RouteOfAdministration,,
MTH,Mouth/Throat,HL70162,"F-R4, F-R6",,,,,MTH,,Mouth/Throat,http://terminology.hl7.org/CodeSystem/v2-0162,,
MM,Mucous Membrane,HL70162,"F-R4, F-R6",,,,,MM,,Mucous Membrane,http://terminology.hl7.org/CodeSystem/v2-0162,,
NS,Nasal,HL70162,"F-R4, F-R6",,,,,NS,,Nasal,http://terminology.hl7.org/CodeSystem/v2-0162,,
NG,Nasogastric,HL70162,"F-R4, F-R6",,,,,NG,,Nasogastric,http://terminology.hl7.org/CodeSystem/v2-0162,,
