HL7 v2,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,Comments
Code,Text,Code System,Core Version,Incubator Version,Computable ANTLR,Computable FHIRPath,Narrative,Code,,Display,Code System,,
FNA,"Aspiration, Fine Needle",HL70488,"F-R4, F-R6",,,,,FNA,,"Aspiration, Fine Needle",http://terminology.hl7.org/CodeSystem/v2-0488,,
PNA,Arterial puncture,HL70488,"F-R4, F-R6",,,,,PNA,,Arterial puncture,http://terminology.hl7.org/CodeSystem/v2-0488,,
BIO,Biopsy,HL70488,"F-R4, F-R6",,,,,129314006,,Biopsy - action,http://snomed.info/sct,,
BCAE,"Blood Culture, Aerobic Bottle",HL70488,"F-R4, F-R6",,,,,BCAE,,"Blood Culture, Aerobic Bottle",http://terminology.hl7.org/CodeSystem/v2-0488,,
BCAN,"Blood Culture, Anaerobic Bottle",HL70488,"F-R4, F-R6",,,,,BCAN,,"Blood Culture, Anaerobic Bottle",http://terminology.hl7.org/CodeSystem/v2-0488,,
BCPD,"Blood Culture, Pediatric Bottle",HL70488,"F-R4, F-R6",,,,,BCPD,,"Blood Culture, Pediatric Bottle",http://terminology.hl7.org/CodeSystem/v2-0488,,
CAP,Capillary Specimen,HL70488,"F-R4, F-R6",,,,,CAP,,Capillary Specimen,http://terminology.hl7.org/CodeSystem/v2-0488,,
CATH,Catheterized,HL70488,"F-R4, F-R6",,,,,CATH,,Catheterized,http://terminology.hl7.org/CodeSystem/v2-0488,,
EPLA,"Environmental, Plate",HL70488,"F-R4, F-R6",,,,,EPLA,,"Environmental, Plate",http://terminology.hl7.org/CodeSystem/v2-0488,,
ESWA,"Environmental, Swab",HL70488,"F-R4, F-R6",,,,,ESWA,,"Environmental, Swab",http://terminology.hl7.org/CodeSystem/v2-0488,,
LNA,"Line, Arterial",HL70488,"F-R4, F-R6",,,,,LNA,,"Line, Arterial",http://terminology.hl7.org/CodeSystem/v2-0488,,
CVP,"Line, CVP",HL70488,"F-R4, F-R6",,,,,CVP,,"Line, CVP",http://terminology.hl7.org/CodeSystem/v2-0488,,
LNV,"Line, Venous",HL70488,"F-R4, F-R6",,,,,LNV,,"Line, Venous",http://terminology.hl7.org/CodeSystem/v2-0488,,
MARTL,Martin-Lewis Agar,HL70488,"F-R4, F-R6",,,,,MARTL,,Martin-Lewis Agar,http://terminology.hl7.org/CodeSystem/v2-0488,,
ML11,Mod. Martin-Lewis Agar,HL70488,"F-R4, F-R6",,,,,ML11,,Mod. Martin-Lewis Agar,http://terminology.hl7.org/CodeSystem/v2-0488,,
PACE,"Pace, Gen-Probe",HL70488,"F-R4, F-R6",,,,,PACE,,"Pace, Gen-Probe",http://terminology.hl7.org/CodeSystem/v2-0488,,
PIN,Pinworm Prep,HL70488,"F-R4, F-R6",,,,,PIN,,Pinworm Prep,http://terminology.hl7.org/CodeSystem/v2-0488,,
KOFFP,"Plate, Cough",HL70488,"F-R4, F-R6",,,,,KOFFP,,"Plate, Cough",http://terminology.hl7.org/CodeSystem/v2-0488,,
MLP,"Plate, Martin-Lewis",HL70488,"F-R4, F-R6",,,,,MLP,,"Plate, Martin-Lewis",http://terminology.hl7.org/CodeSystem/v2-0488,,
NYP,"Plate, New York City",HL70488,"F-R4, F-R6",,,,,NYP,,"Plate, New York City",http://terminology.hl7.org/CodeSystem/v2-0488,,
TMP,"Plate, Thayer-Martin",HL70488,"F-R4, F-R6",,,,,TMP,,"Plate, Thayer-Martin",http://terminology.hl7.org/CodeSystem/v2-0488,,
ANP,"Plates, Anaerobic",HL70488,"F-R4, F-R6",,,,,ANP,,"Plates, Anaerobic",http://terminology.hl7.org/CodeSystem/v2-0488,,
BAP,"Plates, Blood Agar",HL70488,"F-R4, F-R6",,,,,BAP,,"Plates, Blood Agar",http://terminology.hl7.org/CodeSystem/v2-0488,,
