HL7 v2,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,Comments
Code,Text,Code System,Core Version,Incubator Version,Computable ANTLR,Computable FHIRPath,Narrative,Code,,Display,Code System,,
AUT,Autolyzed,HL70493,"F-R4, F-R6",,,,,AUT,,Autolyzed,http://terminology.hl7.org/CodeSystem/v2-0493,,
CLOT,Clotted,HL70493,"F-R4, F-R6",,,,,CLOT,,Clotted,http://terminology.hl7.org/CodeSystem/v2-0493,,
CON,Contaminated,HL70493,"F-R4, F-R6",,,,,CON,,Contaminated,http://terminology.hl7.org/CodeSystem/v2-0493,,
COOL,Cool,HL70493,"F-R4, F-R6",,,,,COOL,,Cool,http://terminology.hl7.org/CodeSystem/v2-0493,,
FROZ,Frozen,HL70493,"F-R4, F-R6",,,,,FROZ,,Frozen,http://terminology.hl7.org/CodeSystem/v2-0493,,
HEM,Hemolyzed,HL70493,"F-R4, F-R6",,,,,HEM,,Hemolyzed,http://terminology.hl7.org/CodeSystem/v2-0493,,
LIVE,Live,HL70493,"F-R4, F-R6",,,,,LIVE,,Live,http://terminology.hl7.org/CodeSystem/v2-0493,,
ROOM,Room temperature,HL70493,"F-R4, F-R6",,,,,ROOM,,Room temperature,http://terminology.hl7.org/CodeSystem/v2-0493,,
SNR,Sample not received,HL70493,"F-R4, F-R6",,,,,SNR,,Sample not received,http://terminology.hl7.org/CodeSystem/v2-0493,,
CFU,Centrifuged,HL70493,"F-R4, F-R6",,,,,CFU,,Centrifuged,http://terminology.hl7.org/CodeSystem/v2-0493,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,h,,,,,,,,,,,,
