HL7 v2,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,Comments
Code,Text,Code System,Core Version,Incubator Version,Computable ANTLR,Computable FHIRPath,Narrative,Code,,Display,Code System,,
,,,"F-R4, F-R6",,,,,106004,,Posterior carpal region, http://snomed.info/sct,,
,,,"F-R4, F-R6",,,,,107008,,Fetal part of placenta, http://snomed.info/sct,,
,,,"F-R4, F-R6",,,,,108003,,Condylar emissary vein, http://snomed.info/sct,,
,,,"F-R4, F-R6",,,,,110001,,Visceral layer of Bowman's capsule, http://snomed.info/sct,,
,,,"F-R4, F-R6",,,,,111002,,Parathyroid gland, http://snomed.info/sct,,
,,,"F-R4, F-R6",,,,,116007,,Subcutaneous tissue of medial surface of index finger, http://snomed.info/sct,,
,,,"F-R4, F-R6",,,,,124002,,Coronoid process of mandible, http://snomed.info/sct,,
,,,"F-R4, F-R6",,,,,149003,,"Central pair of microtubules, cilium or flagellum, not bacterial", http://snomed.info/sct,,
,,,"F-R4, F-R6",,,,,155008,,Deep circumflex artery of ilium, http://snomed.info/sct,,
,,,"F-R4, F-R6",,,,,167005,,Supraclavicular part of brachial plexus, http://snomed.info/sct,,
,,,"F-R4, F-R6",,,,,202009,,Anterior division of renal artery, http://snomed.info/sct,,
,,,"F-R4, F-R6",,,,,205006,,Left commissure of aortic valve, http://snomed.info/sct,,
,,,"F-R4, F-R6",,,,,206007,,Gluteus maximus muscle, http://snomed.info/sct,,
,,,"F-R4, F-R6",,,,,221001,,"Articular surface, phalanges, of fourth metacarpal bone", http://snomed.info/sct,,
,,,"F-R4, F-R6",,,,,227002,,Canal of Hering, http://snomed.info/sct,,
,,,"F-R4, F-R6",,,,,233006,,Hepatocolic ligament, http://snomed.info/sct,,
,,,"F-R4, F-R6",,,,,235004,,Superior labial artery, http://snomed.info/sct,,
,,,"F-R4, F-R6",,,,,246001,,Lateral vestibular nucleus, http://snomed.info/sct,,
,,,"F-R4, F-R6",,,,,247005,,Mesotympanum, http://snomed.info/sct,,
,h,,"F-R4, F-R6",,,,,251007,,Pectoral region, http://snomed.info/sct,,
,,,"F-R4, F-R6",,,,,256002,,Kupffer cell, http://snomed.info/sct,,
,,,"F-R4, F-R6",,,,,263002,,Thoracic nerve, http://snomed.info/sct,,
,,,"F-R4, F-R6",,,,,266005,,Right lower lobe of lung, http://snomed.info/sct,,
,,,"F-R4, F-R6",,,,,272005,,Superior articular process of lumbar vertebra, http://snomed.info/sct,,
,,,"F-R4, F-R6",,,,,273000,,Lateral myocardium, http://snomed.info/sct,,
,,,"F-R4, F-R6",,,,,283001,,Central axillary lymph node, http://snomed.info/sct,,
,,,"F-R4, F-R6",,,,,284007,,Flexor tendon and tendon sheath of fourth toe, http://snomed.info/sct,,
,,,"F-R4, F-R6",,,,,289002,,Metacarpophalangeal joint of index finger, http://snomed.info/sct,,
,,,"F-R4, F-R6",,,,,301000,,Fifth metatarsal bone, http://snomed.info/sct,,
,,,"F-R4, F-R6",,,,,311007,,Plantar surface of great toe, http://snomed.info/sct,,
,,,"F-R4, F-R6",,,,,315003,,Skin of umbilicus, http://snomed.info/sct,,
,,,"F-R4, F-R6",,,,,318001,,Cardiac impression of liver, http://snomed.info/sct,,
,,,"F-R4, F-R6",,,,,344001,,Ankle, http://snomed.info/sct,,
,,,"F-R4, F-R6",,,,,345000,,Penetrating atrioventricular bundle, http://snomed.info/sct,,
,,,"F-R4, F-R6",,,,,356000,,Reticular corium, http://snomed.info/sct,,
,,,"F-R4, F-R6",,,,,393006,,Wall of urinary bladder, http://snomed.info/sct,,
,,,"F-R4, F-R6",,,,,402006,,Dental branches of inferior alveolar artery, http://snomed.info/sct,,
,,,"F-R4, F-R6",,,,,405008,,Posterior temporal diploic vein, http://snomed.info/sct,,
,,,"F-R4, F-R6",,,,,414003,,Gastric fundus, http://snomed.info/sct,,
,,,"F-R4, F-R6",,,,,420002,,"Anastomosis, heterocladic", http://snomed.info/sct,,
,,,"F-R4, F-R6",,,,,422005,,Inferior surface of tongue, http://snomed.info/sct,,
,,,"F-R4, F-R6",,,,,446003,,Trochanteric bursa, http://snomed.info/sct,,
,,,"F-R4, F-R6",,,,,457008,,Collateral ligament, http://snomed.info/sct,,
,,,"F-R4, F-R6",,,,,461002,,Lateral corticospinal tract, http://snomed.info/sct,,
,,,"F-R4, F-R6",,,,,464005,,Basophilic normoblast, http://snomed.info/sct,,
,,,"F-R4, F-R6",,,,,465006,,Ascending frontal gyrus, http://snomed.info/sct,,
