HL7 v2,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,Comments
Code,Text,Code System,Core Version,Incubator Version,Computable ANTLR,Computable FHIRPath,Narrative,Code,,Display,Code System,,
PRN,Primary Residence Number,HL70201,"F-R4, F-R6",,,,,home,,Home,http://hl7.org/fhir/contact-point-use,,
ORN,Other Residence Number,HL70201,"F-R4, F-R6",,,,,,,,,,
WPN,Work Number,HL70201,"F-R4, F-R6",,,,,work,,Work,http://hl7.org/fhir/contact-point-use,,
VHN,Vacation Home Number,HL70201,"F-R4, F-R6",,,,,,,,,,
ASN,Answering Service Number,HL70201,"F-R4, F-R6",,,,,,,,,,
EMR,Emergency Number,HL70201,"F-R4, F-R6",,,,,,,,,,
NET,Network (email) Address,HL70201,"F-R4, F-R6",,,,,,,,,,
BPN,Beeper Number,HL70201,"F-R4, F-R6",,,,,,,,,,
PRS,Personal,HL70201,"F-R4, F-R6",,,,,mobile,,Mobile,http://hl7.org/fhir/contact-point-use,,
