HL7 v2,,,Condition (IF TRUE),,,HL7 FHIR,,,
Code,Text,Code System,Computable ANTLR,Computable FHIRPath,Narrative,Code,,Display,Code System
BA,Bad address,HL70190,,,,old,,Old / Incorrect,http://hl7.org/fhir/address-use
BI,Billing Address,HL70190,,,,billing,,Billing,http://hl7.org/fhir/address-use
N,"Birth (nee)  (birth address, not otherwise specified)",HL70190,,,,,,,
BDL,Birth delivery location  (address where birth occurred),HL70190,,,,,,,
F,Country Of Origin,HL70190,,,,,,,
C,Current Or Temporary,HL70190,,,,temp,,Temporary,http://hl7.org/fhir/address-use
B,Firm/Business,HL70190,,,,work,,Work,http://hl7.org/fhir/address-use
H,Home,HL70190,,,,home,,Home,http://hl7.org/fhir/address-use
L,Legal Address,HL70190,,,,,,,
M,Mailing,HL70190,,,,,,,
O,Office/Business,HL70190,,,,work,,Work,http://hl7.org/fhir/address-use
P,Permanent,HL70190,,,,,,,
RH,"Registry home. Refers to the information system, typically managed by a public health agency, that stores patient information such as immunization histories or cancer data, regardless of where the patient obtains services.",HL70190,,,,,,,
BR,Residence at birth (home address at time of birth),HL70190,,,,,,,
S,Service Location,HL70190,,,,,,,
SH,Shipping Address,HL70190,,,,,,,
TM,Tube Address,HL70190,,,,,,,
V,Vacation,HL70190,,,,,,,
