HL7 v2,,,Condition (IF True),,,HL7 FHIR,,,,,Comments
Code,Text,Code System,Computable ANTLR,Computable FHIRPath,Narrative,Code,,Display,Code System,,
A0,No functional limitations,HL70009,,,,,,,,,
A1,Ambulates with assistive device,HL70009,,,,,,,,,
A2,Wheelchair/stretcher bound,HL70009,,,,wheel,,Wheelchair,http://terminology.hl7.org/CodeSystem/encounter-special-arrangements,,
A3,Comatose; non-responsive,HL70009,,,,A3,,Comatose; non-responsive,http://terminology.hl7.org/CodeSystem/v2-0009,,
A4,Disoriented,HL70009,,,,A4,,Disoriented,http://terminology.hl7.org/CodeSystem/v2-0009,,
A5,Vision impaired,HL70009,,,,A5,,Vision impaired,http://terminology.hl7.org/CodeSystem/v2-0009,,
A6,Hearing impaired,HL70009,,,,A6,,Hearing impaired,http://terminology.hl7.org/CodeSystem/v2-0009,,
A7,Speech impaired,HL70009,,,,A7,,Speech impaired,http://terminology.hl7.org/CodeSystem/v2-0009,,
A8,Non-English speaking,HL70009,,,,A8,,Non-English speaking,http://terminology.hl7.org/CodeSystem/v2-0009,,
A9,Functional level unknown,HL70009,,,,A9,,Functional level unknown,http://terminology.hl7.org/CodeSystem/v2-0009,,
B1,Oxygen therapy,HL70009,,,,B1,,Oxygen therapy,http://terminology.hl7.org/CodeSystem/v2-0009,,
B2,"Special equipment (tubes, IVs, catheters)",HL70009,,,,B2,,"Special equipment (tubes, IVs, catheters)",http://terminology.hl7.org/CodeSystem/v2-0009,,
B3,Amputee,HL70009,,,,B3,,Amputee,http://terminology.hl7.org/CodeSystem/v2-0009,,
B4,Mastectomy,HL70009,,,,B4,,Mastectomy,http://terminology.hl7.org/CodeSystem/v2-0009,,
B5,Paraplegic,HL70009,,,,B5,,Paraplegic,http://terminology.hl7.org/CodeSystem/v2-0009,,
B6,Pregnant,HL70009,,,,B6,,Pregnant,http://terminology.hl7.org/CodeSystem/v2-0009,,
,,,,,,add-bed,,Additional bedding,http://terminology.hl7.org/CodeSystem/encounter-special-arrangements,,
,,,,,,int,,Interpreter,http://terminology.hl7.org/CodeSystem/encounter-special-arrangements,,
,,,,,,att,,Attendant,http://terminology.hl7.org/CodeSystem/encounter-special-arrangements,,
,,,,,,dog,,Guide dog,http://terminology.hl7.org/CodeSystem/encounter-special-arrangements,,
