HL7 v2,,,Condition (IF True),,,HL7 FHIR,,,,,Comments
Code,Text,Code System,Computable ANTLR,Computable FHIRPath,Narrative,Code,,Display,Code System,,
JUGE,"Jugular, External",HL70550,,,,JUGE,,"Jugular, External",http://terminology.hl7.org/CodeSystem/v2-0550,,
ADB,Abdomen,HL70550,,,,ADB,,Abdomen,http://terminology.hl7.org/CodeSystem/v2-0550,,
ACET,Acetabulum,HL70550,,,,ACET,,Acetabulum,http://terminology.hl7.org/CodeSystem/v2-0550,,
ACHIL,Achilles,HL70550,,,,ACHIL,,Achilles,http://terminology.hl7.org/CodeSystem/v2-0550,,
ADE,Adenoids,HL70550,,,,ADE,,Adenoids,http://terminology.hl7.org/CodeSystem/v2-0550,,
ADR,Adrenal,HL70550,,,,ADR,,Adrenal,http://terminology.hl7.org/CodeSystem/v2-0550,,
AMN,Amniotic fluid,HL70550,,,,AMN,,Amniotic fluid,http://terminology.hl7.org/CodeSystem/v2-0550,,
AMS,Amniotic Sac,HL70550,,,,AMS,,Amniotic Sac,http://terminology.hl7.org/CodeSystem/v2-0550,,
ANAL,Anal,HL70550,,,,ANAL,,Anal,http://terminology.hl7.org/CodeSystem/v2-0550,,
ANKL,Ankle,HL70550,,,,ANKL,,Ankle,http://terminology.hl7.org/CodeSystem/v2-0550,,
ANTEC,Antecubital,HL70550,,,,ANTEC,,Antecubital,http://terminology.hl7.org/CodeSystem/v2-0550,,
ANTECF,Antecubital Fossa,HL70550,,,,ANTECF,,Antecubital Fossa,http://terminology.hl7.org/CodeSystem/v2-0550,,
ANTR,Antrum,HL70550,,,,ANTR,,Antrum,http://terminology.hl7.org/CodeSystem/v2-0550,,
ANUS,Anus,HL70550,,,,ANUS,,Anus,http://terminology.hl7.org/CodeSystem/v2-0550,,
AORTA,Aorta,HL70550,,,,AORTA,,Aorta,http://terminology.hl7.org/CodeSystem/v2-0550,,
AR,Aortic Rim,HL70550,,,,AR,,Aortic Rim,http://terminology.hl7.org/CodeSystem/v2-0550,,
AV,Aortic Valve,HL70550,,,,AV,,Aortic Valve,http://terminology.hl7.org/CodeSystem/v2-0550,,
APDX,Appendix,HL70550,,,,APDX,,Appendix,http://terminology.hl7.org/CodeSystem/v2-0550,,
AREO,Areola,HL70550,,,,AREO,,Areola,http://terminology.hl7.org/CodeSystem/v2-0550,,
ARM,Arm,HL70550,,,,ARM,,Arm,http://terminology.hl7.org/CodeSystem/v2-0550,,
ARTE,Artery,HL70550,,,,ARTE,,Artery,http://terminology.hl7.org/CodeSystem/v2-0550,,
ASCIT,Ascites,HL70550,,,,ASCIT,,Ascites,http://terminology.hl7.org/CodeSystem/v2-0550,,
ASCT,Ascitic Fluid,HL70550,,,,ASCT,,Ascitic Fluid,http://terminology.hl7.org/CodeSystem/v2-0550,,
ATR,Atrium,HL70550,,,,ATR,,Atrium,http://terminology.hl7.org/CodeSystem/v2-0550,,
AURI,Auricular,HL70550,,,,AURI,,Auricular,http://terminology.hl7.org/CodeSystem/v2-0550,,
AXI,Axilla,HL70550,,,,AXI,,Axilla,http://terminology.hl7.org/CodeSystem/v2-0550,,
BACK,Back,HL70550,,,,BACK,,Back,http://terminology.hl7.org/CodeSystem/v2-0550,,
BARTD,Bartholin Duct,HL70550,,,,BARTD,,Bartholin Duct,http://terminology.hl7.org/CodeSystem/v2-0550,,
BARTG,Bartholin Gland,HL70550,,,,BARTG,,Bartholin Gland,http://terminology.hl7.org/CodeSystem/v2-0550,,
BRTGF,Bartholin Gland Fluid,HL70550,,,,BRTGF,,Bartholin Gland Fluid,http://terminology.hl7.org/CodeSystem/v2-0550,,
BPH,Basophils,HL70550,,,,BPH,,Basophils,http://terminology.hl7.org/CodeSystem/v2-0550,,
BID,Bile Duct,HL70550,,,,BID,,Bile Duct,http://terminology.hl7.org/CodeSystem/v2-0550,,
BIFL,Bile fluid,HL70550,,,,BIFL,,Bile fluid,http://terminology.hl7.org/CodeSystem/v2-0550,,
BLAD,Bladder,HL70550,,,,BLAD,,Bladder,http://terminology.hl7.org/CodeSystem/v2-0550,,
BLOOD,Blood,HL70550,,,,BLOOD,,Blood,http://terminology.hl7.org/CodeSystem/v2-0550,,
BLDA,"Blood, Arterial",HL70550,,,,BLDA,,"Blood, Arterial",http://terminology.hl7.org/CodeSystem/v2-0550,,
BLDC,"Blood, Capillary",HL70550,,,,BLDC,,"Blood, Capillary",http://terminology.hl7.org/CodeSystem/v2-0550,,
BLDV,"Blood, Venous",HL70550,,,,BLDV,,"Blood, Venous",http://terminology.hl7.org/CodeSystem/v2-0550,,
CBLD,"Blood, Cord",HL70550,,,,CBLD,,"Blood, Cord",http://terminology.hl7.org/CodeSystem/v2-0550,,
BLD,"Blood, Whole",HL70550,,,,BLD,,"Blood, Whole",http://terminology.hl7.org/CodeSystem/v2-0550,,
BDY,"Body, Whole",HL70550,,,,BDY,,"Body, Whole",http://terminology.hl7.org/CodeSystem/v2-0550,,
BON,Bone,HL70550,,,,BON,,Bone,http://terminology.hl7.org/CodeSystem/v2-0550,,
BMAR,Bone marrow,HL70550,,,,BMAR,,Bone marrow,http://terminology.hl7.org/CodeSystem/v2-0550,,
BOWEL,Bowel,HL70550,,,,BOWEL,,Bowel,http://terminology.hl7.org/CodeSystem/v2-0550,,
BOWLA,"Bowel, Large",HL70550,,,,BOWLA,,"Bowel, Large",http://terminology.hl7.org/CodeSystem/v2-0550,,
BOWSM,"Bowel, Small",HL70550,,,,BOWSM,,"Bowel, Small",http://terminology.hl7.org/CodeSystem/v2-0550,,
BRA,Brachial,HL70550,,,,BRA,,Brachial,http://terminology.hl7.org/CodeSystem/v2-0550,,
BRAIN,Brain,HL70550,,,,BRAIN,,Brain,http://terminology.hl7.org/CodeSystem/v2-0550,,
BCYS,Brain Cyst Fluid,HL70550,,,,BCYS,,Brain Cyst Fluid,http://terminology.hl7.org/CodeSystem/v2-0550,,
BRST,Breast,HL70550,,,,BRST,,Breast,http://terminology.hl7.org/CodeSystem/v2-0550,,
BRSTFL,Breast fluid,HL70550,,,,BRSTFL,,Breast fluid,http://terminology.hl7.org/CodeSystem/v2-0550,,
BRO,Bronchial,HL70550,,,,BRO,,Bronchial,http://terminology.hl7.org/CodeSystem/v2-0550,,
BROCH,Bronchiole/Bronchiolar,HL70550,,,,BROCH,,Bronchiole/Bronchiolar,http://terminology.hl7.org/CodeSystem/v2-0550,,
BRONC,Bronchus/Bronchial,HL70550,,,,BRONC,,Bronchus/Bronchial,http://terminology.hl7.org/CodeSystem/v2-0550,,
BRV,Broviac,HL70550,,,,BRV,,Broviac,http://terminology.hl7.org/CodeSystem/v2-0550,,
BUCCA,Buccal,HL70550,,,,BUCCA,,Buccal,http://terminology.hl7.org/CodeSystem/v2-0550,,
BURSA,Bursa,HL70550,,,,BURSA,,Bursa,http://terminology.hl7.org/CodeSystem/v2-0550,,
BURSF,Bursa Fluid,HL70550,,,,BURSF,,Bursa Fluid,http://terminology.hl7.org/CodeSystem/v2-0550,,
BUTT,Buttocks,HL70550,,,,BUTT,,Buttocks,http://terminology.hl7.org/CodeSystem/v2-0550,,
CALF,Calf,HL70550,,,,CALF,,Calf,http://terminology.hl7.org/CodeSystem/v2-0550,,
CANAL,Canal,HL70550,,,,CANAL,,Canal,http://terminology.hl7.org/CodeSystem/v2-0550,,
CANLI,Canaliculis,HL70550,,,,CANLI,,Canaliculis,http://terminology.hl7.org/CodeSystem/v2-0550,,
CNL,Cannula,HL70550,,,,CNL,,Cannula,http://terminology.hl7.org/CodeSystem/v2-0550,,
CANTH,Canthus,HL70550,,,,CANTH,,Canthus,http://terminology.hl7.org/CodeSystem/v2-0550,,
CDM,Cardiac Muscle,HL70550,,,,CDM,,Cardiac Muscle,http://terminology.hl7.org/CodeSystem/v2-0550,,
CARO,Carotid,HL70550,,,,CARO,,Carotid,http://terminology.hl7.org/CodeSystem/v2-0550,,
CARP,Carpal,HL70550,,,,CARP,,Carpal,http://terminology.hl7.org/CodeSystem/v2-0550,,
CAVIT,Cavity,HL70550,,,,CAVIT,,Cavity,http://terminology.hl7.org/CodeSystem/v2-0550,,
CHE,"Cavity, Chest",HL70550,,,,CHE,,"Cavity, Chest",http://terminology.hl7.org/CodeSystem/v2-0550,,
CECUM,Cecum/Cecal,HL70550,,,,CECUM,,Cecum/Cecal,http://terminology.hl7.org/CodeSystem/v2-0550,,
CSF,Cerebral Spinal Fluid,HL70550,,,,CSF,,Cerebral Spinal Fluid,http://terminology.hl7.org/CodeSystem/v2-0550,,
CVX,Cervix,HL70550,,,,CVX,,Cervix,http://terminology.hl7.org/CodeSystem/v2-0550,,
CERVUT,Cervix/Uterus,HL70550,,,,CERVUT,,Cervix/Uterus,http://terminology.hl7.org/CodeSystem/v2-0550,,
CHEEK,Cheek,HL70550,,,,CHEEK,,Cheek,http://terminology.hl7.org/CodeSystem/v2-0550,,
CHES,Chest,HL70550,,,,CHES,,Chest,http://terminology.hl7.org/CodeSystem/v2-0550,,
CHESTÂ,Chest Tube,HL70550,,,,CHESTÂ,,Chest Tube,http://terminology.hl7.org/CodeSystem/v2-0550,,
CHIN,Chin,HL70550,,,,CHIN,,Chin,http://terminology.hl7.org/CodeSystem/v2-0550,,
