HL7 v2,,,Condition (IF True),,,HL7 FHIR,,,,,Comments
Code,Text,Code System,Computable ANTLR,Computable FHIRPath,Narrative,Code,,Display,Code System,,
A,Amended ,HL70085,,,,amended,,Amended,http://hl7.org/fhir/observation-status,,
B,Appended ,HL70085,,,,,,,,,
C,Correction ,HL70085,,,,corrected,,Corrected,http://hl7.org/fhir/observation-status,,
D,Deleted,HL70085,,,,entered-in-error,,Entered in Error,http://hl7.org/fhir/observation-status,,
F,Final,HL70085,,,,final,,Final,http://hl7.org/fhir/observation-status,,
I,Specimen in Lab; results pending,HL70085,,,,,,,,,
N,Not Asked,HL70085,,,,,,,,,
O,Order Detail,HL70085,,,,,,,,,
P,Preliminary,HL70085,,,,preliminary,,Preliminary,http://hl7.org/fhir/observation-status,,
R,Entered - Not Verified,HL70085,,,,,,,,,
S,Partial,HL70085,,,,,,,,,
V,Verified,HL70085,,,,,"Create JIRA: Final results reviewed and confirmed to be correct, no change to result value, normal range or abnormal flag",,,,"Depending on the interepretation and which verification step is being referenced (e.g., the one before finalizing, or after finalizing to validate/verify it is actually correct), this may need to become an originalCodeableConcept on Observation.status or an Observation.note."
X,Cannot be Obtained,HL70085,,,,cancelled,,,http://hl7.org/fhir/observation-status,,"And set data-absent-reason on Observation.value to ""cannot-be-obtained"""
U,Status Change to Final Without Retransmission,HL70085,,,,,,,,,
W,Original Posted as Wrong,HL70085,,,,entered-in-error,,Entered in Error,http://hl7.org/fhir/observation-status,,
,,,,,,,now,,,,"Now: The existence of the observation is registered, but there is no result yet available."
,,,,,,,draft update,,,,"Draft Update: A placeholder Observation has been created in anticipation for documenting the actual result(s).  The creation may be at varying states of preparation or performance, e.g., for lab results the specimen is collected but not yet arrived in the lab or specimen in Lab but results pending."
