HL7 v2,,,Condition (IF True),,,HL7 FHIR,,,,,Comments
Code,Text,Code System,Computable ANTLR,Computable FHIRPath,Narrative,Code,,Display,Code System,,
PH,Pharmacist,HL70912,,,,pharmacist,,Pharmacist,http://terminology.hl7.org/CodeSystem/practitioner-role,,
AAP,Alert Acknowledging Provider,HL70912,,,,,,,,,
AC,Administration Cosigner,HL70912,,,,,,,,,
AD,Admitting Provider,HL70912,,,,,,,,,
AI,Assistant/Alternate Interpreter,HL70912,,,,,,,,,
AP,Administering Provider,HL70912,,,,,,,,,
ARI,Assistant Result Interpreter,HL70912,,,,,,,,,
AT,Attending Provider,HL70912,,,,,,,,,
AUT,Author/Event Initiator,HL70912,,,,,,,,,
CP,Consulting Provider,HL70912,,,,,,,,,
DP,Dispensing Provider,HL70912,,,,,,,,,
EP,Entering Person,HL70912,,,,,,,,,
EQUIP,Equipment,HL70912,,,,,,,,,
FHCP,Family Health Care Professional,HL70912,,,,,,,,,
MDIR,Medical Director,HL70912,,,,,,,,,
OP,Ordering Provider,HL70912,,,,,,,,,
OS,Outside Site(s) Where Observation May Be Performed,HL70912,,,,,,,,,
PB,Packed by,HL70912,,,,,,,,,
PI,Primary Interpreter,HL70912,,,,,,,,,
PO,Performing Organization,HL70912,,,,,,,,,
POMD,Performing Organization Medical Director,HL70912,,,,,,,,,
PP,Primary Care Provider,HL70912,,,,,,,,,
PRI,Principal Result Interpreter,HL70912,,,,,,,,,
RCT,Results Copies To,HL70912,,,,,,,,,
RO,Responsible Observer,HL70912,,,,,,,,,
RP,Referring Provider,HL70912,,,,,,,,,
RT,Referred to Provider,HL70912,,,,,,,,,
SB,Send by,HL70912,,,,,,,,,
SC,Specimen Collector,HL70912,,,,,,,,,
TN,Technician,HL70912,,,,,,,,,
TR,Transcriptionist,HL70912,,,,,,,,,
VP,Verifier (Verifying Person),HL70912,,,,,,,,,
VPS,Verifying Pharmaceutical Supplier   (not sure how to dissect Pharmacist/Treatment Supplier's Verifier ID),HL70912,,,,,,,,,
VTS,Verifying Treatment Supplier   (not sure how to dissect Pharmacist/Treatment Supplier's Verifier ID),HL70912,,,,,,,,,
WAY,Waypoint,HL70912,,,,,,,,,
WAYR,Waypoint Recipient,HL70912,,,,,,,,,
,,,,,,doctor,,Doctor,http://terminology.hl7.org/CodeSystem/practitioner-role,,
,,,,,,nurse,,Nurse,http://terminology.hl7.org/CodeSystem/practitioner-role,,
,,,,,,researcher,,Researcher,http://terminology.hl7.org/CodeSystem/practitioner-role,,
,,,,,,teacher,,Teacher/educator,http://terminology.hl7.org/CodeSystem/practitioner-role,,
,,,,,,ict,,ICT professional,http://terminology.hl7.org/CodeSystem/practitioner-role,,
