HL7 v2,,,Condition (IF True),,,HL7 FHIR,,,,,Comments
Code,Text,Code System,Computable ANTLR,Computable FHIRPath,Narrative,Code,,Display,Code System,,
E,Emergency,HL70004,,,,in-progress,,,,,
I,Inpatient,HL70004,,,,unknown,,,,,
O,Outpatient,HL70004,,,,in-progress,,,,,
P,Preadmit,HL70004,,,,planned,,,,,
R,Recurring patient,HL70004,,,,in-progress,,,,,
B,Obstetrics,HL70004,,,,in-progress,,,,,
C,Commercial Account,HL70004,,,,in-progress,,,,,
N,Not Applicable,HL70004,,,,in-progress,,,,,
U,Unknown,HL70004,,,,in-progress,,,,,
