HL7 v2,,,Condition (IF True),,,HL7 FHIR,,,,,Comments
Code,Text,Code System,Computable ANTLR,Computable FHIRPath,Narrative,Code,,Display,Code System,,
,,,,,,ar,,Arabic,urn:ietf:bcp:47,,
,,,,,,bn,,Bengali,urn:ietf:bcp:47,,
,,,,,,cs,,Czech,urn:ietf:bcp:47,,
,,,,,,da,,Danish,urn:ietf:bcp:47,,
,,,,,,de,,German,urn:ietf:bcp:47,,
,,,,,,de-AT,,German (Austria),urn:ietf:bcp:47,,
,,,,,,de-CH,,German (Switzerland),urn:ietf:bcp:47,,
,,,,,,de-DE,,German (Germany),urn:ietf:bcp:47,,
,,,,,,el,,Greek,urn:ietf:bcp:47,,
,,,,,,en,,English,urn:ietf:bcp:47,,
,,,,,,en-AU,,English (Australia),urn:ietf:bcp:47,,
,,,,,,en-CA,,English (Canada),urn:ietf:bcp:47,,
,,,,,,en-GB,,English (Great Britain),urn:ietf:bcp:47,,
,,,,,,en-IN,,English (India),urn:ietf:bcp:47,,
,,,,,,en-NZ,,English (New Zeland),urn:ietf:bcp:47,,
,,,,,,en-SG,,English (Singapore),urn:ietf:bcp:47,,
,,,,,,en-US,,English (United States),urn:ietf:bcp:47,,
,,,,,,es,,Spanish,urn:ietf:bcp:47,,
,,,,,,es-AR,,Spanish (Argentina),urn:ietf:bcp:47,,
,,,,,,es-ES,,Spanish (Spain),urn:ietf:bcp:47,,
,,,,,,es-UY,,Spanish (Uruguay),urn:ietf:bcp:47,,
,,,,,,fi,,Finnish,urn:ietf:bcp:47,,
,,,,,,fr,,French,urn:ietf:bcp:47,,
,,,,,,fr-BE,,French (Belgium),urn:ietf:bcp:47,,
,,,,,,fr-CH,,French (Switzerland),urn:ietf:bcp:47,,
,,,,,,fr-FR,,French (France),urn:ietf:bcp:47,,
,,,,,,fy,,Frysian,urn:ietf:bcp:47,,
,,,,,,fy-NL,,Frysian (Netherlands),urn:ietf:bcp:47,,
,,,,,,hi,,Hindi,urn:ietf:bcp:47,,
,,,,,,hr,,Croatian,urn:ietf:bcp:47,,
,,,,,,it,,Italian,urn:ietf:bcp:47,,
,,,,,,it-CH,,Italian (Switzerland),urn:ietf:bcp:47,,
,,,,,,it-IT,,Italian (Italy),urn:ietf:bcp:47,,
,,,,,,ja,,Japanese,urn:ietf:bcp:47,,
,,,,,,ko,,Korean,urn:ietf:bcp:47,,
,,,,,,nl,,Dutch,urn:ietf:bcp:47,,
,,,,,,nl-BE,,Dutch (Belgium),urn:ietf:bcp:47,,
,,,,,,nl-NL,,Dutch (Netherlands),urn:ietf:bcp:47,,
,,,,,,no,,Norwegian,urn:ietf:bcp:47,,
,,,,,,no-NO,,Norwegian (Norway),urn:ietf:bcp:47,,
,,,,,,pa,,Punjabi,urn:ietf:bcp:47,,
,,,,,,pl,,Polish,urn:ietf:bcp:47,,
,,,,,,pt,,Portuguese,urn:ietf:bcp:47,,
,,,,,,pt-BR,,Portuguese (Brazil),urn:ietf:bcp:47,,
,,,,,,ru,,Russian,urn:ietf:bcp:47,,
,,,,,,ru-RU,,Russian (Russia),urn:ietf:bcp:47,,
,,,,,,sr,,Serbian,urn:ietf:bcp:47,,
,,,,,,sr-RS,,Serbian (Serbia),urn:ietf:bcp:47,,
,,,,,,sv,,Swedish,urn:ietf:bcp:47,,
,,,,,,sv-SE,,Swedish (Sweden),urn:ietf:bcp:47,,
,,,,,,te,,Telegu,urn:ietf:bcp:47,,
,,,,,,zh,,Chinese,urn:ietf:bcp:47,,
,,,,,,zh-CN,,Chinese (China),urn:ietf:bcp:47,,
,,,,,,zh-HK,,Chinese (Hong Kong),urn:ietf:bcp:47,,
,,,,,,zh-SG,,Chinese (Singapore),urn:ietf:bcp:47,,
,,,,,,zh-TW,,Chinese (Taiwan),urn:ietf:bcp:47,,
