HL7 v2,,,Condition (IF True),,,HL7 FHIR,,,,,Comments
Code,Text,Code System,Computable ANTLR,Computable FHIRPath,Narrative,Code,,Display,Code System,,
A,Atheist,HL70006,,,,1007,,Atheism,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
B,Baptist,HL70006,,,,1009,,Baptist,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
C,Catholic,HL70006,,,,,,,,,
E,Episcopalian,HL70006,,,,1069,,Episcopalian,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
J,Judaism,HL70006,,,,1026,,Judaism,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
L,Lutheran,HL70006,,,,1028,,Lutheran,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
M,Church of Latter Day Saints (Mormon),HL70006,,,,1027,,Latter Day Saints,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
N,Hindu,HL70006,,,,1020,,Hinduism,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
P,Protestant,HL70006,,,,1077,,Protestant,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
AGN,Agnostic,HL70006,,,,1004,,Agnosticism,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
ATH,Atheist,HL70006,,,,1007,,Atheism,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
BAH,Baha'i,HL70006,,,,1008,,Babi & Baha'I faiths,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
BRE,Brethren,HL70006,,,,1062,,Brethren,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
BUD,Buddhist,HL70006,,,,,,,,,
BMA,Buddhist: Mahayana,HL70006,,,,1029,,Mahayana,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
BTH,Buddhist: Theravada,HL70006,,,,1051,,Theravada,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
BTA,Buddhist: Tantrayana,HL70006,,,,,,,,,
BOT,Buddhist: Other,HL70006,,,,,,,,,
CFR,Chinese Folk Religionist,HL70006,,,,,,,,,
CHR,Christian,HL70006,,,,1013,,"Christian (non-Catholic, non-specific)",http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
ABC,Christian: American Baptist Church,HL70006,,,,,,,,,
AMT,Christian: African Methodist Episcopal,HL70006,,,,,,,,,
AME,Christian: African Methodist Episcopal Zion,HL70006,,,,,,,,,
ANG,Christian: Anglican,HL70006,,,,1005,,Anglican,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
AOG,Christian: Assembly of God,HL70006,,,,1061,,Assembly of God,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
BAP,Christian: Baptist,HL70006,,,,1009,,Baptist,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
CRR,Christian: Christian Reformed,HL70006,,,,1079,,Reformed,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
CHS,Christian: Christian Science,HL70006,,,,1063,,Christian Scientist,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
CMA,Christian: Christian Missionary Alliance,HL70006,,,,,,,,,
COC,Christian: Church of Christ,HL70006,,,,1064,,Church of Christ,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
COG,Christian: Church of God,HL70006,,,,1065,,Church of God,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
COI,Christian: Church of God in Christ,HL70006,,,,,,,,,
COM,Christian: Community,HL70006,,,,,,,,,
COL,Christian: Congregational,HL70006,,,,1066,,Congregational,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
EOT,Christian: Eastern Orthodox,HL70006,,,,1068,,Eastern Orthodox,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
EVC,Christian: Evangelical Church,HL70006,,,,,,,,,
EPI,Christian: Episcopalian,HL70006,,,,1069,,Episcopalian,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
FWB,Christian: Free Will Baptist,HL70006,,,,,,,,,
FRQ,Christian: Friends,HL70006,,,,1071,,Friends,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
FUL,Christian: Full Gospel,HL70006,,,,1072,,Full Gospel,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
GRE,Christian: Greek Orthodox,HL70006,,,,,,,,,
JWN,Christian: Jehovah's Witness,HL70006,,,,1025,,Jehovah's Witnesses,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
MOM,Christian: Latter-day Saints,HL70006,,,,1027,,Latter Day Saints,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
LUT,Christian: Lutheran,HL70006,,,,1028,,Lutheran,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
LMS,Christian: Lutheran Missouri Synod,HL70006,,,,,,,,,
MEN,Christian: Mennonite,HL70006,,,,,,,,,
MET,Christian: Methodist,HL70006,,,,1073,,Methodist,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
NAZ,Christian: Church of the Nazarene,HL70006,,,,1075,,Nazarene,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
ORT,Christian: Orthodox,HL70006,,,,1036,,Orthodox,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
PEN,Christian: Pentecostal,HL70006,,,,1038,,Pentecostal,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
COP,Christian: Other Pentecostal,HL70006,,,,,,,,,
PRE,Christian: Presbyterian,HL70006,,,,1076,,Presbyterian,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
PRO,Christian: Protestant,HL70006,,,,1077,,Protestant,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
PRC,Christian: Other Protestant,HL70006,,,,1078,,"Protestant, No Denomination",http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
QUA,Christian: Friends,HL70006,,,,1071,,Friends,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
REC,Christian: Reformed Church,HL70006,,,,1079,,Reformed,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
REO,Christian: Reorganized Church of Jesus Christ-LDS,HL70006,,,,,,,,,
CAT,Christian: Roman Catholic,HL70006,,,,1041,,Roman Catholic Church,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
SAA,Christian: Salvation Army,HL70006,,,,1080,,Salvation Army,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
SEV,Christian: Seventh Day Adventist,HL70006,,,,1001,,Adventist,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
SOU,Christian: Southern Baptist,HL70006,,,,,,,,,
UCC,Christian: United Church of Christ,HL70006,,,,1082,,United Church of Christ,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
UMD,Christian: United Methodist,HL70006,,,,,,,,,
UNI,Christian: Unitarian,HL70006,,,,1052,,Unitarian-Universalism,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
UNU,Christian: Unitarian Universalist,HL70006,,,,1081,,Unitarian Universalist,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
WES,Christian: Wesleyan,HL70006,,,,,,,,,
WMC,Christian: Wesleyan Methodist,HL70006,,,,,,,,,
COT,Christian: Other,HL70006,,,,,,,,,
CNF,Confucian,HL70006,,,,1014,,Confucianism,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
DOC,Disciples of Christ,HL70006,,,,1067,,Disciples of Christ,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
ERL,Ethnic Religionist,HL70006,,,,,,,,,
HIN,Hindu,HL70006,,,,,,,,,
HSH,Hindu: Shaivites,HL70006,,,,1020,,Hinduism,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
HVA,Hindu: Vaishnavites,HL70006,,,,1020,,Hinduism,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
HOT,Hindu: Other,HL70006,,,,1020,,Hinduism,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
JAI,Jain,HL70006,,,,1024,,Jainism,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
JEW,Jewish,HL70006,,,,,,,,,
JCO,Jewish: Conservative,HL70006,,,,,,,,,
JOR,Jewish: Orthodox,HL70006,,,,,,,,,
JRC,Jewish: Reconstructionist,HL70006,,,,,,,,,
JRF,Jewish: Reform,HL70006,,,,,,,,,
JRN,Jewish: Renewal,HL70006,,,,,,,,,
JOT,Jewish: Other,HL70006,,,,,,,,,
MOS,Muslim,HL70006,,,,1023,,Islam,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
MSH,Muslim: Shiite,HL70006,,,,1045,,Shiite (Islam),http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
MSU,Muslim: Sunni,HL70006,,,,1049,,Sunni (Islam),http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
MOT,Muslim: Other,HL70006,,,,,,,,,
