HL7 v2,,,Condition (IF True),,,HL7 FHIR,,,,,Comments
Code,Text,Code System,Computable ANTLR,Computable FHIRPath,Narrative,Code,,Display,Code System,,
EX,Expired,HL70490,,,,EX,,Expired,http://terminology.hl7.org/CodeSystem/v2-0490,,
QS,Quantity not sufficient,HL70490,,,,QS,,Quantity not sufficient,http://terminology.hl7.org/CodeSystem/v2-0490,,
RB,Broken container,HL70490,,,,RB,,Broken container,http://terminology.hl7.org/CodeSystem/v2-0490,,
RC,Clotting,HL70490,,,,RC,,Clotting,http://terminology.hl7.org/CodeSystem/v2-0490,,
RD,Missing collection date,HL70490,,,,RD,,Missing collection date,http://terminology.hl7.org/CodeSystem/v2-0490,,
RA,Missing patient ID number,HL70490,,,,RA,,Missing patient ID number,http://terminology.hl7.org/CodeSystem/v2-0490,,
RE,Missing patient name,HL70490,,,,RE,,Missing patient name,http://terminology.hl7.org/CodeSystem/v2-0490,,
RH,Hemolysis,HL70490,,,,RH,,Hemolysis,http://terminology.hl7.org/CodeSystem/v2-0490,,
RI,Identification problem,HL70490,,,,RI,,Identification problem,http://terminology.hl7.org/CodeSystem/v2-0490,,
RM,Labeling,HL70490,,,,RM,,Labeling,http://terminology.hl7.org/CodeSystem/v2-0490,,
RN,Contamination,HL70490,,,,RN,,Contamination,http://terminology.hl7.org/CodeSystem/v2-0490,,
RP,Missing phlebotomist ID,HL70490,,,,RP,,Missing phlebotomist ID,http://terminology.hl7.org/CodeSystem/v2-0490,,
RR,Improper storage,HL70490,,,,RR,,Improper storage,http://terminology.hl7.org/CodeSystem/v2-0490,,
RS,Name misspelling,HL70490,,,,RS,,Name misspelling,http://terminology.hl7.org/CodeSystem/v2-0490,,
