HL7 v2,,,Condition (IF True),,,HL7 FHIR,,,,,Comments
Code,Text,Code System,Computable ANTLR,Computable FHIRPath,Narrative,Code,,Display,Code System,,
,,,,,,106004,,Posterior carpal region, http://snomed.info/sct,,
,,,,,,107008,,Fetal part of placenta, http://snomed.info/sct,,
,,,,,,108003,,Condylar emissary vein, http://snomed.info/sct,,
,,,,,,110001,,Visceral layer of Bowman's capsule, http://snomed.info/sct,,
,,,,,,111002,,Parathyroid gland, http://snomed.info/sct,,
,,,,,,116007,,Subcutaneous tissue of medial surface of index finger, http://snomed.info/sct,,
,,,,,,124002,,Coronoid process of mandible, http://snomed.info/sct,,
,,,,,,149003,,"Central pair of microtubules, cilium or flagellum, not bacterial", http://snomed.info/sct,,
,,,,,,155008,,Deep circumflex artery of ilium, http://snomed.info/sct,,
,,,,,,167005,,Supraclavicular part of brachial plexus, http://snomed.info/sct,,
,,,,,,202009,,Anterior division of renal artery, http://snomed.info/sct,,
,,,,,,205006,,Left commissure of aortic valve, http://snomed.info/sct,,
,,,,,,206007,,Gluteus maximus muscle, http://snomed.info/sct,,
,,,,,,221001,,"Articular surface, phalanges, of fourth metacarpal bone", http://snomed.info/sct,,
,,,,,,227002,,Canal of Hering, http://snomed.info/sct,,
,,,,,,233006,,Hepatocolic ligament, http://snomed.info/sct,,
,,,,,,235004,,Superior labial artery, http://snomed.info/sct,,
,,,,,,246001,,Lateral vestibular nucleus, http://snomed.info/sct,,
,,,,,,247005,,Mesotympanum, http://snomed.info/sct,,
,h,,,,,251007,,Pectoral region, http://snomed.info/sct,,
,,,,,,256002,,Kupffer cell, http://snomed.info/sct,,
,,,,,,263002,,Thoracic nerve, http://snomed.info/sct,,
,,,,,,266005,,Right lower lobe of lung, http://snomed.info/sct,,
,,,,,,272005,,Superior articular process of lumbar vertebra, http://snomed.info/sct,,
,,,,,,273000,,Lateral myocardium, http://snomed.info/sct,,
,,,,,,283001,,Central axillary lymph node, http://snomed.info/sct,,
,,,,,,284007,,Flexor tendon and tendon sheath of fourth toe, http://snomed.info/sct,,
,,,,,,289002,,Metacarpophalangeal joint of index finger, http://snomed.info/sct,,
,,,,,,301000,,Fifth metatarsal bone, http://snomed.info/sct,,
,,,,,,311007,,Plantar surface of great toe, http://snomed.info/sct,,
,,,,,,315003,,Skin of umbilicus, http://snomed.info/sct,,
,,,,,,318001,,Cardiac impression of liver, http://snomed.info/sct,,
,,,,,,344001,,Ankle, http://snomed.info/sct,,
,,,,,,345000,,Penetrating atrioventricular bundle, http://snomed.info/sct,,
