HL7 v2,,,Condition (IF True),,,HL7 FHIR,,,,,Comments
Code,Text,Code System,Computable ANTLR,Computable FHIRPath,Narrative,Code,,Display,Code System,,
DNS,Domain Name System,HL70301,,,,DNS,,Domain Name System,http://terminology.hl7.org/CodeSystem/v2-0301,,
EUI64,IEEE 64-bit Extended Unique Identifier,HL70301,,,,EUI64,,IEEE 64-bit Extended Unique Identifier,http://terminology.hl7.org/CodeSystem/v2-0301,,
CLIA,Clinical Laboratory Improvement Amendments,HL70301,,,,CLIA,,Clinical Laboratory Improvement Amendments,http://terminology.hl7.org/CodeSystem/v2-0301,,
CLIP,Clinical laboratory Improvement Program,HL70301,,,,CLIP,,Clinical laboratory Improvement Program,http://terminology.hl7.org/CodeSystem/v2-0301,,
GUID,globally unique identifier,HL70301,,,,GUID,,globally unique identifier,http://terminology.hl7.org/CodeSystem/v2-0301,,
HCD,CEN Healthcare Coding Identifier,HL70301,,,,HCD,,CEN Healthcare Coding Identifier,http://terminology.hl7.org/CodeSystem/v2-0301,,
HL7,HL7 registration schemes,HL70301,,,,HL7,,HL7 registration schemes,http://terminology.hl7.org/CodeSystem/v2-0301,,
ISO,ISO Object Identifier,HL70301,,,,ISO,,ISO Object Identifier,http://terminology.hl7.org/CodeSystem/v2-0301,,
"L,M,N",Local,HL70301,,,,"L,M,N",,Local,http://terminology.hl7.org/CodeSystem/v2-0301,,
Random,Random,HL70301,,,,Random,,Random,http://terminology.hl7.org/CodeSystem/v2-0301,,
URI,Uniform Resource Identifier,HL70301,,,,URI,,Uniform Resource Identifier,http://terminology.hl7.org/CodeSystem/v2-0301,,
UUID,Universal Unique Identifier,HL70301,,,,UUID,,Universal Unique Identifier,http://terminology.hl7.org/CodeSystem/v2-0301,,
x400,X.400 MHS identifier,HL70301,,,,x400,,X.400 MHS identifier,http://terminology.hl7.org/CodeSystem/v2-0301,,
x500,X500 directory Name,HL70301,,,,x500,,X500 directory Name,http://terminology.hl7.org/CodeSystem/v2-0301,,
