HL7 v2,,,,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,,,,,Comments
Sort Order,Identifier,Name,Data Type,Cardinality - Min,Cardinality - Max,Core Version,Incubator Version,Computable ANTLR,Computable FHIRPath,Narrative,FHIR Attribute/ Data Type,,Data Type,Cardinality - Min,Cardinality - Max,Data Type Mapping,"Vocabulary Mapping
(IS, ID, CE, CNE, CWE)",Assignment,,
0,CWE,,,,,"F-R4, F-R6",,,,,text,,markdown,,,,,/include full field (inlcuding delimiters or xml tags)/,,
1,CWE.1,Identifier,ST,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
2,CWE.2,Text,ST,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
3,CWE.3,Name of Coding System,ID,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
4,CWE.4,Alternate Identifier,ST,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
5,CWE.5,Alternate Text,ST,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
6,CWE.6,Name of Alternate Coding System,ID,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
7,CWE.7,Coding System Version ID,ST,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
8,CWE.8,Alternate Coding System Version ID,ST,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
9,CWE.9,Original Text,ST,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
10,CWE.10,Second Alternate Identifier,ST,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
11,CWE.11,Second Alternate Text,ST,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
12,CWE.12,Name of Second Alternate Coding System,ID,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
13,CWE.13,Second Alternate Coding System Version ID,ST,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
14,CWE.14,Coding System OID,ST,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
15,CWE.15,Value Set OID,ST,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
16,CWE.16,Value Set Version ID,DTM,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
17,CWE.17,Alternate Coding System OID,ST,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
18,CWE.18,Alternate Value Set OID,ST,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
19,CWE.19,Alternate Value Set Version ID,DTM,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
20,CWE.20,Second Alternate Coding System OID,ST,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
21,CWE.21,Second Alternate Value Set OID,ST,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
22,CWE.22,Second Alternate Value Set Version ID,DTM,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
