HL7 v2,,,,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,,,,,Comments
Sort Order,Identifier,Name,Data Type,Cardinality - Min,Cardinality - Max,Core Version,Incubator Version,Computable ANTLR,Computable FHIRPath,Narrative,FHIR Attribute/ Data Type,,Data Type,Cardinality - Min,Cardinality - Max,Data Type Mapping,"Vocabulary Mapping
(IS, ID, CE, CNE, CWE)",Assignment,,
1,TQ.1,Quantity,CQ,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
2,TQ.2,Interval,RI,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
3,TQ.3,Duration,ST,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
3,TQ.3,Duration,ST,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
4,TQ.4,Start Date/Time,TS,0,1,"F-R4, F-R6",,,,,executionPeriod.start,,dateTime,0,1,TS[DateTime],,,,
5,TQ.5,End Date/Time,TS,0,1,"F-R4, F-R6",,,,,executionPeriod.end,,dateTime,0,1,TS[DateTime],,,,
6,TQ.6,Priority,ST,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
7,TQ.7,Condition,ST,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
8,TQ.8,Text,TX,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
9,TQ.9,Conjunction,ID,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
10,TQ.10,Order Sequencing,OSD,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
11,TQ.11,Occurrence Duration,CE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
12,TQ.12,Total Occurrences,NM,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
