HL7 v2,,,,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,,,,,Comments
Sort Order,Identifier,Name,Data Type,Cardinality - Min,Cardinality - Max,Core Version,Incubator Version,Computable ANTLR,Computable FHIRPath,Narrative,FHIR Attribute/ Data Type,,Data Type,Cardinality - Min,Cardinality - Max,Data Type Mapping,"Vocabulary Mapping
(IS, ID, CE, CNE, CWE)",Assignment,,
1,XON.1,Organization Name,ST,0,1,"F-R4, F-R6",,,,,$value,,string,0,1,,,,,
2,XON.2,Organization Name Type Code,CWE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
3,XON.3,ID Number,NM,,,"F-R4, F-R6",,,,,,,,,,,,,,
4,XON.4,Identifier Check Digit,NM,,,"F-R4, F-R6",,,,,,,,,,,,,,
5,XON.5,Check Digit Scheme,NM,,,"F-R4, F-R6",,,,,,,,,,,,,,
6,XON.6,Assigning Authority,HD,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
7,XON.7,Identifier Type Code,ID,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
8,XON.7,Identifier Type Code,ID,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
9,XON.8,Assigning Facility,HD,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
0,XON.9,Name Representation Code,ID,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
10,XON.10,Organization Identifier,ST,0,1,"F-R4, F-R6",,IF XON.1 NOT VALUED,,,$value,,string,0,1,,,,,
