HL7 v2,,,,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,,,,,Comments
Sort Order,Identifier,Name,Data Type,Cardinality - Min,Cardinality - Max,Core Version,Incubator Version,Computable ANTLR,Computable FHIRPath,Narrative,FHIR Attribute/ Data Type,,Data Type,Cardinality - Min,Cardinality - Max,Data Type Mapping,"Vocabulary Mapping
(IS, ID, CE, CNE, CWE)",Assignment,,
1,XPN.1,Family Name,FN,0,1,"F-R4, F-R6",,,,,$this,,string,0,1,,,/concatenate according to XPN.11/,,
2,XPN.2,Given Name,ST,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
3,XPN.3,Second and Further Given Names or Initials Thereof,ST,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
4,XPN.4,"Suffix (e.g., JR or III)",ST,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
5,XPN.5,"Prefix (e.g., DR)",ST,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
6,XPN.6,"Degree (e.g., MD)",IS,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
7,XPN.7,Name Type Code,ID,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
8,XPN.8,Name Representation Code,ID,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
9,XPN.9,Name Context,CE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
10,XPN.10,Name Validity Range,DR,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
11,XPN.11,Name Assembly Order,ID,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
12,XPN.12,Effective Date,TS,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
13,XPN.13,Expiration Date,TS,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
14,XPN.14,Professional Suffix,ST,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
15,XPN.15,Called By,ST,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
