HL7 v2,,,,,,Condition (IF True),,,HL7 FHIR,,,,,,,,,Comments
Sort Order,Identifier,Name,Data Type,Cardinality - Min,Cardinality - Max,Computable ANTLR,Computable FHIRPath,Narrative,FHIR Attribute/ Data Type,,Data Type,Cardinality - Min,Cardinality - Max,Data Type Mapping,"Vocabulary Mapping
(IS, ID, CE, CNE, CWE)",Assignment,,
0,,,,,,,,"Explain tree, etc.",,,,,,,,,,
1,PL.1,Point of Care,HD,0,1,,,If leaf,[1].location(Location.identifier),,Identifier,,,HD[Identifier],,,,
1,PL.1,Point of Care,HD,0,1,,,,[1].location(Location.mode),,code,0,1,,,"""instance""",,
1,PL.1,Point of Care,HD,0,1,,,,[1].location(Location.physicalType.coding.code),,code,0,1,,,/extension??-poc/,,
1,PL.1,Point of Care,HD,0,1,,,,[1].location(Location.physicalType.coding.system),,uri,0,1,,,"""http://terminology.hl7.org/CodeSystem/location-physical-type""",,
1,PL.1,Point of Care,HD,0,1,,,,[1].location(Location.partOf.reference(Location[5])),,string,0,1,,,,,
2,PL.2,Room,HD,0,1,,,If leaf,[2].location(Location.identifier),,Identifier,,,HD[Identifier],,,,
2,PL.2,Room,HD,0,1,,,If leaf,[2].location(Location.mode),,code,0,1,,,"""instance""",,
2,PL.2,Room,HD,0,1,,,If leaf,[2].location(Location.physicalType.coding.code),,code,0,1,,,"""ro""",,
2,PL.2,Room,HD,0,1,,,If leaf,[2].location(Location.physicalType.coding.system),,uri,0,1,,,"""http://terminology.hl7.org/CodeSystem/location-physical-type""",,
2,PL.2,Room,HD,0,1,,,If leaf,[2].location(Location.partOf.reference(Location[1])),,string,0,1,,,,,
2,PL.2,Room,HD,0,1,,,If not leaf,partof.reference(Location.identifier),,,,,,,,,
2,PL.2,Room,HD,0,1,,,If not leaf,partof.reference(Location.mode),,,,,,,,,
2,PL.2,Room,HD,0,1,,,If not leaf,partof.reference(Location.physicalType.coding.code),,,,,,,,,
