HL7 v2,,,,,,Condition (IF True),,,HL7 FHIR,,,,,,,,,Comments
Sort Order,Identifier,Name,Data Type,Cardinality - Min,Cardinality - Max,Computable ANTLR,Computable FHIRPath,Narrative,FHIR Attribute/ Data Type,,Data Type,Cardinality - Min,Cardinality - Max,Data Type Mapping,"Vocabulary Mapping
(IS, ID, CE, CNE, CWE)",Assignment,,
1,RPT.1,Repeat Pattern Code,CWE,1,1,,,,code,,CodeableConcept,0,1,,RepeatPattern,,,
2,RPT.2,Calendar Alignment,ID,0,1,,,,,,,,,,,,,
3,RPT.3,Phase Range Begin Value,NM,0,1,"IF RPT.2 = ""DW""",,,repeat.dayOfWeek[1],,code,0,1,,,/translate number to day/,,
4,RPT.4,Phase Range End Value,NM,0,1,"IF RPT.2 = ""DW""",,,repeat.dayOfWeek[2],,code,0,1,,,/translate number to day/,,
5,RPT.5,Period Quantity,NM,0,1,,,,repeat.period,,decimal,0,1,,,,,
6,RPT.6,Period Units,CWE,0,1,,,,repeat.periodUnit,,code,0,1,,,,,
7,RPT.7,Institution Specified Time,ID,0,1,,,,,,,,,,,,,
8,RPT.8,Event,ID,0,1,,,,repeat.when,,code,0,1,,EventRelatedPeriod,,,
9,RPT.9,Event Offset Quantity,NM,0,1,,,,repeat.offset,,unsignedInt,0,1,,,/convert to minutes based on RPT.10/,,
10,RPT.10,Event Offset Units,CWE,0,1,,,,,,,,,,,,,
11,RPT.11,General Timing Specification,GTS,0,1,,,,,,,,,,,,,
