HL7 v2,,,,,,Condition (IF True),,,HL7 FHIR,,,,,,,,,Comments
Sort Order,Identifier,Name,Data Type,Cardinality - Min,Cardinality - Max,Computable ANTLR,Computable FHIRPath,Narrative,FHIR Attribute/ Data Type,,Data Type,Cardinality - Min,Cardinality - Max,Data Type Mapping,"Vocabulary Mapping
(IS, ID, CE, CNE, CWE)",Assignment,,
1,SAD.1,Street or Mailing Address,ST,0,1,,,,line[1],,string,0,-1,,,,,
2,SAD.2,Street Name,ST,0,1,,,,line[2],,string,0,-1,,,,,
3,SAD.3,Dwelling Number,ST,0,1,,,,line[3],,string,0,-1,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,"123 Street Road, Appt 55",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,SAD.1,"123 Street Road, Appt 55",,,,,,,,,,,,,,,,line 1
,,,,,,,,,,,,,,,,,,
,SAD.1,,,,,,,,,,,,,,,,,
,SAD.2 ,123 Street Road,,,,,,,,,,,,,,,,line 1
,SAD.3,Appt 55,,,,,,,,,,,,,,,,line 2
,,,,,,XAD.1,"|123 Street Road, Appt 55^^|",,line[1],"123 Street Road, Appt 55",,,,,,,,
,,,,,,,,,,,,,,,,,,
,SAD.1,,absent,,,XAD.1 and 2,|123 Street Road|Appt 55|,,line[1],123 Street Road,,,,,,,,line 1
,SAD.2,Street Road,Stre,,,,,,line[2],Appt 55,,,,,,,,line 2
,SAD.3,123,,,,XAD.1 and 2,|^Street Road^123|Appt 55|,,line[1],Street Road,,,,,,,,line 3
,XAD.2,Appt 55,,,,,,,line[2],123,,,,,,,,line 4
,,,,,,,,,line[3],Appt 55,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,"line 1, line 2, line 3 (EU)",,,,XAD.1 and 2,"|123 Street Road, Appt 55^Street Road^123|Appt 55|",,line[1],"123 Street Road, Appt 55",,,,,,,,
,,"line 2, line 1, line 3 (US)",,,,,,,line[2],Street Road,,,,,,,,
,,,,,,,,,line[3],123,,,,,,,,
,,,,,,,,,line[4],Appt 55,,,,,,,,
