HL7 v2,,,,,,Condition (IF True),,,HL7 FHIR,,,,,,,,,Comments
Sort Order,Identifier,Name,Data Type,Cardinality - Min,Cardinality - Max,Computable ANTLR,Computable FHIRPath,Narrative,FHIR Attribute/ Data Type,,Data Type,Cardinality - Min,Cardinality - Max,Data Type Mapping,"Vocabulary Mapping
(IS, ID, CE, CNE, CWE)",Assignment,,
1,XCN.1,Person Identifier,ST,0,1,,,,identifier[1].value,,string,0,1,,,,,
2,XCN.2,Family Name,FN,0,1,,,,name,,HumanName,,,FN[HumanName],,,,
3,XCN.3,Given Name,ST,0,1,,,,name.given[1],,string,0,-1,,,,,
4,XCN.4,Second and Further Given Names or Initials Thereof,ST,0,1,,,,name.given[2],,string,0,-1,,,,,
5,XCN.5,"Suffix (e.g., JR or III)",ST,0,1,,,,name.suffix[1],,string,0,-1,,,,,
6,XCN.6,"Prefix (e.g., DR)",ST,0,1,,,,name.prefix,,string,0,-1,,,,,
7,XCN.7,"Degree (e.g., MD)",,0,1,,,,name.suffix[2],,string,0,-1,,,,,
8,XCN.8,Source Table,CWE,0,1,,,,,,,,,,,,,
9,XCN.9,Assigning Authority,HD,0,1,,,,,identifier.extension??-assigningAuthority,,,,,,,,
10,XCN.10,Name Type Code,ID,0,1,,,,name.use,,code,0,1,,NameType,,,
11,XCN.11,Identifier Check Digit,ST,0,1,,,,identifier[1].extension[1].url,,uri,0,1,,,"""http://hl7.org/fhir/StructureDefinition/identifier-checkDigit""",,
11,XCN.11,Identifier Check Digit,ST,0,1,,,,identifier[1].extension[1].valueString,,string,1,1,,,,,
12,XCN.12,Check Digit Scheme,ID,0,1,,,,identifier[1].extension[2].url,,uri,0,1,,,"""http://hl7.org/fhir/StructureDefinition/namingsystem-checkDigit""",,
12,XCN.12,Check Digit Scheme,ID,0,1,,,,identifier[1].extension[2].valueString,,string,1,1,,,,,
13,XCN.13,Identifier Type Code,ID,0,1,,,,identifier.type.coding.code,,code,0,1,,IdentifierType,,,
14,XCN.14,Assigning Facility,HD,0,1,,,,,identifier.extension??-assigningFacility,Reference(Location),0,1,HD[Location],,,,
15,XCN.15,Name Representation Code,ID,0,1,,,,,,,,,,,,,
16,XCN.16,Name Context,CWE,0,1,,,,,,,,,,,,,
17,XCN.17,Name Validity Range,,0,1,IF XCN.19 NOT VALUED AND XCN.20 NOT VALUED,,,name.period,,Period,0,1,DR[Period],,,,
18,XCN.18,Name Assembly Order,ID,0,1,,,,name.family.extension.url,,uri,0,1,,,"""http://hl7.org/fhir/R4/extension-humanname-assembly-order.html""",,
18,XCN.18,Name Assembly Order,ID,0,1,,,,name.family.extension.valueCode,,code,0,1,,NameAssemblyOrder,,,
19,XCN.19,Effective Date,DTM,0,1,,,,name.period.start,,dateTime,0,1,,,,,
20,XCN.20,Expiration Date,DTM,0,1,,,,name.period.end,,dateTime,0,1,,,,,
21,XCN.21,Professional Suffix,ST,0,1,,,,name.suffix,,string,0,-1,,,,,
22,XCN.22,Assigning Jurisdiction,CWE,0,1,,,,,,,,,,,,,
23,XCN.23,Assigning Agency or Department,CWE,0,1,,,,,,,,,,,,,
24,XCN.24,Security Check,ST,0,1,,,,,,,,,,,,,
25,XCN.25,Security Check Scheme,ID,0,1,,,,,,,,,,,,,
