HL7 v2,,,,,,Condition (IF True),,,HL7 FHIR,,,,,,,,,Comments
Sort Order,Identifier,Name,Data Type,Cardinality - Min,Cardinality - Max,Computable ANTLR,Computable FHIRPath,Narrative,FHIR Attribute/ Data Type,,Data Type,Cardinality - Min,Cardinality - Max,Data Type Mapping,"Vocabulary Mapping
(IS, ID, CE, CNE, CWE)",Assignment,,
1,XPN.1,Family Name,FN,0,1,,,,$this,,string,0,1,,,/concatenate according to XPN.11/,,
2,XPN.2,Given Name,ST,0,1,,,,,,,,,,,,,
3,XPN.3,Second and Further Given Names or Initials Thereof,ST,0,1,,,,,,,,,,,,,
4,XPN.4,"Suffix (e.g., JR or III)",ST,0,1,,,,,,,,,,,,,
5,XPN.5,"Prefix (e.g., DR)",ST,0,1,,,,,,,,,,,,,
6,XPN.6,"Degree (e.g., MD)",IS,0,1,,,,,,,,,,,,,
7,XPN.7,Name Type Code,ID,0,1,,,,,,,,,,,,,
8,XPN.8,Name Representation Code,ID,0,1,,,,,,,,,,,,,
9,XPN.9,Name Context,CE,0,1,,,,,,,,,,,,,
10,XPN.10,Name Validity Range,DR,0,1,,,,,,,,,,,,,
11,XPN.11,Name Assembly Order,ID,0,1,,,,,,,,,,,,,
12,XPN.12,Effective Date,TS,0,1,,,,,,,,,,,,,
13,XPN.13,Expiration Date,TS,0,1,,,,,,,,,,,,,
14,XPN.14,Professional Suffix,ST,0,1,,,,,,,,,,,,,
15,XPN.15,Called By,ST,0,1,,,,,,,,,,,,,
