HL7 v2,,,,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,,,,,Comments
Sort Order,Identifier,Name,Data Type,Cardinality - Min,Cardinality - Max,Core Version,Incubator Version,Computable ANTLR,Computable FHIRPath,Narrative,FHIR Attribute,,Data Type,Cardinality - Min,Cardinality - Max,Data Type Mapping,"Vocabulary Mapping
(IS, ID, CE, CNE, CWE)",Assignment,,
1,IN3-1,Set ID - IN3,SI,1,1,"F-R4, F-R6",,,,,,,,,,,,,,
2,IN3-2,Certification Number,CX,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
3,IN3-3,Certified By,XCN,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,
4,IN3-4,Certification Required,ID,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
5,IN3-5,Penalty,MOP,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
6,IN3-6,Certification Date/Time,DTM,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
7,IN3-7,Certification Modify Date/Time,DTM,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
8,IN3-8,Operator,XCN,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,
9,IN3-9,Certification Begin Date,DT,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
10,IN3-10,Certification End Date,DT,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
11,IN3-11,Days,DTN,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
12,IN3-12,Non-Concur Code/Description,CWE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
13,IN3-13,Non-Concur Effective Date/Time,DTM,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
14,IN3-14,Physician Reviewer,XCN,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,
15,IN3-15,Certification Contact,ST,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
16,IN3-16,Certification Contact Phone Number,XTN,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,
17,IN3-17,Appeal Reason,CWE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
18,IN3-18,Certification Agency,CWE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
19,IN3-19,Certification Agency Phone Number,XTN,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,
20,IN3-20,Pre-Certification Requirement,ICD,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,
21,IN3-21,Case Manager,ST,0,1,"F-R4, F-R6",,,,,participant.role.coding.value,,string,,,,,"""768832004""",,
21,IN3-21,Case Manager,ST,0,1,"F-R4, F-R6",,,,,participant.role.coding.system,,uri,,,,,"""http://snomed.info/sct""",,
21,IN3-21,Case Manager,ST,0,1,"F-R4, F-R6",,,,,participant.role.text,,,,,,,"""case manager""",,
22,IN3-22,Second Opinion Date,DT,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
23,IN3-23,Second Opinion Status,CWE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
24,IN3-24,Second Opinion Documentation Received,CWE,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,
25,IN3-25,Second Opinion Physician,XCN,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,
26,IN3-26,Certification Type,CWE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
27,IN3-27,Certification Category,CWE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
