HL7 v2,,,,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,,,,,Comments
Sort Order,Identifier,Name,Data Type,Cardinality - Min,Cardinality - Max,Core Version,Incubator Version,Computable ANTLR,Computable FHIRPath,Narrative,FHIR Attribute,,Data Type,Cardinality - Min,Cardinality - Max,Data Type Mapping,"Vocabulary Mapping
(IS, ID, CE, CNE, CWE)",Assignment,,
0,MSH,,,,,"F-R4, F-R6",,,,,type,,code,1,1,,,"""message""",,Note that the assignment is according to the mapping principles for mapping definitions only.  There is no expectation that this is the actual Bundle.type being mapped to based on local implementation considerations.  Unless the progression actually is a FHIR Message.
1,MSH-1,Field Separator,ST,1,1,"F-R4, F-R6",,,,,,,,,,,,,,
2,MSH-2,Encoding Characters,ST,1,1,"F-R4, F-R6",,,,,,,,,,,,,,
3,MSH-3,Sending Application,HD,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
4,MSH-4,Sending Facility,HD,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
5,MSH-5,Receiving Application,HD,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
6,MSH-6,Receiving Facility,HD,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
7,MSH-7,Date/Time of Message,DTM,1,1,"F-R4, F-R6",,,,,timestamp,,instant,0,1,,,,,Note that MSH-7 does not require a time offset while Bundle.timestamp does.  Implementers should configure the actual mapping according to local context of the transaction.
8,MSH-8,Security,ST,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
9,MSH-9,Message Type,MSG,1,1,"F-R4, F-R6",,,,,,,,,,,,,,
10,MSH-10,Message Control ID,ST,1,1,"F-R4, F-R6",,,,,identifier.value,,string,0,1,,,,,
10,MSH-10,Message Control ID,ST,1,1,"F-R4, F-R6",,,,,identifier.system,,uri,0,1,,,/to be determined by the implementer/,,
11,MSH-11,Processing ID,PT,1,1,"F-R4, F-R6",,,,,,,,,,,,,,
12,MSH-12,Version ID,VID,1,1,"F-R4, F-R6",,,,,,,,,,,,,,
13,MSH-13,Sequence Number,NM,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
14,MSH-14,Continuation Pointer,ST,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
15,MSH-15,Accept Acknowledgment Type,ID,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
16,MSH-16,Application Acknowledgment Type,ID,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
17,MSH-17,Country Code,ID,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
18,MSH-18,Character Set,ID,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,
19,MSH-19,Principal Language Of Message,CWE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
20,MSH-20,Alternate Character Set Handling Scheme,ID,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
21,MSH-21,Message Profile Identifier,EI,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,
22,MSH-22,Sending Responsible Organization,XON,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
23,MSH-23,Receiving Responsible Organization,XON,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
24,MSH-24,Sending Network Address,HD,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
25,MSH-25,Receiving Network Address,HD,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
26,MSH-26,Security Classification Tag,CWE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
27,MSH-27,Security Handling Instructions,CWE,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,
28,MSH-28,Special Access Restriction Instructions,ST,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,
