v,,,,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,,,,,Comments
Sort Order,Identifier,Name,Data Type,Cardinality - Min,Cardinality - Max,Core Version,Incubator Version,Computable ANTLR,Computable FHIRPath,Narrative,FHIR Attribute,,Data Type,Cardinality - Min,Cardinality - Max,Data Type Mapping,"Vocabulary Mapping
(IS, ID, CE, CNE, CWE)",Assignment,,
1,OBR-1,Set ID – OBR,SI,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
2,OBR-2,Placer Order Number,EI,0,1,"F-R4, F-R6",,,,If the placer number is also the accession identifier.,accessionIdentifier,,Identifier,0,1,CX[Identifier],,,,
3,OBR-3,Filler Order Number,EI,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
4,OBR-4,Universal Service Identifier,CWE,1,1,"F-R4, F-R6",,,,,,,,,,,,,,
5,OBR-5,Priority,ID,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
6,OBR-6,Requested Date/Time,TS,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
7,OBR-7,Observation Date/Time,DTM,0,1,"F-R4, F-R6",,IF OBR-8 NOT VALUED,,,collection.collectedDateTime,,dateTime,0,1,,,,,
7,OBR-7,Observation Date/Time,DTM,0,1,"F-R4, F-R6",,IF OBR-8 VALUED,,,collection.collectedPeriod.start,,dateTime,0,1,,,,,
8,OBR-8,Observation End Date/Time,DTM,0,1,"F-R4, F-R6",,,,,collection.collectedPeriod.end,,dateTime,0,1,,,,,
9,OBR-9,Collection Volume,CQ,0,1,"F-R4, F-R6",,,,,collection.quantity,,SimpleQuantity,0,1,CQ[Quantity],,,,
10,OBR-10,Collector Identifier,XCN,0,-1,"F-R4, F-R6",,,,,collection.collector(Practitioner),,Reference(Practitioner),0,1,XCN[Practitioner],,,,
11,OBR-11,Specimen Action Code,ID,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
12,OBR-12,Danger Code,CWE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
