HL7 v2,,,,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,,,,,Comments
Sort Order,Identifier,Name,Data Type,Cardinality - Min,Cardinality - Max,Core Version,Incubator Version,Computable ANTLR,Computable FHIRPath,Narrative,FHIR Attribute,,Data Type,Cardinality - Min,Cardinality - Max,Data Type Mapping,"Vocabulary Mapping
(IS, ID, CE, CNE, CWE)",Assignment,,
0,PID,,,,,"F-R4, F-R6",,,,,status,,,,,,,"""active""",,
1,PID-1,Set ID - PID,SI,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
2,PID-2,Patient ID,CX,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
3,PID-3,Patient Identifier List,CX,1,-1,"F-R4, F-R6",,,,,,,,,,,,,,
4,PID-4,Alternate Patient ID - PID,CX,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
5,PID-5,Patient Name,XPN,1,-1,"F-R4, F-R6",,,,,,,,,,,,,,
6,PID-6,Mother's Maiden Name,XPN,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,
7,PID-7,Date/Time of Birth,DTM,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
7,PID-7,Date/Time of Birth,DTM,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
8,PID-8,Administrative Sex,CWE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
9,PID-9,Patient Alias,XPN,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,
10,PID-10,Race,CWE,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,
11,PID-11,Patient Address,XAD,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,
12,PID-12,County Code,IS,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
13,PID-13,Phone Number - Home,XTN,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,
14,PID-14,Phone Number - Business,XTN,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,
15,PID-15,Primary Language,CWE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
16,PID-16,Marital Status,CWE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
17,PID-17,Religion,CWE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
18,PID-18,Patient Account Number,CX,0,1,"F-R4, F-R6",,,,,identifier,,Identifier,0,-1,CX[Identifier],,,,
19,PID-19,SSN Number - Patient,ST,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
20,PID-20,Driver's License Number - Patient,,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
21,PID-21,Mother's Identifier,CX,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,
22,PID-22,Ethnic Group,CWE,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,
23,PID-23,Birth Place,ST,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
24,PID-24,Multiple Birth Indicator,ID,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
25,PID-25,Birth Order,NM,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
26,PID-26,Citizenship,CWE,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,
27,PID-27,Veterans Military Status,CWE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
28,PID-28,Nationality,CWE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
29,PID-29,Patient Death Date and Time,DTM,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
30,PID-30,Patient Death Indicator,ID,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
31,PID-31,Identity Unknown Indicator,ID,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
32,PID-32,Identity Reliability Code,CWE,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,
33,PID-33,Last Update Date/Time,DTM,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
34,PID-34,Last Update Facility,HD,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
35,PID-35,Taxonomic Classification Code,CWE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
36,PID-36,Breed Code,CWE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
37,PID-37,Strain,ST,0,1,"F-R4, F-R6",,,,,,,,,,,,,,
38,PID-38,Production Class Code,CWE,0,2,"F-R4, F-R6",,,,,,,,,,,,,,
39,PID-39,Tribal Citizenship,CWE,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,
40,PID-40,Patient Telecommunication Information,XTN,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,
