HL7 v2,,,,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,,,,,Comments,,JIRA REF
Sort Order,Identifier,Name,Data Type,Cardinality - Min,Cardinality - Max,Core Version,Incubator Version,Computable ANTLR,Computable FHIRPath,Narrative,FHIR Attribute,,Data Type,Cardinality - Min,Cardinality - Max,Data Type Mapping,"Vocabulary Mapping
(IS, ID, CE, CNE, CWE)",Assignment,,,,
1,PRT-1,Participation Instance ID,EI,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
2,PRT-2,Action Code,ID,1,1,"F-R4, F-R6",,"IF PRT-2 IS ""D""",,inactivate the relationship between the mapped resource that the PRT segment is asociated with in the message with the location on the Observation resource.,,,,,,,,,,,,
2,PRT-2,Action Code,ID,1,1,"F-R4, F-R6",,"IF PRT-2 IS IN (""A"", ""S"", ""U"", X"")",,activate the relationship between the mapped resource that the PRT segment is asociated with in the message with the location on the Observation resource.,,,,,,,,,,,,
3,PRT-3,Action Reason,CWE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
4,PRT-4,Role of Participation,CWE,1,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
5,PRT-5,Person,XCN,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,,,
6,PRT-6,Person Provider Type,CWE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
7,PRT-7,Organization Unit Type,CWE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
8,PRT-8,Organization,XON,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,,,
9,PRT-9,Location,PL,0,-1,"F-R4, F-R6",,,,,extension[1].url,,uri,1,1,,,"""http://hl7.org/fhir/StructureDefinition/event-location""",,,,
9,PRT-9,Location,PL,0,-1,"F-R4, F-R6",,,,,extension[1].valueReference(Location),,Reference,1,1,PL[Location],,,,,,
10,PRT-10,Device,EI,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,,,
11,PRT-11,Begin Date/Time (arrival time),DTM,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
12,PRT-12,End Date/Time (departure time),DTM,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
13,PRT-13,Qualitative Duration,CWE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
14,PRT-14,Address,XAD,0,-1,"F-R4, F-R6",,,,,extension[2].url,,uri,1,1,,,"""http://hl7.org/fhir/StructureDefinition/event-location""",,,,
14,PRT-14,Address,XAD,0,-1,"F-R4, F-R6",,,,,extension[2].valueReference(Location),,Address,1,1,XAD[Address],,,,,,
15,PRT-15,Telecommunication Address,XTN,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,,,
16,PRT-16,UDI Device Identifier,EI,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
17,PRT-17,Device Manufacture Date,DTM,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
18,PRT-18,Device Expiry Date,DTM,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
19,PRT-19,Device Lot Number,ST,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
20,PRT-20,Device Serial Number,ST,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
21,PRT-21,Device Donation Identification,EI,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
22,PRT-22,Device Type,CNE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
23,PRT-23,Preferred Method of Contact,CWE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
24,PRT-24,Contact Identifiers,PLN,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,,,
