HL7 v2		,,,,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,,,,,Comments,,JIRA REF
Sort Order,Identifier,Name,Data Type,Cardinality - Min,Cardinality - Max,Core Version,Incubator Version,Computable ANTLR,Computable FHIRPath,Narrative,FHIR Attribute,,Data Type,Cardinality - Min,Cardinality - Max,Data Type Mapping,"Vocabulary Mapping
(IS, ID, CE, CNE, CWE)",Assignment,,,,
1,PV1-1,Set ID - PV1,SI,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
2,PV1-2,Patient Class,CWE,1,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
3,PV1-3,Assigned Patient Location,PL,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
4,PV1-4,Admission Type,CWE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
5,PV1-5,Preadmit Number,CX,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
6,PV1-6,Prior Patient Location,PL,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
7,PV1-7,Attending Doctor,XCN,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,,,
8,PV1-8,Referring Doctor,XCN,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,,,
9,PV1-9,Consulting Doctor,XCN,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,,,
10,PV1-10,Hospital Service,CWE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
11,PV1-11,Temporary Location,PL,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
12,PV1-12,Preadmit Test Indicator,CWE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
13,PV1-13,Re-admission Indicator,CWE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
14,PV1-14,Admit Source,CWE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
15,PV1-15,Ambulatory Status,CWE,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,,,
16,PV1-16,VIP Indicator,CWE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
17,PV1-17,Admitting Doctor,XCN,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,,,
18,PV1-18,Patient Type,CWE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
19,PV1-19,Visit Number,CX,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
20,PV1-20,Financial Class,FC,0,-1,"F-R4, F-R6",,,,,type,,CodeableConcept,0,-1,CWE[CodeableConcept],FinancialClass,,,,,
21,PV1-21,Charge Price Indicator,CWE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
22,PV1-22,Courtesy Code,CWE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
23,PV1-23,Credit Rating,CWE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
24,PV1-24,Contract Code,CWE,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,,,
25,PV1-25,Contract Effective Date,DT,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,,,
26,PV1-26,Contract Amount,NM,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,,,
27,PV1-27,Contract Period,NM,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,,,
28,PV1-28,Interest Code,CWE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
29,PV1-29,Transfer to Bad Debt Code,CWE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
30,PV1-30,Transfer to Bad Debt Date,DT,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
31,PV1-31,Bad Debt Agency Code,CWE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
32,PV1-32,Bad Debt Transfer Amount,NM,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
33,PV1-33,Bad Debt Recovery Amount,NM,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
34,PV1-34,Delete Account Indicator,CWE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
35,PV1-35,Delete Account Date,DT,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
36,PV1-36,Discharge Disposition,CWE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
37,PV1-37,Discharged to Location,DLD,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
38,PV1-38,Diet Type,CWE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
39,PV1-39,Servicing Facility,CWE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
40,PV1-40,Bed Status,IS,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
