HL7 v2,,,,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,,,,,Comments,,JIRA REF
Sort Order,Identifier,Name,Data Type,Cardinality - Min,Cardinality - Max,Core Version,Incubator Version,Computable ANTLR,Computable FHIRPath,Narrative,FHIR Attribute,,Data Type,Cardinality - Min,Cardinality - Max,Data Type Mapping,"Vocabulary Mapping
(IS, ID, CE, CNE, CWE)",Assignment,,,,
1,RXA-1,Give Sub-ID Counter,NM,1,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
2,RXA-2,Administration Sub-ID Counter,NM,1,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
3,RXA-3,Date/Time Start of Administration,DTM,1,1,"F-R4, F-R6",,,,,occurrenceDateTime,,dateTime,1,1,,,,,,,
4,RXA-4,Date/Time End of Administration,DTM,1,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
5,RXA-5,Administered Code,CWE,1,1,"F-R4, F-R6",,,,,vaccineCode,,CodeableConcept,1,1,CWE[CodeableConcept],,,,,,
6,RXA-6,Administered Amount,NM,1,1,"F-R4, F-R6",,,,,doseQuantity.value,,decimal,0,1,,,,,,,
7,RXA-7,Administered Units,CWE,0,1,"F-R4, F-R6",,,,,doseQuantity,,SimpleQuantity,0,1,CWE[Quantity],,,,,,
8,RXA-8,Administered Dosage Form,CWE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
9,RXA-9,Administration Notes,CWE,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,"In the US, the CDC Immunization Implementation Guide would map this to Immunizaiton.reportOrigin.  Other realms may do this differently.  Therefore, we will leave this for implementation guides to resolve.",,
10,RXA-10,Administering Provider,XCN,0,-1,"F-R4, F-R6",,,,,performer.actor(Practitioner),,Reference(Practitioner),0,-1,XCN[Practitioner],,,,,,
10,RXA-10,Administering Provider,XCN,0,-1,"F-R4, F-R6",,,,,performer.function.coding.code,,code,,,,,"""AP""",,,,
10,RXA-10,Administering Provider,XCN,0,-1,"F-R4, F-R6",,,,,performer.function.coding.system,,uri,,,,,"""http://terminology.hl7.org/CodeSystem/v2-0443""",,,,
11,RXA-11,Administered-at Location,LA2,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
12,RXA-12,Administered Per (Time Unit),ST,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
13,RXA-13,Administered Strength,NM,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
14,RXA-14,Administered Strength Units,CWE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
15,RXA-15,Substance Lot Number,ST,0,-1,"F-R4, F-R6",,,,,lotNumber,,string,0,1,,,,,,,
16,RXA-16,Substance Expiration Date,DTM,0,-1,"F-R4, F-R6",,,,,expirationDate,,date,0,1,,,,,,,
17,RXA-17,Substance Manufacturer Name,CWE,0,-1,"F-R4, F-R6",,,,,manufacturer(Organization),,Reference(Organization),0,1,CWE[Organization],,,,,,
18,RXA-18,Substance/Treatment Refusal Reason,CWE,0,-1,"F-R4, F-R6",,,,,statusReason,,CodeableConcept,0,1,CWE[CodeableConcept],,,,,,
19,RXA-19,Indication,CWE,0,-1,"F-R4, F-R6",,,,,reasonCode,,CodeableConcept,0,-1,CWE[CodeableConcept],,,,,,
20,RXA-20,Completion Status,ID,0,1,"F-R4, F-R6",,"IF RXA-21 NOT EQUALS ""D""",,,status,,code,1,1,,CompletionStatus,,,,,
20,RXA-20,Completion Status,ID,0,1,"F-R4, F-R6",,"IF NOT VALUED AND RXA-21 NOT EQUALS ""D""",,,status,,code,1,1,,,"""completed""",,,,
21,RXA-21,Action Code – RXA,ID,0,1,"F-R4, F-R6",,"IF RXA-21 EQUALS ""D""",,,status,,code,1,1,,,"""entered-in-error""",,,,
22,RXA-22,System Entry Date/Time,DTM,0,1,"F-R4, F-R6",,"IF RXA-21 EQUALS ""A""",,,recorded,,dateTime,0,1,,,,,,,
23,RXA-23,Administered Drug Strength Volume,NM,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
24,RXA-24,Administered Drug Strength Volume Units,CWE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
25,RXA-25,Administered Barcode Identifier,CWE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
26,RXA-26,Pharmacy Order Type,ID,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
27,RXA-27,Administer-at,PL,0,1,"F-R4, F-R6",,,,,location[1](Location),,Reference(Location),0,1,PL[Location],,,,,,
28,RXA-28,Administered-at Address,XAD,0,1,"F-R4, F-R6",,,,,location[1](Location.address),,Address,0,1,XAD[Address],,,,,,
29,RXA-29,Administered Tag Identifier,EI,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,,,
