HL7 v2,,,,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,,,,,Comments,,JRIA REF
Sort Order,Identifier,Name,Data Type,Cardinality - Min,Cardinality - Max,Core Version,Incubator Version,Computable ANTLR,Computable FHIRPath,Narrative,FHIR Attribute,,Data Type,Cardinality - Min,Cardinality - Max,Data Type Mapping,"Vocabulary Mapping
(IS, ID, CE, CNE, CWE)",Assignment,,,,
0,RXO,,,,,"F-R4, F-R6",,,,,"intent=""original-order""",,code,,,,,,,,,
1,RXO-1,Requested Give Code,CWE,0,1,"F-R4, F-R6",,,,,medication(Medication.code),,CodeableConcept,1,,CWE[CodeableConcept],,,,,,
2,RXO-2,Requested Give Amount - Minimum,NM,0,1,"F-R4, F-R6",,,,,dosageInstruction.doseAndRate[1].doseRange.low.value,,decimal,,,,,,,,,
2,RXO-2,Requested Give Amount - Minimum,NM,0,1,"F-R4, F-R6",,,,,dosageInstruction.doseAndRate[1].type,,,,,,,"""ordered""",,,,
3,RXO-3,Requested Give Amount - Maximum,NM,0,1,"F-R4, F-R6",,,,,dosageInstruction.doseAndRate[1].doseRange.high.value,,decimal,,,,,,,,,
4,RXO-4,Requested Give Units,CWE,0,1,"F-R4, F-R6",,IF RXO-2 IS VALUED AND (IF RXO-4.1 IS VALUED OR RXO-4.3 IS VALUED),,,dosageInstruction.doseAndRate[1].doseRange.low.code,,code,,,CWE[Code],RequestedGiveUnits,,,,,
4,RXO-4,Requested Give Units,CWE,0,1,"F-R4, F-R6",,IF RXO-2 IS VALUED AND (IF RXO-4.1 IS NOT VALUED AND RXO-4.3 IS NOT VALUED),,,dosageInstruction.doseAndRate[1].doseRange.low.unit,,string,,,CWE[String],,,,,,
4,RXO-4,Requested Give Units,CWE,0,1,"F-R4, F-R6",,IF RXO-2 IS VALUED AND (IF RXO-4.1 IS VALUED OR RXO-4.3 IS VALUED),,,dosageInstruction.doseAndRate[1].doseRange.high.code,,code,,,CWE[Code],,,,,,
4,RXO-4,Requested Give Units,CWE,0,1,"F-R4, F-R6",,IF RXO-2 IS VALUED AND (IF RXO-4.1 IS NOT VALUED AND RXO-4.3 IS NOT VALUED),,,dosageInstruction.doseAndRate[1].doseRange.high.unit,,string,,,CWE[String],,,,,,
5,RXO-5,Requested Dosage Form,CWE,0,1,"F-R4, F-R6",,,,,medication(Medication.doseForm),,CodeableConcept,,,CWE[CodeableConcept],RequestedDosageForm,,,,,
6,RXO-6,Provider's Pharmacy/Treatment Instructions,CWE,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,,,
7,RXO-7,Provider's Administration Instructions,CWE,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,,,
8,RXO-8,Deliver-To Location,CM,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
9,RXO-9,Allow Substitutions,ID,0,1,"F-R4, F-R6",,,,,substitution.allowedCodeableConcept,,CodeableConcept,,,ID[CodeableConcept],AllowSubstitution,,,,,
10,RXO-10,Requested Dispense Code,CWE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
11,RXO-11,Requested Dispense Amount,NM,0,1,"F-R4, F-R6",,,,,dispenseRequest.quantity.value,,decimal,,,,,,,,,
12,RXO-12,Requested Dispense Units,CWE,0,1,"F-R4, F-R6",,IF RXO-12.1 IS VALUED OR RXO-12.3 IS VALUED,,,dispenseRequest.quantity.code,,code,,,CWE[Code],RequestedDispenseUnits,,,,,
12,RXO-12,Requested Dispense Units,CWE,0,1,"F-R4, F-R6",,IF RXO-12.1 IS NOT VALUED AND RXO-12.3 IS NOT VALUED,,,dispenseRequest.quantity.unit,,string,,,CWE[String],,,,,,
13,RXO-13,Number Of Refills,NM,0,1,"F-R4, F-R6",,,,,dispenseRequest.numberOfRepeatsAllowed,,unsignedInt,,,,,,,,,
14,RXO-14,Ordering Provider's DEA Number,XCN,0,-1,"F-R4, F-R6",,,,,requester(Practitioner),,Reference,,,XCN[Practitioner],,,,,,
15,RXO-15,Pharmacist/Treatment Supplier's Verifier ID,XCN,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,,,
16,RXO-16,Needs Human Review,ID,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
17,RXO-17,Requested Give Per (Time Unit),ST,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
18,RXO-18,Requested Give Strength,NM,0,1,"F-R4, F-R6",,,,,medicationReference(Medication.ingredient.strength.numerator.value,,,,,,,,,,,
19,RXO-19,Requested Give Strength Units,CWE,0,1,"F-R4, F-R6",,IF RXO-19.1 IS VALUED OR RXO-19.3 IS VALUED,,,medicationReference(Medication.ingredient.strength.numerator.code,,code,,,CWE[Code],RequestedGiveStrengthUnits,,,,,
19,RXO-19,Requested Give Strength Units,CWE,0,1,"F-R4, F-R6",,IF RXO-19.1 IS NOT VALUED AND RXO-19.3 IS NOT VALUED,,,medicationReference(Medication.ingredient.strength.numerator.unit,,string,,,CWE[String],,,,,,
20,RXO-20,Indication,CWE,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,,,
21,RXO-21,Requested Give Rate Amount,ST,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
22,RXO-22,Requested Give Rate Units,CWE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
23,RXE-19,Total Daily Dose,CQ,0,1,"F-R4, F-R6",,,,,dosageInstruction.maxDosePerPeriod.numerator,,Quantity,0,1,CQ[Quantity],,,,,,
23,RXE-19,Total Daily Dose,CQ,0,1,"F-R4, F-R6",,,,,dosageInstruction.maxDosePerPeriod.denominator.value,,Quantity,0,1,,,"""1""",,,,
23,RXE-19,Total Daily Dose,CQ,0,1,"F-R4, F-R6",,,,,dosageInstruction.maxDosePerPeriod.denominator.code,,,,,,,"""d""",,,,
24,RXO-24,Supplementary Code,CWE,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,,,
25,RXO-25,Requested Drug Strength Volume,NM,0,1,"F-R4, F-R6",,,,,medicationReference(Medication.ingredient.strength.denominator.value,,decimal,,,,,,,,,
26,RXO-26,Requested Drug Strength Volume Units,CWE,0,1,"F-R4, F-R6",,IF RXO-26.1 IS VALUED OR RXO-26.3 IS VALUED,,,medicationReference(Medication.ingredient.strength.denominator.code,,code,,,,RequestedDrugStrengthVolumeUnits,,,,,
26,RXO-26,Requested Drug Strength Volume Units,CWE,0,1,"F-R4, F-R6",,IF RXO-26.1 IS NOT VALUED AND RXO-26.3 IS NOT VALUED,,,medicationReference(Medication.ingredient.strength.denominator.unit,,string,,,CWE[String],,,,,,
27,RXO-27,Pharmacy Order Type,ID,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
28,RXO-28,Dispensing Interval,NM,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
29,RXO-29,Medication Instance Identifier,EI,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
30,RXO-30,Segment Instance Identifier,EI,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
31,RXO-31,Mood Code,CNE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
32,RXO-32,Dispensing Pharmacy,CWE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
33,RXO-33,Dispensing Pharmacy Address,XAD,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
34,RXO-34,Deliver-to Patient Location,PL,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
35,RXO-35,Deliver-to Address,XAD,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
36,RXO-36,Pharmacy Phone Number,XTN,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,,,
