HL7 v2,,,,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,,,,,Comments,,JIRA REF
Sort Order,Identifier,Name,Data Type,Cardinality - Min,Cardinality - Max,Core Version,Incubator Version,Computable ANTLR,Computable FHIRPath,Narrative,FHIR Attribute,,Data Type,Cardinality - Min,Cardinality - Max,Data Type Mapping,"Vocabulary Mapping
(IS, ID, CE, CNE, CWE)",Assignment,,,,
1,SCH-1,Placer Appointment ID,EI,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
2,SCH-2,Filler Appointment ID,EI,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
3,SCH-3,Occurrence Number,NM,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
4,SCH-4,Placer Group Number,EI,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
5,SCH-5,Schedule ID,CWE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
6,SCH-6,Event Reason,CWE,1,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
7,SCH-7,Appointment Reason,CWE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
8,SCH-8,Appointment Type,CWE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
9,SCH-9,Appointment Duration,NM,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,,,
10,SCH-10,Appointment Duration Units,CNE,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,,,
11,SCH-11,Appointment Timing Quantity,TQ,1,-1,"F-R4, F-R6",,,,,,,,,,,,,,,,
12,SCH-12,Placer Contact Person,XCN,1,-1,"F-R4, F-R6",,,,,,,,,,,,,,,,
12,SCH-12,Placer Contact Person,XCN,1,-1,"F-R4, F-R6",,,,,,,,,,,,,,,,
12,SCH-12,Placer Contact Person,XCN,1,-1,"F-R4, F-R6",,,,,,,,,,,,,,,,
13,SCH-13,Placer Contact Phone Number,XTN,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
14,SCH-14,Placer Contact Address,XAD,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,,,
15,SCH-15,Placer Contact Location,PL,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
16,SCH-16,Filler Contact Person,XCN,1,-1,"F-R4, F-R6",,,,,,,,,,,,,,,,
16,SCH-16,Filler Contact Person,XCN,1,-1,"F-R4, F-R6",,,,,,,,,,,,,,,,
16,SCH-16,Filler Contact Person,XCN,1,-1,"F-R4, F-R6",,,,,,,,,,,,,,,,
17,SCH-17,Filler Contact Phone Number,XTN,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
18,SCH-18,Filler Contact Address,XAD,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,,,
19,SCH-19,Filler Contact Location,PL,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
20,SCH-20,Entered By Person,XCN,1,-1,"F-R4, F-R6",,,,,agent[1].who(Practitioner),,Reference(Practitioner),1,1,XCN[Practitioner],,,,,,
20,SCH-20,Entered By Person,XCN,1,-1,"F-R4, F-R6",,,,,agent[1].type.coding.code,,code,0,1,,,"""enterer""",,,,
20,SCH-20,Entered By Person,XCN,1,-1,"F-R4, F-R6",,,,,agent[1].type.coding.system,,uri,0,1,,,"""http://terminology.hl7.org/CodeSystem/provenance-participant-type""",,,,
21,SCH-21,Entered By Phone Number,XTN,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,,,
22,SCH-22,Entered By Location,PL,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
23,SCH-23,Parent Placer Appointment ID,EI,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
24,SCH-24,Parent Filler Appointment ID,EI,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
25,SCH-25,Filler Status Code,CWE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
26,SCH-26,Placer Order Number,EI,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,,,
27,SCH-27,Filler Order Number,EI,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,,,
