HL7 v2,,,,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,,,,,Comments,,JIRA REF
Sort Order,Identifier,Name,Data Type,Cardinality - Min,Cardinality - Max,Core Version,Incubator Version,Computable ANTLR,Computable FHIRPath,Narrative,FHIR Attribute,,Data Type,Cardinality - Min,Cardinality - Max,Data Type Mapping,"Vocabulary Mapping
(IS, ID, CE, CNE, CWE)",Assignment,,,,
0,,,,,,"F-R4, F-R6",,,,,type,,CodeableConcept,0,-1,,,"/code for ""software"" has yet to be identified/",,,,
1,SFT-1,Software Vendor Organization,XON,1,1,"F-R4, F-R6",,If XON.1 IS VALUED AND XON.10 NOT VALUED,,,manufacturer,,string,,,XON[string],,,,,,
1,SFT-1,Software Vendor Organization,XON,1,1,"F-R4, F-R6",,IF XON.10 is valued,,,,,,,,,,,,extension[1].url to R6 Device.manufacturer with valueReference(Organization) once available,,
2,SFT-2,Software Certified Version or Release Number,ST,1,1,"F-R4, F-R6",,,,,version.value,,string,1,1,,,,,,,
3,SFT-3,Software Product Name,ST,1,1,"F-R4, F-R6",,,,,deviceName.name,,string,1,1,,,,,,,
3,SFT-3,Software Product Name,ST,1,1,"F-R4, F-R6",,,,,deviceName.type,,code,,,,,"""manufacturer-name""",,,,
4,SFT-4,Software Binary ID,ST,1,1,"F-R4, F-R6",,,,,modelNumber,,string,,,,,,,,,
5,SFT-5,Software Product Information,TX,0,1,"F-R4, F-R6",,,,,note.text,,markdown,1,1,,,,,,,
6,SFT-6,Software Install Date,DTM,0,1,"F-R4, F-R6",,,,,version.extension[1].url,,uri,1,1,,,"""https://hl7.org/fhir/5.0/StructureDefinition/extension-Device.version.installDate""",,,,
6,SFT-6,Software Install Date,DTM,0,1,"F-R4, F-R6",,,,,version.extension[1].valueDateTime,,dateTime,1,1,DTM[DateTime],,,,,,
