HL7 v2,,,,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,,,,,Comments,,JIRA Ref
Sort Order,Identifier,Name,Data Type,Cardinality - Min,Cardinality - Max,Core Version,Incubator Version,Computable ANTLR,Computable FHIRPath,Narrative,FHIR Attribute,,Data Type,Cardinality - Min,Cardinality - Max,Data Type Mapping,"Vocabulary Mapping
(IS, ID, CE, CNE, CWE)",Assignment,,,,
1,SPM-1,Set ID - SPM,SI,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
2,SPM-2,Specimen ID,EIP,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
3,SPM-3,Specimen Parent IDs,EIP,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,,,
4,SPM-4,Specimen Type,CWE,1,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
5,SPM-5,Specimen Type Modifier,CWE,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,,,
6,SPM-6,Specimen Additives,CWE,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,,,
7,SPM-7,Specimen Collection Method,CWE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,This should not be populated in a message corresponding to a ServiceRequest (eg ORM),,
8,SPM-8,Specimen Source Site,CWE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,This should not be populated in a message corresponding to a ServiceRequest (eg ORM),,
9,SPM-9,Specimen Source Site Modifier,CWE,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,"Note that when using SNOMED codes in SPM-8, these are covered.",,
10,SPM-10,Specimen Collection Site,CWE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
11,SPM-11,Specimen Role,CWE,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,,,
12,SPM-12,Specimen Collection Amount,CQ,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
13,SPM-13,Grouped Specimen Count,NM,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
14,SPM-14,Specimen Description,ST,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,,,
15,SPM-15,Specimen Handling Code,CWE,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,,,
16,SPM-16,Specimen Risk Code,CWE,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,,,
17,SPM-17,Specimen Collection Date/Time,DR,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
18,SPM-18,Specimen Received Date/Time,DTM,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
19,SPM-19,Specimen Expiration Date/Time,DTM,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
20,SPM-20,Specimen Availability,ID,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
21,SPM-21,Specimen Reject Reason,CWE,0,-1,"F-R4, F-R6",,,,,specimen.extension.url,,,,,,,,,"This should be mapped top the correct ServiceRequest.dataAbsentReason as the speciman is rejected in the context of a particular test given the specimen condition.  Since the placement of the SPM in the message is not always clear as to which ORC/OBR it relates to, we cannot provide specific mapping beyond the vocabulary map.",,
21,SPM-21,Specimen Reject Reason,CWE,0,-1,"F-R4, F-R6",,,,,specimen.extension.valueCodeableConcept,,CodeableConcept,0,1,,SpecimenRejectReason,,,,,
22,SPM-22,Specimen Quality,CWE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
23,SPM-23,Specimen Appropriateness,CWE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
24,SPM-24,Specimen Condition,CWE,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,,,
25,SPM-25,Specimen Current Quantity,CQ,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
26,SPM-26,Number of Specimen Containers,NM,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
27,SPM-27,Container Type,CWE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
28,SPM-28,Container Condition,CWE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
29,SPM-29,Specimen Child Role,CWE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
30,SPM-30,Accession ID,CX,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,,,
31,SPM-31,Other Specimen ID,CX,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,,,
32,SPM-32,Shipment ID,EI,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
32,SPM-32,Shipment ID,EI,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
32,SPM-32,Shipment ID,EI,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
